row_number,problem_description,original_human_category,original_human_subcategory,internal_review_label,ai_multilabel_assessment,supported_candidate_count,candidate_labels,candidate_support,candidate_rank1_support,candidate_models,candidate_justifications
66,Looking for an attorney/lawyer that specializes in small business restaurant and hospitality. Also have a need for investment property/realestate law services. general consulting and litigation services.,Business & Corporate,Restaurant/OLCC,Business & Corporate / Restaurant/OLCC,three-label candidate,3,"Business & Corporate / Restaurant/OLCC || Business & Corporate / General (Contracts, Business, Organization) || Real Property / General (Commercial)",3 || 2 || 2,3 || 0 || 0,"Business & Corporate / Restaurant/OLCC: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Business & Corporate / General (Contracts, Business, Organization): Gemini 3.1 Pro Preview, GPT-5.2 || Real Property / General (Commercial): Gemini 3.1 Pro Preview, GPT-5.2","Business & Corporate / Restaurant/OLCC: DeepSeek v4: The user explicitly seeks an attorney specializing in small business restaurant and hospitality, which falls under this subcategory for regulatory and licensing matters. / Gemini 3.1 Pro Preview: The user explicitly states they are looking for an attorney who specializes in 'small business restaurant and hospitality'. / GPT-5.2: User seeks counsel specializing in restaurant/hospitality, which commonly involves restaurant regulatory and licensing issues (including OLCC) and related operations. || Business & Corporate / General (Contracts, Business, Organization): Gemini 3.1 Pro Preview: The user asks for 'general consulting and litigation services' for their business, fitting core business needs. / GPT-5.2: They also request general consulting for a small business, suggesting contracts/organization advice beyond liquor licensing specifics. || Real Property / General (Commercial): Gemini 3.1 Pro Preview: The user also needs 'investment property/realestate law services' for their business, which fits the commercial real estate category. / GPT-5.2: They separately request investment property/real estate services, which often involves commercial purchase/lease and related disputes."
70,"Ongoing harassment from next door neighbor. I was bear sprayed through a hole he cut in the fence. He harrassed 11 y.o. daughter. My wife believes she was shot at with a pellet gun. Sprayed chemicals to kill plants on my property. Threatened delivery workers with violence. He has cut peepholes in the fence and established cameras pointing into our yard and windows. 3 plus neighbors have similar stories and they have all told me that previous owners have moved because of this neighbor and his aggressive actions. We want to enjoy our home, but he finds joy in making life miserable for us and fearful of our young children’s safety. He has said “I’ll never stop watching you”",Real Property,Neighbor Disputes/Nuisance,General Litigation / Neighbor Disputes/Nuisance,two-label candidate,2,General Litigation / Neighbor Disputes/Nuisance || General Litigation / Stalking Orders,3 || 3,2 || 1,"General Litigation / Neighbor Disputes/Nuisance: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || General Litigation / Stalking Orders: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","General Litigation / Neighbor Disputes/Nuisance: DeepSeek v4: The neighbor's actions, such as cutting peepholes and spraying chemicals, constitute a nuisance and could also be addressed through litigation for damages or injunctive relief. / Gemini 3.1 Pro Preview: This is an extreme dispute between next-door neighbors involving property boundaries (fences), property damage (chemicals), and acts that severely interfere with the enjoyment of their home. / GPT-5.2: Ongoing neighbor harassment involving fence tampering, chemicals, threats, and interference with enjoyment of the home fits a neighbor nuisance/dispute pattern. || General Litigation / Stalking Orders: DeepSeek v4: The ongoing harassment, surveillance, and threats from a neighbor, including physical harm with bear spray, warrant seeking a stalking protective order as the neighbor is not a household member. / Gemini 3.1 Pro Preview: The neighbor is engaging in repeated harassment, threats, and surveillance (cutting peepholes, pointing cameras, saying 'I'll never stop watching you'), qualifying for a non-family stalking order. / GPT-5.2: The conduct includes surveillance ('never stop watching you'), threats, and repeated harassment; if the goal is a protective order against a non-household member, a stalking order is appropriate."
71,"I and my brother were my Mother's POA's and I am on her banking accounts. I can write checks ect. My mother had dementia and lives alone in her own house. My siblings and I have suggested in home care, meals on wheels ect. My mother has denied all. I went over after calling her and she had moldy food, moldy dishes, her sink was full of putrid water, her car was no working because she had left the door open and drained the battery. On that day she asked if she should live at home anymore. I said no, not anymore. My siblings and I found an apartment in an independent living community, and chose an apartment. We took her to the apartment to see it and she discussed what furnishings and decorating ect. She was hesitant but feeling good my the end of the meal we had there. I have been informed that our POA's were replaced with a ""friend of my mothers"" and that my siblings and I are accused of elder abuse and stealing from her. I have no idea what to do?",Wills & Trusts,Power of Attorney,Wills & Trusts / Elder Abuse,three-label candidate,3,Wills & Trusts / Elder Abuse || Wills & Trusts / Conservatorship/Guardianship || Wills & Trusts / Power of Attorney,3 || 2 || 2,3 || 0 || 0,"Wills & Trusts / Elder Abuse: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Wills & Trusts / Conservatorship/Guardianship: DeepSeek v4, GPT-5.2 || Wills & Trusts / Power of Attorney: Gemini 3.1 Pro Preview, GPT-5.2","Wills & Trusts / Elder Abuse: DeepSeek v4: The user is accused of elder abuse and the POA was replaced by a 'friend,' raising concerns about financial exploitation and undue influence over the mother, which is central to elder abuse and contesting the new POA. / Gemini 3.1 Pro Preview: The user suspects their mother, who has dementia, is being manipulated or financially exploited by a 'friend' who successfully replaced the user's Power of Attorney. / GPT-5.2: There are allegations that a 'friend' replaced the family’s POA and is accusing them of theft while the mother has dementia—facts commonly associated with financial exploitation/undue influence concerns. || Wills & Trusts / Conservatorship/Guardianship: DeepSeek v4: If the mother lacks capacity, a conservatorship or guardianship proceeding may be needed to protect her interests, though the immediate issue is the disputed POA and allegations. / GPT-5.2: Given dementia and inability to safely live alone, a court-appointed guardianship/conservatorship may be needed if POA authority is contested; included as a secondary route. || Wills & Trusts / Power of Attorney: Gemini 3.1 Pro Preview: The core dispute revolves around the validity of the mother's decision to revoke the previous POA and appoint a new agent while suffering from dementia. / GPT-5.2: The immediate legal issue includes displacement/replacement of existing POAs and questions about authority to act for an incapacitated parent."
73,"I need to get information on protective orders and then file these orders. Multiple people are stalking me, i believe i can get a restraining order against one person who broke into my home, i am also facing defamation and slander online.",General Litigation,Stalking Orders,General Litigation / Stalking Orders,three-label candidate,3,General Litigation / Stalking Orders || General Litigation / Libel/Slander/Defamation || General Litigation / Online Harassment/Doxing/Bullying,3 || 2 || 2,3 || 0 || 0,"General Litigation / Stalking Orders: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || General Litigation / Libel/Slander/Defamation: Gemini 3.1 Pro Preview, GPT-5.2 || General Litigation / Online Harassment/Doxing/Bullying: Gemini 3.1 Pro Preview, GPT-5.2","General Litigation / Stalking Orders: DeepSeek v4: The user is seeking protective orders against multiple stalkers, including one who broke into their home, which fits the stalking protective order subcategory for non-family/household members. / Gemini 3.1 Pro Preview: The user explicitly wants to file protective orders because 'multiple people are stalking me' and broke into their home. / GPT-5.2: User requests help filing protective orders due to stalking and a home break-in by a non-household member, which aligns with stalking order relief. || General Litigation / Libel/Slander/Defamation: Gemini 3.1 Pro Preview: The user also mentions they are facing 'defamation and slander online', which requires a civil lawsuit to address false, damaging statements. / GPT-5.2: They also report online defamation/slander; included as a separate civil claim distinct from obtaining protection orders. || General Litigation / Online Harassment/Doxing/Bullying: Gemini 3.1 Pro Preview: The defamation and stalking may overlap with online harassment, giving rise to an additional civil claim. / GPT-5.2: If the online conduct is more about harassment/doxxing than reputationally false statements, this would fit better than defamation."
74,Need Civil law attorney to make a tort report claim and lawsuit for unlawful arrested detention on North Quay Police Department when they beat me up,General Litigation,Civil Rights,General Litigation / Actions Against Police,possible two-label candidate,2,General Litigation / Actions Against Police || General Litigation / Tort Claims Act,3 || 2,3 || 0,"General Litigation / Actions Against Police: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || General Litigation / Tort Claims Act: Gemini 3.1 Pro Preview, GPT-5.2","General Litigation / Actions Against Police: DeepSeek v4: The user wants to file a tort claim and lawsuit for unlawful arrest and excessive force by police, which falls under civil actions against law enforcement. / Gemini 3.1 Pro Preview: The user wants a civil attorney to sue a police department for misconduct, specifically false arrest ('unlawful arrested detention') and excessive force ('beat me up'). / GPT-5.2: User alleges unlawful arrest/detention and police beating, seeking a civil suit against a police department for misconduct and injuries. || General Litigation / Tort Claims Act: Gemini 3.1 Pro Preview: A lawsuit against a city police department falls under the Tort Claims Act, though Actions Against Police is the more precise subcategory for this misconduct. / GPT-5.2: If the claim must be brought against the government entity itself with special notice/deadlines, it may proceed under tort-claims procedures; included due to mention of suing a police department."
76,"I need guidance on intellectual property protection, patent categories (software patents), and the best strategies for ensuring the app's marketability.",Intellectual Property,,Intellectual Property / Patent (Reg Patent Attys Only),three-label candidate,3,Intellectual Property / Patent (Reg Patent Attys Only) || Intellectual Property / Computer Law & Internet Law || Intellectual Property / Trademark/Copyright,3 || 3 || 2,2 || 1 || 0,"Intellectual Property / Patent (Reg Patent Attys Only): DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Intellectual Property / Computer Law & Internet Law: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Intellectual Property / Trademark/Copyright: Gemini 3.1 Pro Preview, GPT-5.2","Intellectual Property / Patent (Reg Patent Attys Only): DeepSeek v4: The user mentions patent categories including software patents and IP protection strategies, indicating a need for a patent attorney. / Gemini 3.1 Pro Preview: The user explicitly needs guidance on 'patent categories (software patents)' to protect an app. / GPT-5.2: Because they explicitly ask about software patents and patent categories, a patent attorney route may be the best fit if they intend to pursue patent filing. || Intellectual Property / Computer Law & Internet Law: DeepSeek v4: Software patents often intersect with computer and internet law, but the primary focus is on patent protection, making this a secondary match. / Gemini 3.1 Pro Preview: Because the patent is for an app/software, the user may also need broad legal guidance regarding IP and computers. / GPT-5.2: User seeks IP protection strategy for an app and asks about software patents, which commonly overlaps with software/internet legal protection issues. || Intellectual Property / Trademark/Copyright: Gemini 3.1 Pro Preview: Along with a software patent, the user may need a trademark to protect the brand name and ensure the 'app's marketability'. / GPT-5.2: If the practical goal is protecting the app name/logo/branding or code/content rather than patenting, trademark/copyright may be the more appropriate IP protection strategy."
81,"Looking for a lawyer who primarily specializes in professional licensure for social workers (contracts, rules, and representation of civil and criminal issues) and if possible is educated in the psychedelic growth in the mental health space.",Administrative Law,,Administrative Law / Professional Licensing,possible two-label candidate,2,"Administrative Law / Professional Licensing || Business & Corporate / General (Contracts, Business, Organization)",3 || 2,3 || 0,"Administrative Law / Professional Licensing: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Business & Corporate / General (Contracts, Business, Organization): DeepSeek v4, Gemini 3.1 Pro Preview","Administrative Law / Professional Licensing: DeepSeek v4: The user seeks an attorney specializing in professional licensure for social workers, including representation for civil and criminal issues, fitting this subcategory. / Gemini 3.1 Pro Preview: The user specifically states they are 'looking for a lawyer who primarily specializes in professional licensure for social workers'. / GPT-5.2: User seeks representation and advice regarding social worker professional licensure rules and related proceedings, which is a professional licensing dispute/defense area. || Business & Corporate / General (Contracts, Business, Organization): DeepSeek v4: The mention of contracts could involve business formation or contract review, but the core need is licensing representation. / Gemini 3.1 Pro Preview: The user mentions needing help with 'contracts, rules', which overlaps with general business advising for their practice."
83,"I am in need of an attorney that can assist with navigating a possible civil suit. I have had my professional license revoked. I’ve reached out to Oregon’s legislative body who was able to make some movement. While they are still assisting me in this endeavor, they have recommended I seek legal counsel out of suspicion of discrimination and violation of my rights. Their biases are embedded in the revocation of my license and a public record that has prevented me from being employed. In addition, I spoke with a staff member from legal aid who said I need an attorney that specializes in this area. I am hoping there is someone who can represent me that has a great deal of experience in this area.",Administrative Law,,Administrative Law / Professional Licensing,possible two-label candidate,2,Administrative Law / Professional Licensing || General Litigation / Civil Rights,3 || 3,3 || 0,"Administrative Law / Professional Licensing: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || General Litigation / Civil Rights: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","Administrative Law / Professional Licensing: DeepSeek v4: The user's professional license was revoked, which is the core issue. They suspect discrimination and violation of rights in the revocation process, which squarely fits a licensing board dispute. / Gemini 3.1 Pro Preview: The user explicitly states their professional license was revoked and this is preventing employment. / GPT-5.2: User reports their professional license was revoked and wants counsel regarding the revocation and related rights/discrimination concerns, which centers on a state licensing board action affecting their ability to work. || General Litigation / Civil Rights: DeepSeek v4: The user explicitly mentions 'discrimination and violation of my rights' preventing employment, which could support a separate civil rights lawsuit. However, the primary issue is the license revocation, so this is secondary. / Gemini 3.1 Pro Preview: A secondary issue of discrimination and civil rights violations by a government body is mentioned as the suspected root cause of the revocation. / GPT-5.2: They also describe suspected discrimination/rights violations tied to the licensing action; this could become a discrimination civil suit, but the primary dispute is the license revocation process."
94,"Denied SSD, FILED FOR SSI BY MYSELF, DENIED BUT A PLETHORA OF OF MEDICAL RECORDS, IMAGING AND AN M.D. DETERMINATION OF ""Disabled, cannot perform gainful employment"" with 5 very detailed pages was completely overlooked & was included with my return paperwork. Now I am looking at major back surgery, etc...... and a well known ssi/ssd lawyer refused my case for past drug abuse over 2 years ago!!!! Help",Administrative Law,,Administrative Law / SSD (Social Security Disability),possible two-label candidate,2,Administrative Law / SSD (Social Security Disability) || Administrative Law / Social Security/SSI,3 || 3,3 || 0,"Administrative Law / SSD (Social Security Disability): DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Administrative Law / Social Security/SSI: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","Administrative Law / SSD (Social Security Disability): DeepSeek v4: The user was denied SSD (Social Security Disability) and mentions denial of SSI independently; the primary mention is SSD denial, which is based on work history, making this the best fit. / Gemini 3.1 Pro Preview: The user mentions being denied for SSD first and is seeking representation to appeal. / GPT-5.2: User discusses denial of SSD and related medical disability evidence; although they also mention SSI, the narrative is primarily about disability benefits denial requiring Social Security disability appeals help. || Administrative Law / Social Security/SSI: DeepSeek v4: The user also mentions filing for SSI and being denied, but the description centers on SSD, so this is a lower-confidence secondary match. / Gemini 3.1 Pro Preview: The user also explicitly states they were denied for needs-based SSI. / GPT-5.2: They explicitly state they filed for SSI and were denied, so SSI denial is also a strong possibility; ranked lower because SSD is also central and the benefit type is mixed/unclear."
96,I am looking for a lawyer that specializes in social security benefits for children who are getting benefits through a parent on SSDI. I was told by multiple social security representatives that all money goes to the children and the custodial parent and that it doesn't matter what is in a divorce agreement. I need to know what I can do to protect my children's benefits with the divorce agreement stating that their dad gets 50% of their backpay.,Administrative Law,,Administrative Law / SSD (Social Security Disability),two-label candidate,2,Administrative Law / SSD (Social Security Disability) || Family Law / Child Support/Modification,3 || 2,2 || 1,"Administrative Law / SSD (Social Security Disability): DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Family Law / Child Support/Modification: Gemini 3.1 Pro Preview, GPT-5.2","Administrative Law / SSD (Social Security Disability): DeepSeek v4: The user seeks a lawyer for children's benefits through a parent on SSDI and a divorce agreement affecting backpay, which is a derivative issue of Social Security Disability benefits. / Gemini 3.1 Pro Preview: The core benefit being disputed is derived from a parent's SSDI. / GPT-5.2: The benefits are derived from a parent's SSDI and the user cites Social Security's rules about who receives the funds; included as a lower match because the primary conflict appears to be how parents handle the funds in divorce, not a denial by SSA. || Family Law / Child Support/Modification: Gemini 3.1 Pro Preview: A secondary issue involves a conflict between federal agency rules and a state divorce decree regarding child support/asset division. / GPT-5.2: User is in a divorce/custody context disputing how children's Social Security dependent benefits/backpay should be handled between parents, which functions like a child-support allocation issue in the family case."
103,Looking at filing bankrupcy and have no money. Need legal advice to help me through the process.,Bankruptcy,,Bankruptcy / Pro Se Coaching,two-label candidate,2,Bankruptcy / Personal || Bankruptcy / Pro Se Coaching,3 || 3,2 || 1,"Bankruptcy / Personal: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Bankruptcy / Pro Se Coaching: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","Bankruptcy / Personal: DeepSeek v4: The user states they are looking to file bankruptcy and have no money, indicating an individual debtor needing relief from personal debts. / Gemini 3.1 Pro Preview: The user is an individual looking to file for bankruptcy and needs legal advice to navigate the process. / GPT-5.2: They are seeking to file bankruptcy for personal financial relief; pro se coaching is ranked higher because they emphasize inability to pay and needing help through the process. || Bankruptcy / Pro Se Coaching: DeepSeek v4: Since the user mentions needing legal advice but having no money, they may require pro se coaching for navigating bankruptcy on their own, but the primary need is still filing. / Gemini 3.1 Pro Preview: Since the user has no money, they may need guidance on how to represent themselves through the bankruptcy process. / GPT-5.2: User is considering filing bankruptcy with no money and asks for legal advice to get through the process, indicating guidance while self-representing or with limited resources."
107,"I have been off work due to an injury for over 2 years, and recently lost workers comp reimbursement benefits. With all the past medical and other expenses I can't make any of my payments and will need to file bankruptcy. However I can't afford an attorney. Is it difficult to file on my own, or is there someone who could help for a reduced fee? Thanks for your help in advance.",Bankruptcy,,Bankruptcy / Pro Se Coaching,two-label candidate,2,Bankruptcy / Pro Se Coaching || Bankruptcy / Personal,3 || 3,2 || 1,"Bankruptcy / Pro Se Coaching: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Bankruptcy / Personal: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2","Bankruptcy / Pro Se Coaching: DeepSeek v4: The user asks if it is difficult to file on their own and if help is available for a reduced fee, suggesting potential need for guidance in self-representation. / Gemini 3.1 Pro Preview: The user is asking if it is difficult to file for bankruptcy on their own and is looking for self-representation advice or reduced fee help. / GPT-5.2: User expects to file bankruptcy but cannot afford a lawyer and asks whether filing on their own is difficult or if reduced-fee help is available—seeking coaching/guidance. || Bankruptcy / Personal: DeepSeek v4: The user needs to file bankruptcy due to debts from lost workers' comp and injury, and is inquiring about self-filing or reduced-fee help, all within an individual bankruptcy context. / Gemini 3.1 Pro Preview: The core issue is that the user is an individual who needs to file for bankruptcy to eliminate past medical expenses. / GPT-5.2: Underlying issue is an individual bankruptcy due to inability to pay after loss of workers’ comp benefits; ranked lower because the main ask is self-filing assistance."
109,"I am curious if a lawyer can offer some guidance on dissolving an LLC partnership business and filing bankruptcy. Essentially, my former business partner and I signed an agreement over the summer that I was to leave the partnership, transfer full ownership and responsibilities to her, and be paid out over 5 years for the $10,000 loan that I provided. She was planning to remain operating but then decided to close the business about 3 months later after realizing it was too much for her to take on. My name was never officially removed from the business in that time, so now we want to go about doing so, and dissolving the business properly, along with likely filing bankruptcy. The business has about $10k in debt from other loans (SBA and Shopify), not including the $10k from myself. All assets have been sold. At this point I understand that I will very likely not be receiving my portion of the money loaned, but I do need to ensure the dissolution goes smoothly from here on out.",Bankruptcy,,Bankruptcy / Business,possible two-label candidate,2,Bankruptcy / Business || Business & Corporate / Sale of Business,3 || 2,3 || 0,"Bankruptcy / Business: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Business & Corporate / Sale of Business: Gemini 3.1 Pro Preview, GPT-5.2","Bankruptcy / Business: DeepSeek v4: The user needs to dissolve an LLC partnership and file bankruptcy for the business entity due to business debts (SBA, Shopify) and the business closing, which is a business bankruptcy matter. / Gemini 3.1 Pro Preview: The user is seeking to file bankruptcy for a business entity (LLC) that carries SBA and other loans. / GPT-5.2: User needs to dissolve an LLC and likely file bankruptcy for business debts (SBA/Shopify loans) after the business closed—business entity bankruptcy planning. || Business & Corporate / Sale of Business: Gemini 3.1 Pro Preview: The user is also navigating the departure of a business partner and the legal dissolution of their partnership. / GPT-5.2: They also need help formally exiting/dissolving a partnership/LLC after a buyout agreement; included as secondary because the primary concern appears to be bankruptcy for the business."
111,"I am being sued by a creditor for approximately 2000. I cant afford that payment at this time. Trying to find help with this. File a motion, call to settle, bankruptcy, etc.?",Bankruptcy,,Debtor/Creditor / General (Debtor),two-label candidate,2,Bankruptcy / Personal || Debtor/Creditor / General (Debtor),3 || 2,1 || 2,"Bankruptcy / Personal: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Debtor/Creditor / General (Debtor): Gemini 3.1 Pro Preview, GPT-5.2","Bankruptcy / Personal: DeepSeek v4: The user is being sued by a creditor for approximately $2,000 and is considering bankruptcy among other options, indicating a personal debt situation. / Gemini 3.1 Pro Preview: The user explicitly mentions exploring bankruptcy as a potential option to resolve the debt they cannot afford. / GPT-5.2: Bankruptcy is mentioned as one possible strategy, but the immediate issue is a creditor lawsuit and payment inability, so bankruptcy is secondary. || Debtor/Creditor / General (Debtor): Gemini 3.1 Pro Preview: The user owes money, is currently being sued by a creditor, and is looking for legal strategies like settling or filing motions to handle the immediate threat. / GPT-5.2: User is being sued by a creditor and is exploring options like filing a motion or settling; this is defending/handling a debt collection lawsuit."
116,"My ex-husband has filed for Chapter 7 bankruptcy. My divorce lawyer had said even with the division of debts in the decree, including those not in my name, I could still be liable for his debts and pursued by his creditors in the future. I am seeking clarity, and any relevant assistance to protect my assets.",Bankruptcy,,Bankruptcy / Other,possible two-label candidate,2,Family Law / General (Divorce/Separation) || Bankruptcy / Other,3 || 2,0 || 2,"Family Law / General (Divorce/Separation): DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Bankruptcy / Other: Gemini 3.1 Pro Preview, GPT-5.2","Family Law / General (Divorce/Separation): DeepSeek v4: The issue stems from a divorce decree's debt division, which touches on family law, but the immediate legal need is navigating the bankruptcy's impact on the creditor's rights. / Gemini 3.1 Pro Preview: The issue stems directly from the division of debts in a divorce decree and how that decree interacts with post-divorce creditor claims. / GPT-5.2: Issue arises from a divorce decree allocating debts; included second because the core question is liability to creditors after the divorce in light of bankruptcy, which is primarily a bankruptcy-law effect. || Bankruptcy / Other: Gemini 3.1 Pro Preview: The user needs to navigate the complex effects of their ex-husband's bankruptcy case and protect their own assets from his creditors. / GPT-5.2: User is not filing themselves but needs advice on how an ex-spouse’s Chapter 7 and divorce debt allocation affects their potential liability and asset protection—bankruptcy-related third-party/complex effects."
120,I Have a small sole proprietor owned business in construction (tubs&counterrs) & cleaning. Im having issues being paid. Im looking to find a lawyer that knows how to… do contracts and lien property filing for my company. Im just starting to get a profit for the first time. Now I can’t seem to be paid. Invoices over due. (Approx 50% of them) causing me to do this….. if i could get a Refural please.,Business & Corporate,,Real Property / Construction/Contractors,two-label candidate,2,Debtor/Creditor / General (Creditor) || Real Property / Construction/Contractors,2 || 2,1 || 1,"Debtor/Creditor / General (Creditor): Gemini 3.1 Pro Preview, GPT-5.2 || Real Property / Construction/Contractors: DeepSeek v4, GPT-5.2","Debtor/Creditor / General (Creditor): Gemini 3.1 Pro Preview: The user is owed money by their customers and is seeking to use legal tools like property liens to collect overdue invoices. / GPT-5.2: They are also a creditor trying to collect overdue invoices; included second because their requested remedy is construction lien filing rather than general debt collection. || Real Property / Construction/Contractors: DeepSeek v4: The filing of liens relates to construction work and non-payment, but the user's focus is on setting up legal processes for the business, not an active dispute with a specific property owner, so business contract advice is more appropriate. / GPT-5.2: User’s construction/cleaning business is not being paid and specifically wants help with contracts and filing property liens, which fits contractor payment and lien disputes tied to construction work."
125,I am a member of a board at a local non-profit related to the super fund site. We were contacted by the lawyer of a local company. He is insisting on a meeting. Not sure what the real intention of the meeting is. I can send you his email. Might need an environmental lawyer. Or I do t know what type of lawyer.,Business & Corporate,,Business & Corporate / Environment,possible two-label candidate,2,Business & Corporate / Environment || Business & Corporate / Non-Profit,3 || 2,3 || 0,"Business & Corporate / Environment: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Business & Corporate / Non-Profit: Gemini 3.1 Pro Preview, GPT-5.2","Business & Corporate / Environment: DeepSeek v4: Board member of a non-profit involved with a Superfund site was contacted by a company's lawyer; the environmental context and potential regulatory issues suggest a need for an environmental business attorney. / Gemini 3.1 Pro Preview: The core of the issue involves a legal dispute or inquiry regarding a superfund site, indicating a need for environmental law expertise. / GPT-5.2: As a nonprofit board member connected to a Superfund site, they were contacted by a company lawyer and suspect an environmental/regulatory matter affecting the organization. || Business & Corporate / Non-Profit: Gemini 3.1 Pro Preview: The user is acting in their capacity as a board member for a non-profit organization, which may require specific organizational counsel. / GPT-5.2: The client is a nonprofit board member needing counsel on how to respond to an opposing lawyer; included as a fallback if the issue is governance/operations rather than environmental compliance."
130,Looking for an attorney that specializes in business contract law and if possible has experience in farm contracts. The issue at hand stems from a verbal extension of a written lease that the other party has decided they no longer want to honor the lease extension.,Business & Corporate,,Real Property / Agriculture/Farm,two-label candidate,2,Business & Corporate / Agriculture/Farm || Real Property / Agriculture/Farm,3 || 2,1 || 2,"Business & Corporate / Agriculture/Farm: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Real Property / Agriculture/Farm: Gemini 3.1 Pro Preview, GPT-5.2","Business & Corporate / Agriculture/Farm: DeepSeek v4: Dispute over a verbal extension of a written farm lease involves business contract law specific to agricultural operations, fitting farm business legal issues. / Gemini 3.1 Pro Preview: The user is looking for an attorney with experience in farm business contracts. / GPT-5.2: They seek counsel experienced in farm contracts; included as a secondary fit if the dispute centers more on business contracting than the land/leasehold property rights. || Real Property / Agriculture/Farm: Gemini 3.1 Pro Preview: The dispute centers on the validity of a verbal extension for a written lease agreement on agricultural property. / GPT-5.2: Dispute concerns a farm lease and an alleged verbal extension of a written lease, which is a farm-land lease issue tied to agricultural property."
136,We are in need of a securities lawyer to help with recovering taxes from a churning situation involving our parent's financial advisor/fiduciary.,Business & Corporate,,Business & Corporate / Securities,two-label candidate,2,Business & Corporate / Securities || General Litigation / General Litigation,2 || 2,2 || 1,"Business & Corporate / Securities: DeepSeek v4, GPT-5.2 || General Litigation / General Litigation: Gemini 3.1 Pro Preview, GPT-5.2","Business & Corporate / Securities: DeepSeek v4: User needs a securities lawyer to recover taxes from churning by a financial advisor, concerning financial instruments and fiduciary misconduct typical of securities issues. / GPT-5.2: They describe a churning situation by a financial advisor/fiduciary and want a securities lawyer, indicating an investment/securities-related dispute. || General Litigation / General Litigation: Gemini 3.1 Pro Preview: The user is seeking to recover damages from a financial advisor for 'churning,' which is a civil tort/fraud lawsuit. / GPT-5.2: If framed primarily as a civil recovery action for losses/taxes rather than securities compliance/transactions, it may proceed as general civil litigation; included second due to limited details."
139,Looking for an attorney/lawyer that specializes in small business restaurant and hospitality. Also have a need for investment property/realestate law services. general consulting and litigation services.,Business & Corporate,,Business & Corporate / Restaurant/OLCC,possible two-label candidate,2,Business & Corporate / Restaurant/OLCC || Real Property / General (Commercial),3 || 2,3 || 0,"Business & Corporate / Restaurant/OLCC: DeepSeek v4, Gemini 3.1 Pro Preview, GPT-5.2 || Real Property / General (Commercial): Gemini 3.1 Pro Preview, GPT-5.2","Business & Corporate / Restaurant/OLCC: DeepSeek v4: Looking for a small business restaurant and hospitality lawyer, with additional real estate needs, points primarily to restaurant/OLCC business legal issues. / Gemini 3.1 Pro Preview: The user explicitly requests a lawyer specializing in the small business restaurant and hospitality industry. / GPT-5.2: They seek counsel specializing in restaurant/hospitality, which commonly involves regulatory and licensing needs including OLCC-related issues. || Real Property / General (Commercial): Gemini 3.1 Pro Preview: The user also states a need for legal services regarding investment property and real estate. / GPT-5.2: They also request investment property/real estate law services, which aligns with commercial real property purchase/lease and related disputes."
140,"I need legal assistance with regards to a farm. Someone who understands agriculture transactions, leases, trusts, etc. I need representation for both the transaction and tax advice. Thanks!",Business & Corporate,,Real Property / Agriculture/Farm,two-label candidate,2,Business & Corporate / Agriculture/Farm || Real Property / Agriculture/Farm,2 || 2,2 || 1,"Business & Corporate / Agriculture/Farm: DeepSeek v4, Gemini 3.1 Pro Preview || Real Property / Agriculture/Farm: Gemini 3.1 Pro Preview, GPT-5.2","Business & Corporate / Agriculture/Farm: DeepSeek v4: User needs legal assistance with farm transactions, leases, trusts, and tax advice, all falling under agricultural business law. / Gemini 3.1 Pro Preview: The user needs assistance with agricultural transactions, making this a matter of farm business operations. || Real Property / Agriculture/Farm: Gemini 3.1 Pro Preview: The request involves farm leases and land-related trusts, tying into real property laws for agricultural land. / GPT-5.2: They need legal assistance related to a farm including transactions and leases, which are farm-property and agricultural real estate matters."
