Category,Subcategory,Enriched Description
Criminal Law,Expunction,"User wants to have a past arrest or criminal charge legally erased or sealed from their government record. They will often use phrases like ""clearing my record"" or ""sealing my record."""
Criminal Law,Forfeiture,"The government has seized property (e.g., a car, cash) connected to a crime, and the user is trying to reclaim ownership of that property."
Criminal Law,Game Violations,"User has been charged with a crime related to hunting or fishing regulations, such as poaching or fishing without a license."
Criminal Law,Gun Rights,"User is trying to restore their right to own a firearm after a criminal conviction/expungement, or was denied a firearm purchase during a background check. The core issue is the legal ability to possess a weapon."
Criminal Law,Juvenile Offender,"A minor (under 18) has been charged with a criminal act. The case is handled in the juvenile justice system, which has different procedures than adult court."
Criminal Law,Lessor Felony,"User is charged with a serious crime that is not a Measure 11 offense. Examples include Burglary II, Assault III, or Criminal Mischief I. These are less severe than major felonies but more serious than misdemeanors."
Criminal Law,Local Ordinances,"User is charged with violating a specific city or municipal law, rather than a state criminal statute. The offense is often minor and highly localized, like a specific waste management rule."
Criminal Law,Major Felony,"User is accused of a very serious crime, often a Measure 11 offense with mandatory minimum sentences. Examples include Murder, Kidnapping I, Robbery I, or manufacturing/delivery of controlled substances."
Criminal Law,Mental Commitment,"User is being held in a mental health facility against their will and wants to challenge the commitment. The legal action is to secure their release."
Criminal Law,Misdemeanor,"User is charged with a less serious crime. Examples include Assault IV, Theft II, Criminal Trespass, or Disorderly Conduct. These are more serious than violations but less than felonies."
Criminal Law,Non-Capital Murder,"The defendant is accused of murder, but the circumstances do not warrant the death penalty (e.g., Manslaughter, Murder II)."
Criminal Law,Parole/Probation,"User is already convicted and is on parole or probation, but is having issues with their probation officer or wants to modify the terms of their supervision."
Criminal Law,Post Conviction/ Appeals,"User has already been convicted of a crime and wants to challenge the conviction or sentence by arguing that legal errors were made during their trial."
Criminal Law,Relief From Sex Offender Registration,"User is a registered sex offender who meets specific legal criteria and wants to petition the court to be removed from the registry. This is a specific legal process, not a general appeal."
Criminal Law,Traffic Offenses,"User has received a citation for a moving violation like speeding or reckless driving. It is a non-criminal violation, but they want to fight the ticket to avoid fines or points on their license."
Criminal Law,Traffic Offenses - CDL drivers.,"A commercial driver with a CDL has received a traffic ticket. The stakes are higher because it can affect their employment, so they are more likely to hire an attorney to fight it."
Criminal Law,White Collar Crimes,"The crime is financial in nature and typically committed by a business or government professional. Examples include embezzlement, money laundering, or major fraud. The charge is often a felony."
Criminal Law,Other,"Niche criminal defense areas like medical marijuana defense, computer crimes, search and seizure issues, or habeas corpus petitions."
Debtor/Creditor,Collection/Harassment,"A debt collector is using abusive, deceptive, or unfair practices to collect a debt. The user may mention being called at all hours, being threatened, or other violations of the FDCPA."
Debtor/Creditor,Debt Counseling/Workouts,"User acknowledges they owe a debt but cannot afford the current payment terms. They need legal help to negotiate a new payment plan or settlement with the creditor to avoid collections or bankruptcy."
Debtor/Creditor,General (Creditor),"The user is the one who is owed money and is seeking legal help to collect that debt from a person or business. They want to use legal tools like garnishment or liens."
Debtor/Creditor,General (Debtor),"User owes money and is facing consequences like wage garnishment or a lien on their property. This is a broad category for when someone is being pursued for a debt they cannot pay."
Debtor/Creditor,Judgement Collection,"The user has already won a lawsuit and has a court judgment ordering someone to pay them money, but they are having trouble actually collecting it. They need help enforcing the judgment."
Debtor/Creditor,Student Loans,"The user is struggling with student loan debt. The legal advice often revolves around repayment options, consolidation, or defense against collection, as student loans are very difficult to discharge in bankruptcy."
Debtor/Creditor,Other,"Specific debt-related issues like defending against auto repossession, dealing with credit reporting errors, or negotiating car loan workouts."
Family Law,Adoption/DHS,"Concerns a straightforward adoption, most commonly a step-parent adopting a spouse's child, or foster parents adopting a child in their care. DHS is often involved."
Family Law,Birth Certificate/Name Changes,"An individual (or a parent on behalf of a minor) is petitioning the court to legally change their name and/or sex designation on official documents like their birth certificate."
Family Law,Child Custody/Visitation,"Disputes over legal decision-making authority (custody) and parenting time schedules for a child. This is often part of a divorce but can also be a standalone issue for unmarried parents."
Family Law,Child Support/Modification,"Concerns the establishment or modification of court-ordered financial support for a child. A modification is usually sought because of a significant change in income for one of the parents."
Family Law,Collaborative Family Law,"Both parties agree to resolve their family law issues (divorce, custody) outside of court through negotiation with specially trained lawyers. The key is a commitment to avoid litigation."
Family Law,Document Review,"User needs an attorney to review family law documents they have prepared or received, such as a divorce settlement, prenuptial agreement, or custody plan. Often for pro se litigants."
Family Law,Emancipation,"A minor is seeking to become legally independent from their parents, freeing them from parental control and responsibility. The minor must prove they are self-supporting. This is very rare."
Family Law,General (Divorce/Separation),"Covers all aspects of dissolving a marriage or domestic partnership, including division of property and spousal support. This is the main category for issues related to a marital split."
Family Law,Grandparent Rights,"Grandparents are seeking court-ordered visitation with their grandchildren, or in some cases, custody or guardianship when the parents are deemed unfit."
Family Law,Guardianship(minor),"An adult (often a relative) is asking a court to grant them the legal authority to care for a minor and make decisions on their behalf because the parents are unable to do so."
Family Law,Informal Living Arrangements,"A cohabiting, unmarried couple is separating and needs to resolve disputes over property or living situations. There is no formal marriage or domestic partnership agreement."
Family Law,Interstate/Independent Adoption,"A complex adoption that involves parents and a child from different states or countries, or a private adoption arranged without an agency. This requires navigating multiple jurisdictions' laws."
Family Law,Juvenile/DHS Issue - SCF (CSD) related,"The Department of Human Services (DHS) is involved with a family, usually due to allegations of child abuse or neglect. The user may be fighting to prevent their children from being removed or to get them back from foster care."
Family Law,Military,"Any family law matter (divorce, custody) where at least one party is a member of the armed forces. This is a specialized area due to federal laws affecting deployment, jurisdiction, and retirement benefits."
Family Law,Parental Responsibility,"A parent is being held financially liable for damages or injuries caused by their minor child's actions."
Family Law,Paternity,"There is a legal dispute about who the biological father of a child is. This is often resolved through court-ordered DNA testing and is necessary to establish rights to custody and child support."
Family Law,Prenuptial Agreements,"A user needs an attorney to draft, review, or challenge a contract made before marriage that dictates how assets will be divided in the event of a divorce."
Family Law,Pro Se Coaching,"User is representing themselves in a family law matter and needs strategic advice and guidance from an attorney, but does not want to hire them for full representation."
Family Law,QDROs,"Relates to the division of retirement assets (pensions, 401(k)s, PERS) during a divorce. The key is that the issue stems from a separation or divorce decree, not a direct dispute with the retirement plan administrator over benefits."
Family Law,Restraining Orders,"A person is seeking a Family Abuse Prevention Act (FAPA) restraining order against a current or former spouse, partner, or household member due to domestic violence or threat of abuse."
Family Law,Same Sex Couples & Parents,"Addresses family law issues unique to same-sex couples, such as resolving asset division for unregistered domestic partnerships or ensuring parentage is correctly established on a child's birth certificate."
Family Law,Spousal Support,"Concerns court-ordered payments from one ex-spouse to another after a divorce. Can be for transitional (education), compensatory (contribution to career), or maintenance (long-term) purposes."
Family Law,Terminate Parent Rights,"A legal action to permanently sever the legal relationship between a parent and child. This can be voluntary (e.g., to allow a step-parent adoption) or involuntary (due to abuse/neglect)."
Family Law,Other,"Niche family law areas like cohabitation agreements, assisted reproductive technology (ART) law, or postnuptial agreements."
General Litigation,Actions Against Police,"A civil lawsuit against police officers or their department for misconduct such as false arrest, excessive force, or malicious prosecution. This is a civil rights claim for monetary damages, not a criminal defense."
General Litigation,ADA,"A person with a disability is suing a business or public entity for discrimination because they were denied reasonable accommodation or access (e.g., no wheelchair ramp, refusal to allow a service animal). Distinguish from employment ADA issues."
General litigation,Animal Law,"Legal disputes involving animals. Common issues include custody battles over a pet in a breakup, damages from an animal bite, or disputes with a breeder. The law treats animals as property."
General Litigation,Aviation,"Legal disputes related to air travel or airport operations. This is not for minor issues like a canceled flight, but for significant regulatory violations or major incidents."
General Litigation,Child Abuse Victims,"An adult is filing a civil lawsuit to seek monetary damages for abuse they suffered as a child. The defendant is the abuser or an institution that enabled the abuse. This is a civil claim, not a criminal prosecution."
General Litigation,Civil Matter for Inmates,"An incarcerated person is filing a lawsuit over their conditions of confinement, alleging violations of their constitutional rights, such as inadequate medical care, excessive force by guards, or denial of religious freedom."
General Litigation,Civil Rights,"A lawsuit alleging discrimination based on a protected characteristic (race, gender, religion, disability, etc.) in areas like housing, education, or public accommodations. It is about equal treatment and freedom from discrimination."
General Litigation,Crime Victim,"A person who was the victim of a crime is filing a separate civil lawsuit against the perpetrator to recover monetary damages for their injuries and losses (restitution). This is independent of the criminal case."
General Litigation,General Litigation,"A catch-all for lawsuits that do not fit into a more specific category. Use this when the user needs to sue someone or is being sued, and the subject matter is unique."
General Litigation,General Torts/Privacy,"A lawsuit for a civil wrong that caused harm, but isn't a breach of contract. Includes cases like invasion of privacy (e.g., a paparazzi) or other intentional or negligent acts causing harm that aren't physical injuries."
General Litigation,Health Law/HIPAA,"Disputes related to healthcare regulations. A key issue is a violation of the Health Insurance Portability and Accountability Act (HIPAA), where a patient's private medical information was wrongfully disclosed."
General Litigation,Insurance (Health/Disability),"A user is suing their private health or disability insurance company because the company has denied a claim or refused to cover a medical procedure. The dispute is about whether a specific event is covered under the policy."
General Litigation,Insurance (Liability),"A user is suing their own insurance company (for home, auto, etc.) because the insurer is refusing to pay a valid claim after an event like a car crash or house fire. The core is a dispute over coverage."
General Litigation,Libel/Slander/Defamation,"A lawsuit over false statements that have harmed a person's reputation. Libel is written/published defamation; slander is spoken. The statement must be a damaging untruth."
General Litigation,Malpractice-Dental,"A lawsuit against a dentist or oral surgeon for professional negligence that caused significant injury or death to a patient. The care provided fell below the accepted standard."
General Litigation,Malpractice-Legal,"A lawsuit against a former attorney for professional negligence that caused harm to the client's case. A common example is an attorney missing a critical deadline like the statute of limitations."
General Litigation,Malpractice-Medical,"A lawsuit against a doctor, hospital, or other healthcare provider for professional negligence (an act or omission) that deviated from the standard of care and caused injury or death to a patient."
General Litigation,Maritime,"Legal issues related to ships, cargo, and events on navigable waters. Includes things like ship collisions, cargo loss, and injuries to sailors (Jones Act claims)."
General Litigation,Mold Claims,"A lawsuit, typically by a tenant against a landlord or a homeowner against a builder, for damages caused by toxic mold in a residence. Often involves claims of personal injury and property damage."
General Litigation,Neighbor Disputes/Nuisance,"Disputes between neighbors over issues like property boundaries, fences, noise, bad smells, or water runoff. The legal claim is often that one neighbor's actions create a 'nuisance' that interferes with the other's enjoyment of their property."
General Litigation,Online Harassment/Doxing/Bullying,"A lawsuit over harmful online behavior, such as repeated harassment, publicly posting private information (doxxing) with malicious intent, or a severe campaign of cyberbullying causing emotional distress."
General Litigation,Personal Injury,"A lawsuit to recover damages for physical or psychological injury caused by someone else's negligence or wrongful act. The most common examples are car accidents and 'slip and fall' incidents."
General Litigation,Premises Liability,"A lawsuit against a property owner (business or private) for an injury that occurred on their property due to an unsafe condition (e.g., a wet floor with no sign, a broken staircase). The owner failed in their duty to keep the premises safe."
General Litigation,Products Liability,"A lawsuit against a manufacturer, distributor, or seller of a product that caused injury due to a design defect, manufacturing flaw, or failure to warn of a danger."
General Litigation,Property Damage,"A lawsuit seeking compensation for damage to real or personal property caused by another's negligence or willful act. Often related to car accidents, but can also cover damage to a home, fence, etc."
General Litigation,Services for Plaintiffs and Defendants,"This indicates an attorney is willing to represent either the person suing (plaintiff) or the person being sued (defendant) in a particular type of litigation."
General Litigation,Stalking Orders,"A person is seeking a court order to protect them from someone who is not a family or household member but is repeatedly following, harassing, or threatening them."
General Litigation,Tort Claims Act,"For civil lawsuits against a government entity (federal, state, or local) for wrongful acts or negligence causing harm. For example, an injury caused by a city bus or a government employee. Differentiate from standard personal injury by identifying the defendant as a government body. These cases have very strict and short deadlines."
General Litigation,Wrongful Death,"A lawsuit brought by the surviving family members of a person who died due to someone else's negligence or intentional act. The family seeks compensation for their loss, such as lost income and companionship."
General Litigation,Other,"Niche litigation areas like class actions, nursing home abuse cases, fire loss claims, or defending against SLAPP (strategic lawsuit against public participation) suits."
Intellectual Property,Computer Law & Internet Law,"Legal issues arising from the use of computers and the internet. Includes domain name disputes, software licensing, data privacy, and cybercrime-related civil matters like credit card fraud or unauthorized system access."
Intellectual Property,Entertainment,"This IP sub-category focuses on protecting creative works in the entertainment industry. Differentiate from the Business & Corporate version by focusing on the IP (copyright, trademark) rather than the business contract."
Intellectual Property,Patent (Reg Patent Attys Only),"User has invented a new process, machine, or article and needs a specialized attorney registered with the USPTO to help them apply for a patent to protect their invention."
Intellectual Property,Trademark/Copyright,"User needs help protecting a brand name, logo, or slogan (trademark) or an original creative work like a book, song, or photo (copyright). This includes registration and lawsuits for infringement."
Intellectual Property,Other,"Specific IP niches like music or art law, trade secrets litigation, or disputes over trade dress (the look and feel of a product)."
International Law,Business and Corporate,"A business has a legal issue that crosses national borders, such as an international contract dispute, setting up a foreign subsidiary, or cross-border corporate compliance."
International Law,"Customs, Quotas & Duties","A business is having a dispute with a government customs agency over the importation or exportation of goods, including issues with tariffs, duties, or import limits (quotas)."
International Law,Deportation,"An immigrant (non-citizen) is facing removal from the U.S. due to a visa violation or criminal conviction. They need legal defense in immigration court to avoid being deported."
International Law,Family Law,"A family law matter (divorce, child custody) is complicated by international borders. For example, one parent has taken a child to another country, or a divorce involves assets in multiple countries."
International Law,Gen. Immigration/Visas,"A person needs help legally entering or remaining in the U.S. This includes applying for visas (work, family, travel), green cards (permanent residency), or citizenship (naturalization)."
International Law,Import/Export Regulation,"A business has a dispute related to international trade laws and agreements, like those governed by the WTO or NAFTA. This is about the rules of trade, not just customs fees."
International Law,Litigation,"Indicates an attorney can handle a lawsuit that involves international elements, such as serving a defendant in another country or enforcing a foreign court judgment."
International Law,Taxation,"User has a tax issue involving more than one country, such as a U.S. citizen paying taxes on income earned abroad or a foreign national dealing with U.S. tax obligations."
International Law,Other,"Niche international topics like political asylum cases, NAFTA-specific professional visas, or international estate planning."
Labor & Employment,ADA (Disability) Act Issues,"An employee with a disability is being denied a reasonable accommodation by their employer, or faced discrimination (e.g., was fired) because of their disability. The dispute is specifically about disability rights in the workplace."
Labor & Employment,Discrimination,"An employee has suffered an adverse employment action (e.g., fired, demoted, not hired) because of their race, religion, gender, age, or sexual orientation. Differentiate from ADA by the nature of the protected class."
Labor & Employment,Document Review/Severance Packages.,"An employee has been offered a severance package upon termination and needs an attorney to review the agreement before they sign. Can also include review of employment contracts or performance improvement plans."
Labor & Employment,FLSA,"A dispute over federal labor standards, most commonly involving failure to pay the federal minimum wage or required overtime. This is about violations of the Fair Labor Standards Act."
Labor & Employment,FMLA,"An eligible employee was denied unpaid, job-protected leave for a qualifying family or medical reason, or was retaliated against for taking such leave, in violation of the Family and Medical Leave Act."
Labor & Employment,General,"A broad category for workplace issues not covered by a more specific topic. The user is an employee with a problem related to their job or employer."
Labor & Employment,Pensions/Benefits/Erisa,"An employee has a dispute over their retirement or pension plan, often involving a denial of benefits. These cases are typically governed by the federal Employee Retirement Income Security Act (ERISA)."
Labor & Employment,Public Employees? - Civil Service/Public Employees,"A government employee (federal, state, or local) has a workplace issue. Their rights are often governed by different civil service rules than private-sector employees."
Labor & Employment,Sexual Harrasment,"An employee is being subjected to unwelcome sexual advances, requests for sexual favors, or other verbal or physical harassment of a sexual nature, creating a hostile work environment."
Labor & Employment,Union Issues,"An employee has a dispute with their own labor union, such as a claim that the union failed to represent them fairly. This is not for general disputes with an employer where a union is present."
Labor & Employment,Wage and Hour Claims,"An employee has not been paid correctly under state law. Common issues include not being paid for all hours worked, illegal deductions from pay, or failure to pay state-mandated overtime or provide required rest breaks."
Labor & Employment,Whistleblowers,"An employee was fired or retaliated against for reporting their employer's illegal activity. These cases are extremely time-sensitive, often with a 30 or 90-day deadline to take action."
Labor & Employment,Wrongful Discharge,"An employee was fired or forced to quit for an illegal reason, such as retaliation for filing a workers' comp claim, serving on a jury, or refusing to perform an illegal act. This is an exception to the 'at-will' employment doctrine."
Labor & Employment,Other,"Niche employment topics like retaliation claims not covered elsewhere, disputes over short/long-term disability benefits, or issues under the Fair Labor Standards Act (FLSA)."
Real Property,Agriculture/Farm,"Legal issues directly related to farm land, such as disputes over agricultural leases, water rights for irrigation, or specific farm-related easements. The property itself is a farm."
Real Property,Condemnation,"A government entity is using its power of eminent domain to take private property for public use, or a property is being declared unfit for habitation. The owner may be challenging the action or the compensation offered."
Real Property,Construction/Contractors,"A dispute between a property owner and a contractor over a construction project. Issues include poor workmanship, failure to complete the job, or a contractor filing a lien for non-payment."
Real Property,Eminent Domain,"A government body is seeking to take private property for a public project (e.g., a new road or park). The legal issue is whether the taking is legal and if the 'just compensation' offered to the owner is fair."
Real Property,Environmental,"A property has environmental contamination issues, such as a leaking underground oil tank or soil pollution. The legal matter involves liability for cleanup costs."
Real Property,Foreclosure,"A homeowner is facing the loss of their property because they have fallen behind on mortgage payments. The user wants to fight the foreclosure process or negotiate with the lender to save their home."
Real Property,General (Commercial),"Any real estate issue involving property used for business purposes, such as an office building, retail store, or industrial site. Examples include commercial lease disputes or purchase/sale agreements."
Real Property,General (residential),"Any real estate issue involving a person's home or other non-commercial property. Common issues include purchase/sale disputes, title problems, or boundary line disagreements."
Real Property,"Government Loans (VA,FHA,Etc.)","User is having a dispute related to a home loan that is backed or insured by a government entity like the Federal Housing Administration (FHA) or the Department of Veterans Affairs (VA)."
Real Property,Homeowners Association,"A homeowner is in a dispute with their Homeowners Association (HOA) over rules, fees, or alleged violations of the community's covenants, conditions, and restrictions (CC&Rs)."
Real Property,Land Use/Zoning,"A dispute over how a piece of land can be used, based on local government zoning ordinances. For example, a property owner wants to build something that the city's zoning code does not permit."
Real Property,Landlord Commercial,"The user is a landlord of a commercial property and is having a dispute with a business tenant, such as non-payment of rent or violation of lease terms."
Real Property,Landlord Residential,"The user is a landlord of a residential property (house, apartment) and is having a dispute with a tenant, such as needing to evict them for non-payment or property damage."
Real Property,Litigation,"This indicates that a real estate dispute is likely to go to court and requires an attorney who handles trials, such as a lawsuit to 'quiet title' or a complex foreclosure defense."
Real Property,LLTN – ADA issues/Animals/Accommodations,"A tenant with a disability is requesting a reasonable accommodation (like a service animal in a no-pet building) or a reasonable modification (like installing a ramp) from their landlord, and the request has been denied."
Real Property,"Mining, Oil","Legal issues related to the rights to extract natural resources like minerals, oil, or gas from a piece of land. Often involves leases and disputes with government agencies like the Bureau of Land Management."
Real Property,Mobile Home (Landlord),"The user is the owner of a mobile home park and is in a dispute with a tenant who owns their home but rents the lot. These cases are governed by specific landlord-tenant laws."
Real Property,Mobile Home (Tenant/Owner),"The user lives in a mobile home park (owning the home, renting the lot) and has a dispute with the park owner/landlord over issues like rent increases, park rules, or eviction."
Real Property,Property Tax,"A property owner is disputing the assessed value of their property with the county tax assessor, believing it is too high and results in an unfair property tax bill."
Real Property,Tenant (Commercial),"The user is a business that is renting commercial space and is in a dispute with their landlord. For example, the landlord failed to make necessary repairs to their office or retail space."
Real Property,Tenant (Residential),"The user is a tenant renting a home or apartment and has a dispute with their landlord. Common issues include the landlord's failure to make repairs, wrongful withholding of a security deposit, or fighting an eviction."
Real Property,Water Law,"Disputes over the right to use water from a source like a river, stream, or well. Involves water rights, permits, and compliance with environmental laws like the Clean Water Act."
Real Property,Other,"Niche real estate topics like creating or disputing an easement (the right to use someone else's land), resolving construction liens, or issues with title insurance."
Taxation,Business & Corporate,"A business is having a dispute with the IRS or a state tax agency. A common trigger is an audit of the company's finances or a disagreement over corporate tax liability."
Taxation,Criminal,"The user is being criminally investigated or prosecuted for tax evasion or tax fraud. This is a criminal defense matter, not a civil dispute over how much is owed."
