scenario_id,boundary_id,direction,flip_type,mechanism,opening_query,initial_category,initial_subcategory,final_category,final_subcategory,plausible_initial_labels,hidden_fact,fact_as_answer,relevant_question_topic,counterfactual_category,counterfactual_subcategory,counterfactual_hidden_fact,counterfactual_fact_as_answer,grounding_source_rows,grounding_note,safety_sensitive,vetting_note,generator_model,candidate_status
v2_business_entity_specifics_10,business_entity_specifics,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,A guy is making money off videos of my performances without any agreement with me.,Intellectual Property,Entertainment,Business and Corporate,Entertainment,Intellectual Property > Entertainment || Business and Corporate > Entertainment || Intellectual Property > Trademark/Copyright,"He's my former manager — there WAS a contract, and the fight is whether his expired management deal still gives him video rights. It's a contract fight, not raw infringement.","He's my ex-manager — there was a contract, and the fight is whether his expired deal still covers video rights. It's contractual.",whether an underlying entertainment contract governs the use,Intellectual Property,Entertainment,He's a stranger who records shows and sells clips — no agreement has ever existed between us.,He's a stranger selling clips of my shows — no agreement has ever existed.,"human_disagreements rows 66, 125, 126, 33; taxonomy Business & Corporate descriptions","Business & Corporate routing turns on entity/industry facts: nonprofit status (501c3), liquor licensing (Restaurant/OLCC), franchise agreements, securities offerings, marijuana licensing, or a sale/dissolution transaction. Rows 66/125/126 all split because the description omitted the entity's nature. 'I need a business lawyer' is the generic opening; the entity fact routes it.",false,Row 126's IP-vs-business entertainment split: contract-existence is the boundary fact.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_business_entity_specifics_24,business_entity_specifics,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,Our family restaurant got a violation notice that could close us and we don't understand our options.,Business and Corporate,Restaurants/OLCC,Administrative Law,General (Local/Municipal),Business and Corporate > Restaurants/OLCC || Administrative Law > General (Local/Municipal),It's the county health department over our outdoor kitchen setup — no liquor issue at all; it's a local administrative appeal.,It's the county health department about our outdoor kitchen — nothing to do with liquor. Local administrative appeal.,which regulator issued the violation,Business and Corporate,Restaurants/OLCC,"It's the OLCC — a minor-decoy sting, and our liquor license is what's on the line.",It's the OLCC after a minor-decoy sting — the liquor license is on the line.,"human_disagreements rows 66, 125, 33",Expansion batch: more entity/industry/transaction disclosures.,false,Same restaurant panic; regulator identity routes.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_business_entity_specifics_44,business_entity_specifics,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,The city is making it impossible to run our food-truck commissary and we suspect favoritism.,Administrative Law,General (Local/Municipal),Real Property,Land Use/Zoning,Administrative Law > General (Local/Municipal),They rezoned our block industrial-exclusive last month with no notice to us — challenging the rezoning process and grandfathering our use is the case.,They rezoned our block industrial-exclusive with no notice — challenging that process and grandfathering our use is the case.,whether a rezoning action is the operative harm,Administrative Law,General (Local/Municipal),"Zoning's unchanged — it's health-permit inspections at triple the frequency of the commissary across town, and the appeal of our latest citation.",Zoning's unchanged — it's triple-frequency inspections and our citation appeal.,"human_disagreements rows 66, 125, 33",Third batch.,false,Rezoning-vs-enforcement facts.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_business_entity_specifics_46,business_entity_specifics,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,Our 501(c)(3) board discovered our treasurer has been 'borrowing' from the operating account.,Business and Corporate,Non-Profit,Criminal Law,White Collar Crime,Business and Corporate > Non-Profit || Criminal Law > White Collar Crime,"It's $240,000 over four years with forged countersignatures — the board's duty now includes referral to prosecutors and our D&O carrier, not just governance cleanup.","It's $240,000 over four years with forged countersignatures — prosecutor referral and the D&O carrier are now board duties.",whether the scale and forgery compel criminal referral,Business and Corporate,Non-Profit,"It's $3,000 of sloppy reimbursements he's repaying — a governance and controls fix, handled internally.","It's $3,000 of sloppy reimbursements being repaid — a governance fix.","human_disagreements rows 66, 125, 33",Third batch.,false,Scale-and-forgery facts set the referral duty.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_capacity_and_protection_01,capacity_and_protection,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,I need to take over my father's finances before he loses everything. Where do I start?,Wills & Trusts,Power of Attorney,Wills & Trusts,Conservatorship/Guardianship,Wills & Trusts > Power of Attorney || Wills & Trusts > Conservatorship/Guardianship,"His dementia is advanced — his doctor says he no longer understands documents, so he can't sign anything voluntarily.","His dementia is advanced — the doctor says he can't understand documents anymore, so he can't sign anything.",whether the parent still has legal capacity to sign planning documents,Wills & Trusts,Power of Attorney,He's still sharp and completely agrees — he wants to sign whatever gives me authority to help.,He's still sharp and on board — happy to sign whatever gives me authority.,"human_disagreements rows 56, 234; review row 421",Row 56 (POA for aging father asking about guardianship/conservatorship) split humans between Conservatorship/Guardianship and Power of Attorney. The dividing fact is capacity and consent: an elder who can still knowingly sign documents needs a POA; one who cannot needs a court-appointed guardian/conservator. Families know the capacity facts precisely and rarely state them up front.,false,Row 56's boundary exactly: capacity+consent → POA; incapacity → court guardianship.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_capacity_and_protection_07,capacity_and_protection,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,I'm my dad's power of attorney and his care facility is questioning what I'm allowed to do.,Wills & Trusts,Power of Attorney,Wills & Trusts,Conservatorship/Guardianship,Wills & Trusts > Power of Attorney || Wills & Trusts > Conservatorship/Guardianship,"The POA only covers finances — the facility needs medical decisions made and dad can no longer consent, so I'm told I need guardianship for healthcare.","The POA is financial only — the facility needs medical decisions and dad can't consent anymore, so they say I need guardianship.",whether the existing document's scope covers the decisions now needed,Wills & Trusts,Power of Attorney,The POA is broad and valid — the facility just wants it reviewed and re-certified with current statutory language.,The POA is broad and valid — they just want it reviewed and updated to current language.,"human_disagreements rows 56, 234; review row 421",Row 56 (POA for aging father asking about guardianship/conservatorship) split humans between Conservatorship/Guardianship and Power of Attorney. The dividing fact is capacity and consent: an elder who can still knowingly sign documents needs a POA; one who cannot needs a court-appointed guardian/conservator. Families know the capacity facts precisely and rarely state them up front.,false,Row 56's user literally holds a POA and asks what it covers; scope-gap fact escalates to guardianship.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_capacity_and_protection_26,capacity_and_protection,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,We need a guardianship for my mother-in-law before she signs anything else her nephew puts in front of her.,Wills & Trusts,Conservatorship/Guardianship,Wills & Trusts,Elder Abuse,Wills & Trusts > Conservatorship/Guardianship || Wills & Trusts > Elder Abuse,"It's past prevention — he already had her deed him the rental duplex and add him to two accounts; clawing those back is the case, with any guardianship second.",It's past prevention — he already got the duplex deeded over and himself onto two accounts. Clawing that back is the case.,whether completed transfers need recovery beyond protective appointment,Wills & Trusts,Conservatorship/Guardianship,"Nothing's been taken yet — the doctors say she can't manage decisions, and the appointment itself is the protection we need.","Nothing's taken yet — doctors say she can't manage decisions, so the appointment is the protection.",human_disagreements row 56,"Expansion batch: more capacity, exploitation, and instrument-scope disclosures.",false,Completed-transfer facts make recovery the case; row 56's protective side otherwise.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_capacity_and_protection_42,capacity_and_protection,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,The hospital won't release my brother to my care even though I'm all the family he has.,Wills & Trusts,Conservatorship/Guardianship,Criminal Law,Mental Commitment,Wills & Trusts > Conservatorship/Guardianship,"He's on an involuntary psychiatric hold — the county filed for commitment and the hearing is Thursday; that proceeding, not guardianship, decides everything right now.","He's on an involuntary hold — the county filed for commitment, hearing Thursday. That decides everything now.",whether a commitment proceeding is pending,Wills & Trusts,Conservatorship/Guardianship,"No hold — he's medically cleared but can't manage his own care after the brain injury, and the hospital wants a guardian appointed before discharge.","No hold — he's cleared but can't manage his care post-injury, and the hospital wants a guardian before discharge.",human_disagreements row 56,Third batch.,false,Commitment-vs-guardianship gateway.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_capacity_and_protection_43,capacity_and_protection,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,Mom's caregiver quit suddenly and we found months of unopened mail including scary bank letters.,Wills & Trusts,Elder Abuse,Real Property,Foreclosure,Wills & Trusts > Elder Abuse || Real Property > Foreclosure,The scariest letter is a notice of trustee sale — her reverse mortgage defaulted on taxes and insurance while the mail piled up; the sale is in five weeks.,The worst letter is a trustee-sale notice — her reverse mortgage defaulted on taxes while the mail piled up. Sale's in five weeks.,whether an imminent foreclosure is the emergency,Wills & Trusts,Elder Abuse,The letters show the caregiver was writing herself checks for months — the money trail is the case.,The letters show the caregiver wrote herself checks for months.,human_disagreements row 56,Third batch.,false,Unopened-mail reveal forks between emergency foreclosure and exploitation.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_capacity_and_protection_45,capacity_and_protection,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,The bank froze Dad's accounts because two different relatives showed up with 'authority' documents.,Wills & Trusts,Conservatorship/Guardianship,Wills & Trusts,Power of Attorney,Wills & Trusts > Conservatorship/Guardianship || Wills & Trusts > Power of Attorney || Wills & Trusts > Litigation,Both documents are POAs Dad signed at different times — he's competent and mortified; revoking both and executing one clean POA solves it without any court.,Both are POAs Dad signed at different times — he's competent and mortified. One clean revocation-and-new-POA fixes it without court.,whether the elder's competence allows a documentary fix,Wills & Trusts,Conservatorship/Guardianship,Dad can't weigh in anymore — his neurologist won't certify capacity — so the court has to choose who holds authority.,Dad can't weigh in — no capacity certification — so the court has to pick who holds authority.,human_disagreements row 56,Third batch.,false,Competing-instruments fact with capacity as the fork.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_charge_severity_01,charge_severity,AtoB,routing_disambiguation,M4_competing_framings_of_one_dispute,I got arrested after a fight outside a bar that I didn't start. I need a criminal defense lawyer.,Criminal Law,Misdemeanor,Criminal Law,Lesser Felony,Criminal Law > Misdemeanor || Criminal Law > Lesser Felony,"The paperwork says Assault III because the other guy's jaw was broken, and they told me that's a felony.",The charging papers say Assault III — they told me that's a felony because his jaw broke.,what specific charge appears on the citation or charging document,Criminal Law,Misdemeanor,"The citation says Assault IV and Disorderly Conduct, both misdemeanors.",The citation lists Assault IV and disorderly conduct — both misdemeanors.,"human_disagreements rows 196, 198, 67","Row 196 (stated misdemeanors but assault/strangulation conduct) split humans between Misdemeanor and Lesser Felony; the consensus rule keeps only one severity label. The disambiguating fact is what the charging document actually says — a fact the defendant holds (citation, indictment, release papers) and that narrative descriptions of the conduct systematically obscure.",false,Same brawl narrative supports either severity; only the charging document resolves it (row 196's exact ambiguity).,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_charge_severity_02,charge_severity,BtoA,routing_disambiguation,M4_competing_framings_of_one_dispute,The police charged me with assault after an argument with my brother-in-law got physical. I'm terrified.,Criminal Law,Lesser Felony,Criminal Law,Misdemeanor,Criminal Law > Lesser Felony || Criminal Law > Misdemeanor,"The complaint says Assault IV, a Class A misdemeanor; nobody was seriously hurt.",It's Assault IV on the complaint — a Class A misdemeanor. Nobody was really hurt.,the degree of assault actually charged,Criminal Law,Lesser Felony,They charged Assault III as a felony because he needed stitches and I supposedly used a bottle.,It's felony Assault III — they say I used a bottle and he needed stitches.,"human_disagreements rows 196, 198, 67","Row 196 (stated misdemeanors but assault/strangulation conduct) split humans between Misdemeanor and Lesser Felony; the consensus rule keeps only one severity label. The disambiguating fact is what the charging document actually says — a fact the defendant holds (citation, indictment, release papers) and that narrative descriptions of the conduct systematically obscure.",false,Frightened tone pulls readers toward the severe reading; the complaint's degree is the fact.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_charge_severity_17,charge_severity,BtoA,routing_disambiguation,M4_competing_framings_of_one_dispute,I was charged over an incident at work where money went missing from the till.,Criminal Law,Lesser Felony,Criminal Law,Misdemeanor,Criminal Law > Lesser Felony || Criminal Law > Misdemeanor,The charge is misdemeanor Theft III; the till was short $95.,It's misdemeanor Theft III — the till was short $95.,the amount alleged and degree charged,Criminal Law,Lesser Felony,"They charged felony Aggravated Theft because they're claiming a pattern totaling $12,000 over a year.","It's felony aggravated theft — they claim it adds up to $12,000 over a year.","human_disagreements rows 196, 198, 67","Row 196 (stated misdemeanors but assault/strangulation conduct) split humans between Misdemeanor and Lesser Felony; the consensus rule keeps only one severity label. The disambiguating fact is what the charging document actually says — a fact the defendant holds (citation, indictment, release papers) and that narrative descriptions of the conduct systematically obscure.",false,Aggregation of small takings into one felony count is a charging fact only the paperwork reveals.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_charge_severity_22,charge_severity,BtoA,routing_disambiguation,M4_competing_framings_of_one_dispute,I'm charged over a fight at my kid's hockey game that the other guy started on video.,Criminal Law,Lesser Felony,Criminal Law,Misdemeanor,Criminal Law > Lesser Felony || Criminal Law > Misdemeanor,"The complaint charges Harassment and Disorderly Conduct II — both misdemeanors, no injury alleged.","The complaint says harassment and disorderly conduct — both misdemeanors, no injury.",the filed counts,Criminal Law,Lesser Felony,They filed Assault III as a felony because he says his orbital bone cracked.,It's felony Assault III — he claims a cracked orbital bone.,"human_disagreements rows 196, 198, 67",Expansion batch: more charging-document disclosures behind conduct narratives.,false,Video-vindication feeling is irrelevant to routing; the counts are.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_charge_severity_24,charge_severity,AtoB,routing_disambiguation,M4_competing_framings_of_one_dispute,I got charged after defending myself outside my apartment when a drunk guy came at me.,Criminal Law,Misdemeanor,Criminal Law,Lesser Felony,Criminal Law > Misdemeanor || Criminal Law > Lesser Felony,"Because I had my pocketknife out, they filed Unlawful Use of a Weapon — a felony — on top of the assault count.","Because my pocketknife was out, there's a felony weapon count on top of the assault charge.",whether a weapon count elevates the case,Criminal Law,Misdemeanor,"It's one count of Assault IV, misdemeanor — no weapon was involved on my side.",One misdemeanor Assault IV count — no weapon on my side.,"human_disagreements rows 196, 198, 67",Expansion batch: more charging-document disclosures behind conduct narratives.,false,Self-defense narrative constant; weapon element does the flipping.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_charge_severity_27,charge_severity,AtoB,routing_disambiguation,M4_competing_framings_of_one_dispute,I'm being prosecuted over money from my grandmother's accounts that I was helping her manage.,Criminal Law,Misdemeanor,Criminal Law,Major Felony,Criminal Law > Misdemeanor || Criminal Law > Lesser Felony || Criminal Law > Major Felony,"The indictment charges first-degree Criminal Mistreatment and Aggravated Theft — they total it at $180,000 over four years.","The indictment says first-degree criminal mistreatment and aggravated theft — $180,000 over four years, they claim.",the indicted counts and alleged amount,Criminal Law,Misdemeanor,It's one misdemeanor count over a single $400 withdrawal they say wasn't authorized.,One misdemeanor count — a single $400 withdrawal they call unauthorized.,"human_disagreements rows 196, 198, 67",Expansion batch: more charging-document disclosures behind conduct narratives.,false,Elder-finance prosecutions span the whole range; the indictment is the fact.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_charge_severity_43,charge_severity,AtoB,routing_disambiguation,M4_competing_framings_of_one_dispute,My college son and his roommates are all charged over things found in their shared apartment.,Criminal Law,Misdemeanor,Criminal Law,Major Felony,Criminal Law > Misdemeanor || Criminal Law > Lesser Felony || Criminal Law > Major Felony,The indictment charges possession with intent to distribute — scales and baggies in the common area made everyone a 'dealer' in the state's eyes.,It's possession with intent to distribute — the scales and baggies in the common area made them all 'dealers' to the state.,whether distribution counts were charged,Criminal Law,Misdemeanor,It's a simple possession misdemeanor and a noise violation from the same night.,Simple possession misdemeanor plus a noise violation.,"human_disagreements rows 196, 198, 67",Third batch.,false,Constructive-possession escalation.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_charge_severity_44,charge_severity,AtoB,routing_disambiguation,M4_competing_framings_of_one_dispute,The school called the police about my son's backpack and now we're in the system.,Criminal Law,Juvenile Offender,Criminal Law,Major Felony,Criminal Law > Juvenile Offender || Criminal Law > Major Felony,He's 17 and the DA filed a gun charge that automatically waives to adult court under our statute.,He's 17 — but the gun charge auto-waives to adult court under the statute.,whether the charge auto-waives the juvenile to adult court,Criminal Law,Juvenile Offender,It's a juvenile-court marijuana matter with a diversion offer on the table.,"It's juvenile court — marijuana, with diversion offered.","human_disagreements rows 196, 198, 67",Third batch.,false,Auto-waiver statutes are the sharpest severity fact in juvenile cases.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
