scenario_id,boundary_id,direction,flip_type,mechanism,opening_query,initial_category,initial_subcategory,final_category,final_subcategory,plausible_initial_labels,hidden_fact,fact_as_answer,relevant_question_topic,counterfactual_category,counterfactual_subcategory,counterfactual_hidden_fact,counterfactual_fact_as_answer,grounding_source_rows,grounding_note,safety_sensitive,vetting_note,generator_model,candidate_status
v2_benefit_agency_11,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,The city denied my application and gave me two sentences of explanation after eight months of waiting.,Administrative Law,General (Local/Municipal),Real Property,Land Use/Zoning,Administrative Law > General (Local/Municipal) || Real Property > Land Use/Zoning,"It's a variance application — I want to build an accessory dwelling my lot's zoning doesn't allow, and the planning commission said no.","It's a zoning variance — I want to build an ADU my lot's zoning doesn't allow, and planning said no.",whether the denied application concerns land use and zoning,Administrative Law,General (Local/Municipal),It's my sidewalk-vendor permit for the food cart — nothing to do with property or building.,It's my food-cart vendor permit — nothing to do with property.,"human_disagreements rows 426, 429, 83, 384; taxonomy Administrative Law descriptions",Administrative Law routing depends entirely on WHICH agency and WHICH program — facts users summarize as 'the government cut my benefits.' Welfare (SNAP/TANF/DHS) vs SSI (Social Security) vs Medicaid vs PERS vs VA are distinct labels; federal vs state vs municipal general labels differ only by the agency's level. Users always know which office sent the letter.,false,'City denied my application' spans generic municipal disputes and the dedicated zoning label.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_12,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,My unemployment claim was denied and I have a hearing scheduled in three weeks. I need representation.,Administrative Law,Unemployment,Labor & Employment,Wrongful Discharge - Employee,Administrative Law > Unemployment || Labor & Employment > Wrongful Discharge - Employee,"At the fact-finding, my employer claimed 'misconduct' — but the real story is they fired me for filing a workers' comp claim, and I want to go after them for that firing too, beyond the hearing.","The employer claims 'misconduct,' but they really fired me for my workers' comp claim — I want to pursue the firing itself, not just the hearing.",whether the user seeks only the benefits hearing or also an unlawful-termination claim,Administrative Law,Unemployment,I just need someone at the hearing — the firing itself was a legitimate layoff; the state's reasoning is what's wrong.,I just need help winning the hearing — the layoff itself was legit; the state's reasoning is what's wrong.,"human_disagreements rows 426, 429, 83, 384; taxonomy Administrative Law descriptions",Administrative Law routing depends entirely on WHICH agency and WHICH program — facts users summarize as 'the government cut my benefits.' Welfare (SNAP/TANF/DHS) vs SSI (Social Security) vs Medicaid vs PERS vs VA are distinct labels; federal vs state vs municipal general labels differ only by the agency's level. Users always know which office sent the letter.,false,Replaces v1's role-reversed unemployment flips with a relief-sought disclosure: hearing-only vs hearing-plus-retaliation-claim.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_13,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,I was let go unfairly and now I have no income coming in at all. I need legal help this week.,Labor & Employment,Wrongful Discharge - Employee,Administrative Law,Unemployment,Labor & Employment > Wrongful Discharge - Employee || Administrative Law > Unemployment,The urgent piece is my unemployment denial — my appeal hearing with the state is Tuesday and I can't do it alone.,The urgent thing is the unemployment denial — my state appeal hearing is Tuesday.,whether the immediate need is the state benefits hearing,Labor & Employment,Wrongful Discharge - Employee,"Unemployment came through fine — what I want is to sue over the firing, which happened the day after I testified for a coworker.","Unemployment came through — I want to sue over the firing, which came right after I testified for a coworker.","human_disagreements rows 426, 429, 83, 384; taxonomy Administrative Law descriptions",Administrative Law routing depends entirely on WHICH agency and WHICH program — facts users summarize as 'the government cut my benefits.' Welfare (SNAP/TANF/DHS) vs SSI (Social Security) vs Medicaid vs PERS vs VA are distinct labels; federal vs state vs municipal general labels differ only by the agency's level. Users always know which office sent the letter.,false,"Mirror of 12: same grievance, immediate-relief fact selects agency hearing vs employment suit (paper's employment_admin failure mode).","claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_14,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,"The state says I was overpaid benefits during the pandemic and now they want $18,000 back.",Administrative Law,Unemployment,Administrative Law,Welfare,Administrative Law > Unemployment || Administrative Law > Welfare,It's not unemployment — the demand is from DHS for SNAP and childcare assistance they now claim I didn't qualify for.,It's DHS — SNAP and childcare assistance they now say I didn't qualify for.,which program's overpayment is being demanded,Administrative Law,Unemployment,It's the unemployment office — they reclassified my pandemic claims and want the benefits back.,It's the unemployment office — they reclassified my pandemic claims.,"human_disagreements rows 426, 429, 83, 384; taxonomy Administrative Law descriptions",Administrative Law routing depends entirely on WHICH agency and WHICH program — facts users summarize as 'the government cut my benefits.' Welfare (SNAP/TANF/DHS) vs SSI (Social Security) vs Medicaid vs PERS vs VA are distinct labels; federal vs state vs municipal general labels differ only by the agency's level. Users always know which office sent the letter.,false,Overpayment demands look identical across programs; the issuing agency is the only routing fact.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_21,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,They're taking money out of my monthly check to repay something from years ago and I barely get by as is.,Administrative Law,Social Security/SSI,Administrative Law,Welfare,Administrative Law > Social Security/SSI || Administrative Law > Welfare,The deduction is DHS recouping an old TANF overpayment out of my current food benefits.,It's DHS clawing back an old TANF overpayment from my current food benefits.,which agency is recouping which benefit,Administrative Law,Social Security/SSI,Social Security is withholding 10% of my SSI for an overpayment from when my mom's babysitting money counted against me.,Social Security's withholding a tenth of my SSI over an old overpayment.,"human_disagreements rows 426, 429, 83",Expansion batch: more program-identity and agency-level disclosures.,false,Recoupment mechanics look identical across agencies; the deducting agency routes.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_22,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,The state licensing board sent me a letter and I'm terrified to even open the follow-up.,Administrative Law,Professional Licensing,Criminal Law,Misdemeanor,Administrative Law > Professional Licensing || Criminal Law > Misdemeanor,The letter says they referred my case to the DA for practicing during my lapsed renewal — there's now an actual criminal citation attached.,They referred me to the DA for practicing while my renewal lapsed — there's a criminal citation now.,whether a criminal referral accompanies the board action,Administrative Law,Professional Licensing,"It's a proposed 90-day suspension with a hearing date — administrative only, no DA involvement.",It's a proposed 90-day suspension with a hearing — no DA involved.,"human_disagreements rows 426, 429, 83",Expansion batch: more program-identity and agency-level disclosures.,false,Board-to-DA referral converts an administrative defense into criminal defense.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_23,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,My special-needs son is about to turn 18 and I'm told everything about his support changes.,Administrative Law,Social Security/SSI,Wills & Trusts,Conservatorship/Guardianship,Administrative Law > Social Security/SSI || Wills & Trusts > Conservatorship/Guardianship,"The urgent piece is decision-making authority — he can't manage medical or financial choices, and the clinic says at 18 I lose authority without a guardianship order.","The urgent part is authority — he can't manage medical or money decisions, and at 18 I lose standing without guardianship.",whether adult guardianship is the transition need,Administrative Law,Social Security/SSI,"The issue is his benefits — at 18 SSI counts only his own income, and we need the adult redetermination handled right.",It's the benefits — his adult SSI redetermination has to be handled right.,"human_disagreements rows 426, 429, 83",Expansion batch: more program-identity and agency-level disclosures.,false,Turning-18 transitions split guardianship and benefits routes; families face both.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_24,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,I drive for the county and got written up over my CDL medical card situation. My union rep is useless.,Labor & Employment,Public Employees - Employee,Administrative Law,DMV (Non-Criminal),Labor & Employment > Public Employees - Employee || Administrative Law > DMV (Non-Criminal),"The real problem is the DMV — they refuse to process my renewed medical certificate and downgraded my CDL by mistake, which triggered the write-up.","The DMV's the real problem — they won't process my renewed medical cert and wrongly downgraded my CDL, which caused the write-up.",whether the agency's license processing error is the root cause,Labor & Employment,Public Employees - Employee,"The DMV side is fine now — the county is still pushing discipline over the lapse, and my civil-service appeal window is open.",The DMV part's fixed — the county's still pushing discipline and my civil-service appeal window is open.,"human_disagreements rows 426, 429, 83",Expansion batch: more program-identity and agency-level disclosures.,false,"Root-cause-vs-consequence disclosure; two agencies, two routes.","claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_25,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,Our daughter's college is threatening to withhold her degree over a conduct case that was a joke.,Administrative Law,Student Rights,Debtor/Creditor,Student Loans,Administrative Law > Student Rights || Debtor/Creditor > Student Loans,"The conduct case actually closed in her favor — the real hold is a disputed $9,000 'institutional balance' they've sent to collections, and her transcripts are hostage to it.","The conduct case closed in her favor — the real hold is a disputed $9,000 balance they sent to collections, with her transcript hostage.",whether a disputed institutional debt rather than discipline is blocking the degree,Administrative Law,Student Rights,"There's no money owed — it's purely the conduct finding, issued without letting her present witnesses, and we want the process challenged.","No money's owed — it's the conduct finding, made without her witnesses, and we want that process challenged.","human_disagreements rows 426, 429, 83",Expansion batch: more program-identity and agency-level disclosures.,false,Transcript-hostage debt vs due-process discipline; the closed-case fact reroutes.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_26,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,The pharmacy board flagged my dispensing records and suspended me while they 'investigate'.,Administrative Law,Professional Licensing,Criminal Law,White Collar Crime,Administrative Law > Professional Licensing || Criminal Law > White Collar Crime,Federal agents served a subpoena on the pharmacy the same week — my lawyer friend says the parallel criminal fraud investigation is the bigger danger.,Federal agents subpoenaed the pharmacy the same week — the parallel criminal fraud investigation is the real danger.,whether a parallel criminal investigation exists,Administrative Law,Professional Licensing,"No criminal anything — it's a records-audit dispute over documentation standards, and I need the suspension lifted.",Nothing criminal — it's a records-audit dispute and I need the suspension lifted.,"human_disagreements rows 426, 429, 83",Expansion batch: more program-identity and agency-level disclosures.,false,Parallel-proceedings fact changes defense priority entirely.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_27,benefit_agency,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,My benefits hearing is scheduled and everyone tells me not to go in without representation.,Administrative Law,Unemployment,Administrative Law,Medicare/Medicaid,Administrative Law > Unemployment || Administrative Law > Medicare/Medicaid || Administrative Law > Welfare,It's my Medicaid home-care hours — the state cut them from 40 to 12 a week and the hearing is my appeal of that reduction.,"It's my Medicaid home-care hours — cut from 40 to 12, and the hearing is my appeal.",which program's hearing it is,Administrative Law,Unemployment,It's my unemployment appeal — my old employer is contesting my benefits claiming I quit voluntarily.,It's unemployment — my old employer claims I quit voluntarily.,"human_disagreements rows 426, 429, 83",Expansion batch: more program-identity and agency-level disclosures.,false,'Benefits hearing' is maximally ambiguous; program identity is one question away.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_benefit_agency_28,benefit_agency,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,The city shut off our water over a bill from the previous owner of our house.,Administrative Law,Utilities,Real Property,General (Residential),Administrative Law > Utilities || Real Property > General (Residential),"The title company missed the recorded utility lien at closing — this is now a title-insurance and escrow-failure claim, not just a shutoff fight.","The title company missed a recorded utility lien at closing — it's a title-insurance and escrow failure now, beyond the shutoff.",whether a closing/title failure underlies the utility claim,Administrative Law,Utilities,"No lien was recorded — the city just applied his unpaid balance to our new account, which their own rules don't allow.","No lien exists — the city just moved his old balance onto our account, against their own rules.","human_disagreements rows 426, 429, 83",Expansion batch: more program-identity and agency-level disclosures.,false,"Same shutoff, but a missed-lien fact reroutes to real-property/title practice.","claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_business_entity_specifics_01,business_entity_specifics,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,I'm starting an organization with two friends and we need help setting it up properly.,Business and Corporate,"General (contracts, entities)",Business and Corporate,Non-Profit,"Business and Corporate > General (contracts, entities) || Business and Corporate > Non-Profit",It's a charity for veterans' housing — we need 501(c)(3) status so donations are deductible.,It's a veterans' housing charity — we need 501(c)(3) status for deductible donations.,whether the entity is charitable/nonprofit or for-profit,Business and Corporate,"General (contracts, entities)",It's a for-profit landscaping company — we need an LLC and an operating agreement between the three of us.,It's a for-profit landscaping company — LLC plus operating agreement for the three of us.,"human_disagreements rows 66, 125, 126, 33; taxonomy Business & Corporate descriptions","Business & Corporate routing turns on entity/industry facts: nonprofit status (501c3), liquor licensing (Restaurant/OLCC), franchise agreements, securities offerings, marijuana licensing, or a sale/dissolution transaction. Rows 66/125/126 all split because the description omitted the entity's nature. 'I need a business lawyer' is the generic opening; the entity fact routes it.",false,Nonprofit formation has distinct regulation and its own label; 'organization' conceals which.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_business_entity_specifics_02,business_entity_specifics,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,My restaurant is facing a regulatory problem that could shut us down within the month.,Business and Corporate,Restaurants/OLCC,Administrative Law,General (State),Business and Corporate > Restaurants/OLCC || Administrative Law > General (State),It's not the liquor license — the state agriculture department is threatening our license over a food-safety citation we believe was erroneous.,Not the liquor license — it's the state ag department threatening us over a food-safety citation we think is wrong.,which regulator and license is threatened,Business and Corporate,Restaurants/OLCC,It's the OLCC — they moved to suspend our liquor license over two alleged underage sales.,It's the OLCC — moving to suspend our liquor license over two alleged underage sales.,"human_disagreements rows 66, 125, 126, 33; taxonomy Business & Corporate descriptions","Business & Corporate routing turns on entity/industry facts: nonprofit status (501c3), liquor licensing (Restaurant/OLCC), franchise agreements, securities offerings, marijuana licensing, or a sale/dissolution transaction. Rows 66/125/126 all split because the description omitted the entity's nature. 'I need a business lawyer' is the generic opening; the entity fact routes it.",false,Row 66's restaurant thread: OLCC matters have a dedicated label; other agencies route to admin law.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
v2_business_entity_specifics_03,business_entity_specifics,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,I'm buying into an existing business and the paperwork they sent is way over my head.,Business and Corporate,Sale Of Business,Business and Corporate,Franchise,Business and Corporate > Sale Of Business || Business and Corporate > Franchise,"It's a national sandwich franchise — the documents are a franchise disclosure document and franchise agreement, not a normal purchase.","It's a national sandwich franchise — the paperwork is an FDD and franchise agreement, not a regular purchase.",whether the transaction is a franchise rather than an independent business sale,Business and Corporate,Sale Of Business,It's an independent local shop — a straight asset purchase from the retiring owner.,It's an independent shop — straight asset purchase from a retiring owner.,"human_disagreements rows 66, 125, 126, 33; taxonomy Business & Corporate descriptions","Business & Corporate routing turns on entity/industry facts: nonprofit status (501c3), liquor licensing (Restaurant/OLCC), franchise agreements, securities offerings, marijuana licensing, or a sale/dissolution transaction. Rows 66/125/126 all split because the description omitted the entity's nature. 'I need a business lawyer' is the generic opening; the entity fact routes it.",false,FDD documents invoke franchise-specific law; 'buying into a business' hides the distinction.,"claude-fable-5 (Claude Fable 5, Anthropic, via Claude Code)",claude_authored_awaiting_human_salience_audit
