category,subcategory,left_rater,right_rater,left_selected,right_selected,both_selected,positive_jaccard,positive_dice_f1
Administrative Law,Professional Licensing,gemini31_pro,deepseek_v4,2,2,2,1.0,1.0
Administrative Law,Professional Licensing,gemini31_pro,jackie,2,3,2,0.6666666666666666,0.8
Administrative Law,Professional Licensing,gemini31_pro,qs,2,3,2,0.6666666666666666,0.8
Administrative Law,Professional Licensing,deepseek_v4,jackie,2,3,2,0.6666666666666666,0.8
Administrative Law,Professional Licensing,deepseek_v4,qs,2,3,2,0.6666666666666666,0.8
Administrative Law,Professional Licensing,jackie,qs,3,3,2,0.5,0.6666666666666666
Administrative Law,Schools - Special Needs Edu.,gpt52,gemini31_pro,1,1,1,1.0,1.0
Administrative Law,Schools - Special Needs Edu.,gpt52,deepseek_v4,1,1,1,1.0,1.0
Administrative Law,Schools - Special Needs Edu.,gpt52,jackie,1,0,0,0.0,0.0
Administrative Law,Schools - Special Needs Edu.,gpt52,qs,1,1,1,1.0,1.0
Administrative Law,Schools - Special Needs Edu.,gemini31_pro,deepseek_v4,1,1,1,1.0,1.0
Administrative Law,Schools - Special Needs Edu.,gemini31_pro,jackie,1,0,0,0.0,0.0
Administrative Law,Schools - Special Needs Edu.,gemini31_pro,qs,1,1,1,1.0,1.0
Administrative Law,Schools - Special Needs Edu.,deepseek_v4,jackie,1,0,0,0.0,0.0
Administrative Law,Schools - Special Needs Edu.,deepseek_v4,qs,1,1,1,1.0,1.0
Administrative Law,Schools - Special Needs Edu.,jackie,qs,0,1,0,0.0,0.0
Administrative Law,Social Security/SSI,gpt52,gemini31_pro,1,1,1,1.0,1.0
Administrative Law,Social Security/SSI,gpt52,deepseek_v4,1,1,1,1.0,1.0
Administrative Law,Social Security/SSI,gpt52,jackie,1,1,1,1.0,1.0
Administrative Law,Social Security/SSI,gpt52,qs,1,1,1,1.0,1.0
Administrative Law,Social Security/SSI,gemini31_pro,deepseek_v4,1,1,1,1.0,1.0
Administrative Law,Social Security/SSI,gemini31_pro,jackie,1,1,1,1.0,1.0
Administrative Law,Social Security/SSI,gemini31_pro,qs,1,1,1,1.0,1.0
Administrative Law,Social Security/SSI,deepseek_v4,jackie,1,1,1,1.0,1.0
Administrative Law,Social Security/SSI,deepseek_v4,qs,1,1,1,1.0,1.0
Administrative Law,Social Security/SSI,jackie,qs,1,1,1,1.0,1.0
Administrative Law,SSD (Social Security Disability),gpt52,gemini31_pro,2,2,2,1.0,1.0
Administrative Law,SSD (Social Security Disability),gpt52,deepseek_v4,2,2,2,1.0,1.0
Administrative Law,SSD (Social Security Disability),gpt52,jackie,2,2,2,1.0,1.0
Administrative Law,SSD (Social Security Disability),gpt52,qs,2,2,2,1.0,1.0
Administrative Law,SSD (Social Security Disability),gemini31_pro,deepseek_v4,2,2,2,1.0,1.0
Administrative Law,SSD (Social Security Disability),gemini31_pro,jackie,2,2,2,1.0,1.0
Administrative Law,SSD (Social Security Disability),gemini31_pro,qs,2,2,2,1.0,1.0
Administrative Law,SSD (Social Security Disability),deepseek_v4,jackie,2,2,2,1.0,1.0
Administrative Law,SSD (Social Security Disability),deepseek_v4,qs,2,2,2,1.0,1.0
Administrative Law,SSD (Social Security Disability),jackie,qs,2,2,2,1.0,1.0
Administrative Law,Student Rights,gpt52,gemini31_pro,1,1,1,1.0,1.0
Administrative Law,Student Rights,gpt52,deepseek_v4,1,0,0,0.0,0.0
Administrative Law,Student Rights,gpt52,jackie,1,1,1,1.0,1.0
Administrative Law,Student Rights,gpt52,qs,1,1,1,1.0,1.0
Administrative Law,Student Rights,gemini31_pro,deepseek_v4,1,0,0,0.0,0.0
Administrative Law,Student Rights,gemini31_pro,jackie,1,1,1,1.0,1.0
Administrative Law,Student Rights,gemini31_pro,qs,1,1,1,1.0,1.0
Administrative Law,Student Rights,deepseek_v4,jackie,0,1,0,0.0,0.0
Administrative Law,Student Rights,deepseek_v4,qs,0,1,0,0.0,0.0
Administrative Law,Student Rights,jackie,qs,1,1,1,1.0,1.0
Administrative Law,Transportation,gpt52,gemini31_pro,0,0,0,,
Administrative Law,Transportation,gpt52,deepseek_v4,0,0,0,,
Administrative Law,Transportation,gpt52,jackie,0,0,0,,
Administrative Law,Transportation,gpt52,qs,0,0,0,,
Administrative Law,Transportation,gemini31_pro,deepseek_v4,0,0,0,,
Administrative Law,Transportation,gemini31_pro,jackie,0,0,0,,
Administrative Law,Transportation,gemini31_pro,qs,0,0,0,,
Administrative Law,Transportation,deepseek_v4,jackie,0,0,0,,
Administrative Law,Transportation,deepseek_v4,qs,0,0,0,,
Administrative Law,Transportation,jackie,qs,0,0,0,,
Administrative Law,Unemployment,gpt52,gemini31_pro,0,0,0,,
Administrative Law,Unemployment,gpt52,deepseek_v4,0,0,0,,
Administrative Law,Unemployment,gpt52,jackie,0,0,0,,
Administrative Law,Unemployment,gpt52,qs,0,0,0,,
Administrative Law,Unemployment,gemini31_pro,deepseek_v4,0,0,0,,
Administrative Law,Unemployment,gemini31_pro,jackie,0,0,0,,
Administrative Law,Unemployment,gemini31_pro,qs,0,0,0,,
Administrative Law,Unemployment,deepseek_v4,jackie,0,0,0,,
Administrative Law,Unemployment,deepseek_v4,qs,0,0,0,,
Administrative Law,Unemployment,jackie,qs,0,0,0,,
Administrative Law,Utilities,gpt52,gemini31_pro,0,0,0,,
Administrative Law,Utilities,gpt52,deepseek_v4,0,0,0,,
Administrative Law,Utilities,gpt52,jackie,0,0,0,,
Administrative Law,Utilities,gpt52,qs,0,0,0,,
Administrative Law,Utilities,gemini31_pro,deepseek_v4,0,0,0,,
Administrative Law,Utilities,gemini31_pro,jackie,0,0,0,,
Administrative Law,Utilities,gemini31_pro,qs,0,0,0,,
Administrative Law,Utilities,deepseek_v4,jackie,0,0,0,,
Administrative Law,Utilities,deepseek_v4,qs,0,0,0,,
Administrative Law,Utilities,jackie,qs,0,0,0,,
Administrative Law,Welfare,gpt52,gemini31_pro,0,0,0,,
Administrative Law,Welfare,gpt52,deepseek_v4,0,0,0,,
Administrative Law,Welfare,gpt52,jackie,0,0,0,,
Administrative Law,Welfare,gpt52,qs,0,0,0,,
Administrative Law,Welfare,gemini31_pro,deepseek_v4,0,0,0,,
Administrative Law,Welfare,gemini31_pro,jackie,0,0,0,,
Administrative Law,Welfare,gemini31_pro,qs,0,0,0,,
Administrative Law,Welfare,deepseek_v4,jackie,0,0,0,,
Administrative Law,Welfare,deepseek_v4,qs,0,0,0,,
Administrative Law,Welfare,jackie,qs,0,0,0,,
Administrative Law,Other,gpt52,gemini31_pro,0,0,0,,
Administrative Law,Other,gpt52,deepseek_v4,0,0,0,,
Administrative Law,Other,gpt52,jackie,0,0,0,,
Administrative Law,Other,gpt52,qs,0,0,0,,
Administrative Law,Other,gemini31_pro,deepseek_v4,0,0,0,,
Administrative Law,Other,gemini31_pro,jackie,0,0,0,,
Administrative Law,Other,gemini31_pro,qs,0,0,0,,
Administrative Law,Other,deepseek_v4,jackie,0,0,0,,
Administrative Law,Other,deepseek_v4,qs,0,0,0,,
Administrative Law,Other,jackie,qs,0,0,0,,
Bankruptcy,Business,gpt52,gemini31_pro,1,1,1,1.0,1.0
Bankruptcy,Business,gpt52,deepseek_v4,1,1,1,1.0,1.0
Bankruptcy,Business,gpt52,jackie,1,2,1,0.5,0.6666666666666666
Bankruptcy,Business,gpt52,qs,1,1,1,1.0,1.0
Bankruptcy,Business,gemini31_pro,deepseek_v4,1,1,1,1.0,1.0
Bankruptcy,Business,gemini31_pro,jackie,1,2,1,0.5,0.6666666666666666
Bankruptcy,Business,gemini31_pro,qs,1,1,1,1.0,1.0
Bankruptcy,Business,deepseek_v4,jackie,1,2,1,0.5,0.6666666666666666
Bankruptcy,Business,deepseek_v4,qs,1,1,1,1.0,1.0
Bankruptcy,Business,jackie,qs,2,1,1,0.5,0.6666666666666666
Bankruptcy,Creditors,gpt52,gemini31_pro,0,1,0,0.0,0.0
Bankruptcy,Creditors,gpt52,deepseek_v4,0,1,0,0.0,0.0
Bankruptcy,Creditors,gpt52,jackie,0,0,0,,
Bankruptcy,Creditors,gpt52,qs,0,0,0,,
Bankruptcy,Creditors,gemini31_pro,deepseek_v4,1,1,1,1.0,1.0
Bankruptcy,Creditors,gemini31_pro,jackie,1,0,0,0.0,0.0
Bankruptcy,Creditors,gemini31_pro,qs,1,0,0,0.0,0.0
Bankruptcy,Creditors,deepseek_v4,jackie,1,0,0,0.0,0.0
Bankruptcy,Creditors,deepseek_v4,qs,1,0,0,0.0,0.0
Bankruptcy,Creditors,jackie,qs,0,0,0,,
Bankruptcy,Document Review,gpt52,gemini31_pro,0,0,0,,
Bankruptcy,Document Review,gpt52,deepseek_v4,0,0,0,,
Bankruptcy,Document Review,gpt52,jackie,0,0,0,,
Bankruptcy,Document Review,gpt52,qs,0,0,0,,
Bankruptcy,Document Review,gemini31_pro,deepseek_v4,0,0,0,,
Bankruptcy,Document Review,gemini31_pro,jackie,0,0,0,,
Bankruptcy,Document Review,gemini31_pro,qs,0,0,0,,
Bankruptcy,Document Review,deepseek_v4,jackie,0,0,0,,
Bankruptcy,Document Review,deepseek_v4,qs,0,0,0,,
Bankruptcy,Document Review,jackie,qs,0,0,0,,
Bankruptcy,Farms,gpt52,gemini31_pro,0,0,0,,
Bankruptcy,Farms,gpt52,deepseek_v4,0,0,0,,
Bankruptcy,Farms,gpt52,jackie,0,0,0,,
Bankruptcy,Farms,gpt52,qs,0,0,0,,
Bankruptcy,Farms,gemini31_pro,deepseek_v4,0,0,0,,
Bankruptcy,Farms,gemini31_pro,jackie,0,0,0,,
Bankruptcy,Farms,gemini31_pro,qs,0,0,0,,
Bankruptcy,Farms,deepseek_v4,jackie,0,0,0,,
Bankruptcy,Farms,deepseek_v4,qs,0,0,0,,
Bankruptcy,Farms,jackie,qs,0,0,0,,
Bankruptcy,Personal,gpt52,gemini31_pro,2,2,2,1.0,1.0
Bankruptcy,Personal,gpt52,deepseek_v4,2,2,2,1.0,1.0
Bankruptcy,Personal,gpt52,jackie,2,3,2,0.6666666666666666,0.8
Bankruptcy,Personal,gpt52,qs,2,3,2,0.6666666666666666,0.8
Bankruptcy,Personal,gemini31_pro,deepseek_v4,2,2,2,1.0,1.0
Bankruptcy,Personal,gemini31_pro,jackie,2,3,2,0.6666666666666666,0.8
Bankruptcy,Personal,gemini31_pro,qs,2,3,2,0.6666666666666666,0.8
Bankruptcy,Personal,deepseek_v4,jackie,2,3,2,0.6666666666666666,0.8
Bankruptcy,Personal,deepseek_v4,qs,2,3,2,0.6666666666666666,0.8
Bankruptcy,Personal,jackie,qs,3,3,3,1.0,1.0
Bankruptcy,Pro Se Coaching,gpt52,gemini31_pro,0,0,0,,
Bankruptcy,Pro Se Coaching,gpt52,deepseek_v4,0,0,0,,
Bankruptcy,Pro Se Coaching,gpt52,jackie,0,1,0,0.0,0.0
Bankruptcy,Pro Se Coaching,gpt52,qs,0,0,0,,
Bankruptcy,Pro Se Coaching,gemini31_pro,deepseek_v4,0,0,0,,
Bankruptcy,Pro Se Coaching,gemini31_pro,jackie,0,1,0,0.0,0.0
Bankruptcy,Pro Se Coaching,gemini31_pro,qs,0,0,0,,
Bankruptcy,Pro Se Coaching,deepseek_v4,jackie,0,1,0,0.0,0.0
Bankruptcy,Pro Se Coaching,deepseek_v4,qs,0,0,0,,
Bankruptcy,Pro Se Coaching,jackie,qs,1,0,0,0.0,0.0
Bankruptcy,Other,gpt52,gemini31_pro,1,1,1,1.0,1.0
Bankruptcy,Other,gpt52,deepseek_v4,1,0,0,0.0,0.0
Bankruptcy,Other,gpt52,jackie,1,0,0,0.0,0.0
Bankruptcy,Other,gpt52,qs,1,1,1,1.0,1.0
Bankruptcy,Other,gemini31_pro,deepseek_v4,1,0,0,0.0,0.0
Bankruptcy,Other,gemini31_pro,jackie,1,0,0,0.0,0.0
Bankruptcy,Other,gemini31_pro,qs,1,1,1,1.0,1.0
Bankruptcy,Other,deepseek_v4,jackie,0,0,0,,
Bankruptcy,Other,deepseek_v4,qs,0,1,0,0.0,0.0
Bankruptcy,Other,jackie,qs,0,1,0,0.0,0.0
Business & Corporate,Agriculture/Farm,gpt52,gemini31_pro,0,1,0,0.0,0.0
Business & Corporate,Agriculture/Farm,gpt52,deepseek_v4,0,1,0,0.0,0.0
Business & Corporate,Agriculture/Farm,gpt52,jackie,0,0,0,,
Business & Corporate,Agriculture/Farm,gpt52,qs,0,1,0,0.0,0.0
Business & Corporate,Agriculture/Farm,gemini31_pro,deepseek_v4,1,1,1,1.0,1.0
Business & Corporate,Agriculture/Farm,gemini31_pro,jackie,1,0,0,0.0,0.0
Business & Corporate,Agriculture/Farm,gemini31_pro,qs,1,1,1,1.0,1.0
Business & Corporate,Agriculture/Farm,deepseek_v4,jackie,1,0,0,0.0,0.0
Business & Corporate,Agriculture/Farm,deepseek_v4,qs,1,1,1,1.0,1.0
Business & Corporate,Agriculture/Farm,jackie,qs,0,1,0,0.0,0.0
Business & Corporate,Construction,gpt52,gemini31_pro,0,0,0,,
Business & Corporate,Construction,gpt52,deepseek_v4,0,0,0,,
Business & Corporate,Construction,gpt52,jackie,0,0,0,,
Business & Corporate,Construction,gpt52,qs,0,0,0,,
Business & Corporate,Construction,gemini31_pro,deepseek_v4,0,0,0,,
Business & Corporate,Construction,gemini31_pro,jackie,0,0,0,,
Business & Corporate,Construction,gemini31_pro,qs,0,0,0,,
Business & Corporate,Construction,deepseek_v4,jackie,0,0,0,,
Business & Corporate,Construction,deepseek_v4,qs,0,0,0,,
Business & Corporate,Construction,jackie,qs,0,0,0,,
Business & Corporate,Entertainment,gpt52,gemini31_pro,1,0,0,0.0,0.0
Business & Corporate,Entertainment,gpt52,deepseek_v4,1,0,0,0.0,0.0
Business & Corporate,Entertainment,gpt52,jackie,1,0,0,0.0,0.0
Business & Corporate,Entertainment,gpt52,qs,1,0,0,0.0,0.0
Business & Corporate,Entertainment,gemini31_pro,deepseek_v4,0,0,0,,
Business & Corporate,Entertainment,gemini31_pro,jackie,0,0,0,,
Business & Corporate,Entertainment,gemini31_pro,qs,0,0,0,,
Business & Corporate,Entertainment,deepseek_v4,jackie,0,0,0,,
Business & Corporate,Entertainment,deepseek_v4,qs,0,0,0,,
Business & Corporate,Entertainment,jackie,qs,0,0,0,,
Business & Corporate,Environment,gpt52,gemini31_pro,1,1,1,1.0,1.0
Business & Corporate,Environment,gpt52,deepseek_v4,1,1,1,1.0,1.0
Business & Corporate,Environment,gpt52,jackie,1,0,0,0.0,0.0
Business & Corporate,Environment,gpt52,qs,1,1,1,1.0,1.0
Business & Corporate,Environment,gemini31_pro,deepseek_v4,1,1,1,1.0,1.0
Business & Corporate,Environment,gemini31_pro,jackie,1,0,0,0.0,0.0
Business & Corporate,Environment,gemini31_pro,qs,1,1,1,1.0,1.0
Business & Corporate,Environment,deepseek_v4,jackie,1,0,0,0.0,0.0
Business & Corporate,Environment,deepseek_v4,qs,1,1,1,1.0,1.0
Business & Corporate,Environment,jackie,qs,0,1,0,0.0,0.0
Business & Corporate,Franchise,gpt52,gemini31_pro,0,0,0,,
Business & Corporate,Franchise,gpt52,deepseek_v4,0,0,0,,
Business & Corporate,Franchise,gpt52,jackie,0,0,0,,
Business & Corporate,Franchise,gpt52,qs,0,0,0,,
Business & Corporate,Franchise,gemini31_pro,deepseek_v4,0,0,0,,
Business & Corporate,Franchise,gemini31_pro,jackie,0,0,0,,
Business & Corporate,Franchise,gemini31_pro,qs,0,0,0,,
Business & Corporate,Franchise,deepseek_v4,jackie,0,0,0,,
Business & Corporate,Franchise,deepseek_v4,qs,0,0,0,,
Business & Corporate,Franchise,jackie,qs,0,0,0,,
Business & Corporate,"General (Contracts, Business, Organization)",gpt52,gemini31_pro,5,8,5,0.625,0.7692307692307693
Business & Corporate,"General (Contracts, Business, Organization)",gpt52,deepseek_v4,5,4,2,0.2857142857142857,0.4444444444444444
Business & Corporate,"General (Contracts, Business, Organization)",gpt52,jackie,5,5,3,0.42857142857142855,0.6
Business & Corporate,"General (Contracts, Business, Organization)",gpt52,qs,5,6,4,0.5714285714285714,0.7272727272727273
Business & Corporate,"General (Contracts, Business, Organization)",gemini31_pro,deepseek_v4,8,4,4,0.5,0.6666666666666666
Business & Corporate,"General (Contracts, Business, Organization)",gemini31_pro,jackie,8,5,4,0.4444444444444444,0.6153846153846154
Business & Corporate,"General (Contracts, Business, Organization)",gemini31_pro,qs,8,6,6,0.75,0.8571428571428571
Business & Corporate,"General (Contracts, Business, Organization)",deepseek_v4,jackie,4,5,1,0.125,0.2222222222222222
Business & Corporate,"General (Contracts, Business, Organization)",deepseek_v4,qs,4,6,2,0.25,0.4
Business & Corporate,"General (Contracts, Business, Organization)",jackie,qs,5,6,4,0.5714285714285714,0.7272727272727273
Business & Corporate,Litigation,gpt52,gemini31_pro,3,3,2,0.5,0.6666666666666666
Business & Corporate,Litigation,gpt52,deepseek_v4,3,1,1,0.3333333333333333,0.5
Business & Corporate,Litigation,gpt52,jackie,3,1,1,0.3333333333333333,0.5
Business & Corporate,Litigation,gpt52,qs,3,2,1,0.25,0.4
Business & Corporate,Litigation,gemini31_pro,deepseek_v4,3,1,1,0.3333333333333333,0.5
Business & Corporate,Litigation,gemini31_pro,jackie,3,1,1,0.3333333333333333,0.5
Business & Corporate,Litigation,gemini31_pro,qs,3,2,2,0.6666666666666666,0.8
Business & Corporate,Litigation,deepseek_v4,jackie,1,1,1,1.0,1.0
Business & Corporate,Litigation,deepseek_v4,qs,1,2,1,0.5,0.6666666666666666
Business & Corporate,Litigation,jackie,qs,1,2,1,0.5,0.6666666666666666
Business & Corporate,Marijuana Business,gpt52,gemini31_pro,1,1,1,1.0,1.0
Business & Corporate,Marijuana Business,gpt52,deepseek_v4,1,1,1,1.0,1.0
Business & Corporate,Marijuana Business,gpt52,jackie,1,1,1,1.0,1.0
Business & Corporate,Marijuana Business,gpt52,qs,1,1,1,1.0,1.0
Business & Corporate,Marijuana Business,gemini31_pro,deepseek_v4,1,1,1,1.0,1.0
Business & Corporate,Marijuana Business,gemini31_pro,jackie,1,1,1,1.0,1.0
Business & Corporate,Marijuana Business,gemini31_pro,qs,1,1,1,1.0,1.0
Business & Corporate,Marijuana Business,deepseek_v4,jackie,1,1,1,1.0,1.0
Business & Corporate,Marijuana Business,deepseek_v4,qs,1,1,1,1.0,1.0
Business & Corporate,Marijuana Business,jackie,qs,1,1,1,1.0,1.0
Business & Corporate,Non-Profit,gpt52,gemini31_pro,1,3,1,0.3333333333333333,0.5
Business & Corporate,Non-Profit,gpt52,deepseek_v4,1,0,0,0.0,0.0
Business & Corporate,Non-Profit,gpt52,jackie,1,1,1,1.0,1.0
Business & Corporate,Non-Profit,gpt52,qs,1,1,1,1.0,1.0
Business & Corporate,Non-Profit,gemini31_pro,deepseek_v4,3,0,0,0.0,0.0
Business & Corporate,Non-Profit,gemini31_pro,jackie,3,1,1,0.3333333333333333,0.5
Business & Corporate,Non-Profit,gemini31_pro,qs,3,1,1,0.3333333333333333,0.5
Business & Corporate,Non-Profit,deepseek_v4,jackie,0,1,0,0.0,0.0
Business & Corporate,Non-Profit,deepseek_v4,qs,0,1,0,0.0,0.0
Business & Corporate,Non-Profit,jackie,qs,1,1,1,1.0,1.0
Business & Corporate,Publishing,gpt52,gemini31_pro,0,0,0,,
Business & Corporate,Publishing,gpt52,deepseek_v4,0,0,0,,
Business & Corporate,Publishing,gpt52,jackie,0,0,0,,
Business & Corporate,Publishing,gpt52,qs,0,0,0,,
Business & Corporate,Publishing,gemini31_pro,deepseek_v4,0,0,0,,
Business & Corporate,Publishing,gemini31_pro,jackie,0,0,0,,
Business & Corporate,Publishing,gemini31_pro,qs,0,0,0,,
Business & Corporate,Publishing,deepseek_v4,jackie,0,0,0,,
Business & Corporate,Publishing,deepseek_v4,qs,0,0,0,,
Business & Corporate,Publishing,jackie,qs,0,0,0,,
Business & Corporate,Restaurant/OLCC,gpt52,gemini31_pro,2,1,1,0.5,0.6666666666666666
Business & Corporate,Restaurant/OLCC,gpt52,deepseek_v4,2,1,1,0.5,0.6666666666666666
Business & Corporate,Restaurant/OLCC,gpt52,jackie,2,1,1,0.5,0.6666666666666666
Business & Corporate,Restaurant/OLCC,gpt52,qs,2,1,1,0.5,0.6666666666666666
Business & Corporate,Restaurant/OLCC,gemini31_pro,deepseek_v4,1,1,1,1.0,1.0
Business & Corporate,Restaurant/OLCC,gemini31_pro,jackie,1,1,1,1.0,1.0
Business & Corporate,Restaurant/OLCC,gemini31_pro,qs,1,1,1,1.0,1.0
Business & Corporate,Restaurant/OLCC,deepseek_v4,jackie,1,1,1,1.0,1.0
Business & Corporate,Restaurant/OLCC,deepseek_v4,qs,1,1,1,1.0,1.0
Business & Corporate,Restaurant/OLCC,jackie,qs,1,1,1,1.0,1.0
Business & Corporate,Sale of Business,gpt52,gemini31_pro,3,0,0,0.0,0.0
Business & Corporate,Sale of Business,gpt52,deepseek_v4,3,0,0,0.0,0.0
Business & Corporate,Sale of Business,gpt52,jackie,3,1,1,0.3333333333333333,0.5
Business & Corporate,Sale of Business,gpt52,qs,3,1,1,0.3333333333333333,0.5
Business & Corporate,Sale of Business,gemini31_pro,deepseek_v4,0,0,0,,
Business & Corporate,Sale of Business,gemini31_pro,jackie,0,1,0,0.0,0.0
Business & Corporate,Sale of Business,gemini31_pro,qs,0,1,0,0.0,0.0
Business & Corporate,Sale of Business,deepseek_v4,jackie,0,1,0,0.0,0.0
Business & Corporate,Sale of Business,deepseek_v4,qs,0,1,0,0.0,0.0
Business & Corporate,Sale of Business,jackie,qs,1,1,1,1.0,1.0
Business & Corporate,Securities,gpt52,gemini31_pro,2,0,0,0.0,0.0
Business & Corporate,Securities,gpt52,deepseek_v4,2,1,1,0.5,0.6666666666666666
Business & Corporate,Securities,gpt52,jackie,2,1,1,0.5,0.6666666666666666
Business & Corporate,Securities,gpt52,qs,2,1,1,0.5,0.6666666666666666
Business & Corporate,Securities,gemini31_pro,deepseek_v4,0,1,0,0.0,0.0
