source_row,scenario_id,canonical_source_row,source_row_aliases,problem_description,gold_label_count,gold_category_1,gold_subcategory_1,gold_category_2,gold_subcategory_2,gold_category_3,gold_subcategory_3,gold_category_4,gold_subcategory_4,consensus_provenance,human_reviewers_used,duplicate_source_description,support_summary_json
118,gold-0109,118,118,"I am a practicing psychic medium and reiki energy worker with an LLC. I work with clients in-person in Portland, and around the country and Canada via Zoom. For in person sessions, I rent space from other businesses, not my own home or office. I'm interested in learning more about business liability and what is needed to protect myself, including insurance and disclaimers.",1,Business & Corporate,"General (Contracts, Business, Organization)",,,,,,,three_model_plus_internal_consensus,,no,"{""Business & Corporate > General (Contracts, Business, Organization)"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
119,gold-0110,119,119,I am starting a professional matchmaking business. I need help making my contract I will give my clients. I need an attorney who is familiar with Oregon matchmaking laws (or willing to learn).,1,Business & Corporate,"General (Contracts, Business, Organization)",,,,,,,three_model_plus_internal_consensus,,no,"{""Business & Corporate > General (Contracts, Business, Organization)"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
129,gold-0118,129,129,"I'm in the process of concepting a small business and I need legal help. I'm thinking of opening a store in Portland selling imported home goods from S. Korea. I also would like to have some percentage of sales contribute to build a stronger Korean community in Portland (grant/ scholarship/ regular meet up events). I don't know what would be the right business structure. Would this be LLC, or non- profit? I also have questions on tax laws. If someone who knows import/export laws could be available, it would be amazing. Thank you. I look forward to some professional legal advice.",2,Business & Corporate,"General (Contracts, Business, Organization)",International Law,Business and Corporate,,,,,two_human_exact_consensus,jackie;qs,no,"{""Business & Corporate > General (Contracts, Business, Organization)"": {""human_votes"": 2, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}, ""International Law > Business and Corporate"": {""human_votes"": 2, ""internal_primary"": false, ""mean_model_rank"": 2.0, ""model_votes"": 1}}"
132,gold-0120,132,132,I am starting a consulting business and need help ensuring all licensure and registration is properly completed as well as a review of my agreement.,1,Business & Corporate,"General (Contracts, Business, Organization)",,,,,,,three_model_plus_internal_consensus,,no,"{""Business & Corporate > General (Contracts, Business, Organization)"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
135,gold-0122,135,135,I've formed an LLC between three business partners and am currently drafting an ownership agreement. My company a software as a service application in the e-commerce industry. I need legal review of our agreement draft and am hoping to engage an attorney with experience in early-stage startups and corporate formation.,1,Business & Corporate,"General (Contracts, Business, Organization)",,,,,,,three_model_plus_internal_consensus,,no,"{""Business & Corporate > General (Contracts, Business, Organization)"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
142,gold-0128,142,142,"I am trying to manage ownership of a dog.
A previous partner and I have been sharing time with and expenses for a dog, for 3 years. This arrangement has been very challenging and multiple agreements broken. My Ex is not returning my dog to me, refusing my access to the dog and not communicating with me.",1,General Litigation,Animal Law,,,,,,,three_model_plus_internal_consensus,,no,"{""General Litigation > Animal Law"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
145,gold-0130,145,145,"I have a timeshare that I cannot use anymore. I paid a company a lot of money last year, but they did nothing. I would like to talk to a lawyer about how to get out of the timeshare without paying anyone, or getting into financial trouble",1,Consumer Law,General,,,,,,,two_human_model_corroborated_consensus,jackie;qs,no,"{""Consumer Law > General"": {""human_votes"": 2, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
151,gold-0136,151,151,"I would like some help understanding a contract that I signed that feels abusive. I would like help understanding defamation law and also consumer laws, because I feel like I was defrauded by an abusive cult leader/business coach/spiritual 'teacher'. I am not sure where to begin. I would like to get my money back, and need help writing a letter to her for the refund. Thank you!",2,Consumer Law,General,General Litigation,Libel/Slander/Defamation,,,,,two_human_exact_consensus,jackie;qs,no,"{""Consumer Law > General"": {""human_votes"": 2, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}, ""General Litigation > Libel/Slander/Defamation"": {""human_votes"": 2, ""internal_primary"": false, ""mean_model_rank"": 2.0, ""model_votes"": 2}}"
157,gold-0142,157,157,"I sold my RV and did a written contract stating that this person would buy it and pay $1000 a month. They made one payment and took off with my RV. It has been a year and a half and I’ve been trying to figure this out I know they’re back in Oregon so I’m trying to solve this issue as quickly as possible. They owe me $14,000 or my RV back. I have tried to contact him in the past and they refused to have any contact or to resolve this issue. I would really like to talk to an attorney and start the process for civil court case. I need a consultation with an attorney and I need an attorney to help me. Write up paperwork and help me walk me through this process. If you guys could get back to me at the earliest that would be much appreciated. Looking forward to hearing from you.",2,Consumer Law,Problems Between Consumers,Debtor/Creditor,General (Creditor),,,,,two_human_model_corroborated_consensus,jackie;qs,no,"{""Consumer Law > Problems Between Consumers"": {""human_votes"": 2, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}, ""Debtor/Creditor > General (Creditor)"": {""human_votes"": 1, ""internal_primary"": false, ""mean_model_rank"": 2.0, ""model_votes"": 2}}"
178,gold-0158,178,178,I have been given a probation violation and diversion revocation and distribution/manufacturing of a controlled substance II. I didn’t commit this charge and these allegations are faulty as neither the money nor drugs never touched my hands. I have court on August 4th and need a lawyer immediately.,2,Criminal Law,Major Felony,Criminal Law,Parole/Probation,,,,,two_human_exact_consensus,jackie;qs,no,"{""Criminal Law > Major Felony"": {""human_votes"": 2, ""internal_primary"": true, ""mean_model_rank"": 1.3333333333333333, ""model_votes"": 3}, ""Criminal Law > Parole/Probation"": {""human_votes"": 2, ""internal_primary"": false, ""mean_model_rank"": 1.6666666666666667, ""model_votes"": 3}}"
184,gold-0164,184,184,"I ran a red light and they ended up calling me to court. If possible, it will be in Spanish, otherwise I can bring the translator.",1,Criminal Law,Traffic Offenses,,,,,,,three_model_plus_internal_consensus,,no,"{""Criminal Law > Traffic Offenses"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
185,gold-0165,185,185,"I received a citation for 'failure to obey a traffic control device'. These were cones on a street in Barry Bay, OR where the street was closed farther down. No signage indicating that the street was closed farther on and with multiple sets of cones placed at the adjoining streets it appeared that a gravel area where a sheriff vehicle was parked was the reason for the cones. Apparently there was a parade or street fair or something of which I was unaware. This was an error born of confusion and no willful intent to circumvent a traffic control device.",1,Criminal Law,Traffic Offenses,,,,,,,three_model_plus_internal_consensus,,no,"{""Criminal Law > Traffic Offenses"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
186,gold-0166,186,186,"So my issue is I got charged with the lowest one of theft, but what happened was so I pretty much had everything in my cart paid for and I had receipts for it and everything but like I take medication for my heart, you know and like I really felt like I was like having a heart attack or something so like I like my mind just went completely blank and everything and I walk out the store with just a few items. Nothing big just a few items that I just totally spaced on paying for And the cops came up to me and like said I was stealing, but I had no idea what was even going on. I even told the officer right when he came up to me like I need to get to my medication and they didn’t allow me or anything and it was pretty bad actually there , but then they charged me with the lowest one of the theft but I haven’t been in trouble in like years and I’m trying to get my record like expunged and I’m like super super sorry for even doing it. I regret it, but it was a huge mistake.",2,Criminal Law,Misdemeanor,Criminal Law,Expunction,,,,,two_human_exact_consensus,jackie;qs,no,"{""Criminal Law > Expunction"": {""human_votes"": 2, ""internal_primary"": false, ""mean_model_rank"": 2.0, ""model_votes"": 3}, ""Criminal Law > Misdemeanor"": {""human_votes"": 2, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
187,gold-0167,187,187,I received a speeding ticket (traffic violation) from a Hamilton County Sheriff Deputy on 7/29/24. I would like legal advice on how to try and dismiss this ticket if possible. No criminal past. No other issues.,1,Criminal Law,Traffic Offenses,,,,,,,three_model_plus_internal_consensus,,no,"{""Criminal Law > Traffic Offenses"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
188,gold-0168,188,188,I would like help with filing a case in small claims court.,1,Consumer Law,Small Claims Advice,,,,,,,three_model_plus_internal_consensus,,no,"{""Consumer Law > Small Claims Advice"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 3}}"
204,gold-0181,204,204,I have this reference because a bank filed a lawsuit against me for non-payment. I need to reach an agreement with them so that they do not charge me so much monthly because I do not have a good salary. I hope you can help me. ( I do not speak a lot of english),2,Debtor/Creditor,General (Debtor),Debtor/Creditor,Debt Counseling/Workouts,,,,,three_model_plus_internal_consensus,,no,"{""Debtor/Creditor > Debt Counseling/Workouts"": {""human_votes"": 0, ""internal_primary"": true, ""mean_model_rank"": 1.0, ""model_votes"": 2}, ""Debtor/Creditor > General (Debtor)"": {""human_votes"": 0, ""internal_primary"": false, ""mean_model_rank"": 1.6666666666666667, ""model_votes"": 3}}"
307,gold-0267,307,307,"My family is looking into immigration to Canada, and would like to identify a good lawyer who can help us navigate the process. We have two school-aged children. Thank you!",1,International Law,Other,,,,,,,two_human_exact_consensus,jackie;qs,no,"{""International Law > Other"": {""human_votes"": 2, ""internal_primary"": false, ""mean_model_rank"": 1.5, ""model_votes"": 2}}"
