workbook_row,problem_description,candidate_label_count,candidate_labels,review_priority
139,Looking for an attorney/lawyer that specializes in small business restaurant and hospitality. Also have a need for investment property/realestate law services. general consulting and litigation services.,2,Business & Corporate > Restaurant/OLCC | Real Property > General (residential),P1 - human decision essential
140,"I need legal assistance with regards to a farm. Someone who understands agriculture transactions, leases, trusts, etc. I need representation for both the transaction and tax advice. Thanks!",2,Real Property > Agriculture/Farm | Taxation > Personal Income,P1 - human decision essential
151,"I would like some help understanding a contract that I signed that feels abusive. I would like help understanding defamation law and also consumer laws, because I feel like I was defrauded by an abusive cult leader/business coach/spiritual 'teacher'. I am not sure where to begin. I would like to get my money back, and need help writing a letter to her for the refund. Thank you!",2,Consumer Law > General | General Litigation > Libel/Slander/Defamation,P3 - confirmation likely sufficient
165,"Small claims questions: I've contracted with a small General Contractor for a home renovation. The work has generally been good and is 98% complete. However a $5K carpet install performed by a subcontractor did not go well (poor job, visible seams, confirmed botched by other carpet co.) and needs to be replaced. The contactor and I are at odds about who should be responsible, and I'm unsure if I can withhold payment, risk a lien or who I should file a claim against if need be.",2,Real Property > Construction/Contractors | Consumer Law > Small Claims Advice,P3 - confirmation likely sufficient
166,"I purchased a car on driveway.com an online car buying website. The pictures of the car showed no damage/nothing wrong with it. I confirmed with a my representative via text who checked in with the dealer selling the car and they said “Meredith confirmed there are no damages: ""Correct has only been on the lot for less than 15 days"". fast forward I received the car and there is a lot of visible damage. All the rotors/ wheels have rust the windshield has several cracks, chipped paint dings and dents. The check engine light was on for tire pressure. The stereo touchscreen has a big black circle in it. they offer a seven day moneyback guarantee. I received the car on Monday. I sent it back on Wednesday. part of this purchase, I had to pay a $1170shipping fee that I am requesting back and they are refusing to refund me stating that that is a nonrefundable fee. I’m wondering if I have a small claims court case as they did not disclose the damages and misrepresented what I was purchasing.",2,Consumer Law > Automobiles/RVs/Mobile Homes | Consumer Law > Small Claims Advice,P3 - confirmation likely sufficient
175,In the middle of a divorce. Wife on Thursday filed Assault IV charges. Warrant was issued on Friday and I was arrested Friday night. I have been in Hamilton County Jail since then. My arraignment is today (Monday) at 230. I have a divorce attorney. I need a criminal attorney.,2,Criminal Law > Misdemeanor | Family Law > General (Divorce/Separation),P1 - human decision essential
178,I have been given a probation violation and diversion revocation and distribution/manufacturing of a controlled substance II. I didn’t commit this charge and these allegations are faulty as neither the money nor drugs never touched my hands. I have court on August 4th and need a lawyer immediately.,2,Criminal Law > Major Felony | Criminal Law > Parole/Probation,P3 - confirmation likely sufficient
186,"So my issue is I got charged with the lowest one of theft, but what happened was so I pretty much had everything in my cart paid for and I had receipts for it and everything but like I take medication for my heart, you know and like I really felt like I was like having a heart attack or something so like I like my mind just went completely blank and everything and I walk out the store with just a few items. Nothing big just a few items that I just totally spaced on paying for And the cops came up to me and like said I was stealing, but I had no idea what was even going on. I even told the officer right when he came up to me like I need to get to my medication and they didn’t allow me or anything and it was pretty bad actually there , but then they charged me with the lowest one of the theft but I haven’t been in trouble in like years and I’m trying to get my record like expunged and I’m like super super sorry for even doing it. I regret it, but it was a huge mistake.",2,Criminal Law > Misdemeanor | Criminal Law > Expunction,P3 - confirmation likely sufficient
193,"I need a criminal lawyer to discuss my search and seizure of all firearms from my personal residence by the ATF, revocation of my FFL (Federal Firearms License) and help filing forms with the feds to stop an immenent forfeiture proceedings that has been initiated by the ATF for all of my and a gun trust I hold trusteeship to's, firearms. Please, I need to address this as soon as possible.",2,Criminal Law > Forfeiture | Administrative Law > Professional Licensing,P3 - confirmation likely sufficient
225,"Child custody, Child support and parenting time.",2,Family Law > Child Custody/Visitation | Family Law > Child Support/Modification,P3 - confirmation likely sufficient
228,"I was served a petition for custody and parenting time and child support. The father of my child wants parenting time. He lives in another state. I have 30 days to ""appear"" in this case. I need to file and show proof that his lawyer was formally served. I need to know what to expect and some advice what I should do. My daughter is 14 and does not want to be forced to be with her dad. She will be 15 in August. I know she has rights too.",2,Family Law > Child Custody/Visitation | Family Law > Child Support/Modification,P3 - confirmation likely sufficient
232,Custody battle regarding my 4 nieces who I adopted after I also let my ex partner sign the adoption paperwork. My girls are refusing to see her and are being forced. There is a current case number. There are past domestic abuse charges on my ex for her abusing me twice and the abuse continues.,2,Family Law > Adoption/DHS | Family Law > Child Custody/Visitation,P1 - human decision essential
233,Father being taken to court by the mother of my child. She is asking for more child support and less or modified visiting time for me. CPS is involved claiming her to be a negligent mother as a minor child died while under her care. Immediate danger order was filed by me and granted for my daughter. An agreement per courts request and safety plan was put in place that the mother must follow But now the mother wants me to pay her court cost from the CPS trial against her. Other issues in visitation and communication need changed on mother's part,2,Family Law > Child Support/Modification | Family Law > Child Custody/Visitation,P3 - confirmation likely sufficient
234,"I am looking for a lawyer to help me get on my sons birth certificate ,also full custody and establishing paternity with my son. I would also like to mention my wife is in need of help due to her untreated mental condition so i will need help from a judge and a court order to get her help in the Hospital where she is currently at.",2,Family Law > Paternity | Family Law > Child Custody/Visitation,P3 - confirmation likely sufficient
236,I am looking for help with my 8 month old son. I have a DV case with my wife we are still married but we separated. she cant have custody of him due to her untreated mental condition. I am not on the birth certificate.,2,Family Law > Paternity | Family Law > Child Custody/Visitation,P3 - confirmation likely sufficient
238,I need legal advice and I need to establish paternity with my 8 month old baby boy he was born into the marrige my wife and i got married 3 months before he was born but she never put me on the birth certificate she left home but came back after 3 months noah was brought back home thankfully. I have custody of him now due to her untreated mental condition she was diagnosed with diffrent physiciatric disorders. Also I need help filling out full custody forms and getting on the birth certificate. I did file for a restraining order on her again due to her being violent with me ad my son Noah .,2,Family Law > Paternity | Family Law > Child Custody/Visitation,P3 - confirmation likely sufficient
239,I am in need of assistance fighting a false restraining order against me. My son mother filed a restraining order on me to get me kicked out of our house and take custody of my child to hurt and antagonize me.,2,Family Law > Restraining Orders | Family Law > Child Custody/Visitation,P2 - human confirmation recommended
240,Currently I have a restraining order against my daughters mother. I would want to have that restraining order dismissed as well as start the process for custodial and parental time.,2,Family Law > Restraining Orders | Family Law > Child Custody/Visitation,P3 - confirmation likely sufficient
252,"I need help in processing a divorce or an annulment. My husband and I got married 5/29/2023, in California. I have been living in Portland, since 12/22/2023. He enlisted in the Navy and was in training for several months, in Boston. He says he is in California, now, but I’m not sure if he’s telling the truth. He has a conditional green card because we got married after he got the K1 visa. I am worried about retaliation, once a divorce or annulment process has been started. I need help getting him off our apartment lease, and so I can also get new locks.",4,Family Law > General (Divorce/Separation) | Family Law > Military | International Law > Gen. Immigration/Visas | Real Property > Tenant (Residential),P1 - human decision essential
254,"I was assaulted. Cops were called for the assault. I went to er I’m ambulance after the police arrived and took my statement. The police falsified the statement, the report and did not include the witnesses statement. The police left out their body cam footage of the interview and left out the video footage of the assault. (Should be able to supena from the company the assault happened at) Before sending the case to the DA the police mixed up my name, address and number giving the DA no way to get ahold of me. I’ve provided proof that I still have a concussion and seeing medical professionals regarding the assault. The police falsified the report by leaving out information, falsifying my statement, and not mentioning the assault at all instead charged the attacker with harassment (a false charge) the man came out of no where and attacked me hitting me in the head repeatedly until I blacked out. The police seen this on camera.
Need aggressive lawyer",2,General Litigation > Actions Against Police | General Litigation > Personal Injury,P3 - confirmation likely sufficient
256,I suffered property fire that originated in neighbors property. I have uninsured losses from fire and want to sue neighbors insurance for the losses. I need fire damage attorney.,2,General Litigation > Property Damage | General Litigation > Insurance (Liability),P3 - confirmation likely sufficient
259,"My mother was transported to St. Elora hospital in Redmond. She was stabilized for the reason admitted. She then fell out of the bed in the ER at 1222 am, hitting her head. She broke two vertebrae, cracked her skull and split her head open. The wound was substantial and required a blood transfusion later. She was found 10 minutes later without a pulse. They performed CPR and life flighted her to Alderstone University Hospital. She had a DNR order in place. The doctors at Alderstone University Hospital said she was likely paralyzed from the neck down and was without oxygen to the brain for the time on the floor in the ER. How can an 85 year old woman, who is confined to a wheel chair ""fall"" out of an ER bed and die? I need help in making the hospital pay for their incompetence and wrongful death, as well as doing CPR against her wishes (which also caused several broken ribs).",2,General Litigation > Wrongful Death | General Litigation > Malpractice-Medical,P3 - confirmation likely sufficient
261,"I was granted a temporary stalking order on Friday, 08/2/2024. A contested hearing is scheduled for 09/02/2024 and I need an attorney to represent me as a petitioner. I would also like further legal advice on taking legal action against someone who is stalking me. The respondent to my stalking order initially made contact with as my client in a job I was working as social services provider in Keizer. Months after I had stopped working with her as a housing advocate, she contacted me on social media which I never responded to. A couple of years later, in 2023, she began harassing me on my employer's social media and submitting threatening and profane messages about me to my employer through a submission form on their website. I eventually decided to get the stalking order last week because she vandalized my workplace, breaking several windows.",2,General Litigation > Stalking Orders | General Litigation > Property Damage,P3 - confirmation likely sufficient
268,"I need to get information on protective orders and then file these orders. Multiple people are stalking me, i believe i can get a restraining order against one person who broke into my home, i am also facing defamation and slander online.",2,General Litigation > Stalking Orders | General Litigation > Libel/Slander/Defamation,P3 - confirmation likely sufficient
280,"I am a writer, but am not represented by an agent, manager, or attorney. My current project, a fantasy/adventure trilogy for young adults has already generated tremendous interest, and I need very much to ask someone many questions about intellectual property, copyright, and the creation of a specialty asset trust to manage the various brands and licensing opportunities that will spin off of the books.",2,Intellectual Property > Trademark/Copyright | Wills & Trusts > Living Trusts,P3 - confirmation likely sufficient
282,"We are looking for attorney services to facilitate copyright, trademark, patent filings.",2,Intellectual Property > Patent (Reg Patent Attys Only) | Intellectual Property > Trademark/Copyright,P3 - confirmation likely sufficient
290,"I need your help regarding copyright infringement, harassment, and defamation. A TikTok user took my video without permission, using it to humiliate me for my differing political views. This has caused emotional distress, fear for my career, and ongoing harassment. She made damaging statements to her 62.3k audience, tarnishing my reputation. I disabled saving my videos to protect my likeness but she still used them without consent. I've documented evidence and pursued a DMCA takedown. Can we discuss legal options for damages and action?",3,Intellectual Property > Trademark/Copyright | General Litigation > Libel/Slander/Defamation | General Litigation > Online Harassment/Doxing/Bullying,P1 - human decision essential
294,"I am a graphic designer and need help with intellectual property, a contract, and copyrights.",2,"Intellectual Property > Trademark/Copyright | Business & Corporate > General (Contracts, Business, Organization)",P3 - confirmation likely sufficient
299,I am an inventor with an invention that I need to patent. The courts are interfering with my ability to create a prototype and have a patent made for reasons that have never been explained to me. I need an attorney too prevent the courts from interfering with my livelihood as an inventor.,2,Intellectual Property > Patent (Reg Patent Attys Only) | General Litigation > General Litigation,P1 - human decision essential
300,Hi I am looking for a trademark and patent lawyer to help lockdown some slogans and designs I have for my Pickleball Apparel brand,2,Intellectual Property > Trademark/Copyright | Intellectual Property > Patent (Reg Patent Attys Only),P3 - confirmation likely sufficient
316,I would like to build up an EB5 immigration case. Need Attorney(s) who specializes both immigration and professional investment law and processes.,2,International Law > Gen. Immigration/Visas | Business & Corporate > Securities,P3 - confirmation likely sufficient
324,Hours was deleted from my pay and when I said something about it to the manager I was terminated,2,Labor & Employment > Wage and Hour Claims | Labor & Employment > Wrongful Discharge,P3 - confirmation likely sufficient
325,Possible wrongful termination and/or discrimination,2,Labor & Employment > Wrongful Discharge | Labor & Employment > Discrimination,P1 - human decision essential
328,"I harassed by my new boss almost everyday, she would hover over my work, text me during my days off questioning me about things that could wait until my in office days. Would snoop through my work. Would gossip with other coworkers about getting rid of me. Promised my position to my receptionist who is now in my position. Would make racist remarks towards me and my hispanic coworkers. Suspended me for 7 days, then Fired me without cause over a 30 second phone call. Refuses to provide paperwork about suspension and termination investigation with HR/coorporate. Never received a response back from her or corporate.",2,Labor & Employment > Discrimination | Labor & Employment > Wrongful Discharge,P3 - confirmation likely sufficient
329,"I need a referral for an employment attorney. I am facing what appears to be discrimination in hiring and pay by my current employer. I am a dues-paying union member, but the union steward is almost completely unresponsive to my communications. I managed to initiate a formal complaint with the company I work for, with the union filing the paperwork at the last minute, but the steward has already said that I won't get what I believe I am entitled to. I seek legal advice now before the union process runs its course and I am pushed out of a job that I have worked very hard to acquire and succeed in.",2,Labor & Employment > Union Issues | Labor & Employment > Discrimination,P3 - confirmation likely sufficient
331,I believe I was wrongly terminated. I was let go from my job with the reasoning being that I got a second job. Also my employer gave me a final paystub indicating my whole final check went to taxes.,2,Labor & Employment > Wage and Hour Claims | Labor & Employment > Wrongful Discharge,P3 - confirmation likely sufficient
332,I was wrongfully terminated from you homeless shelter for telling my boss co workers were being negligent. She got angry knowing I have dislexia and fired me. No I am behind on rent pge and other bills. I left a good job to work there,2,Labor & Employment > Whistleblowers | Labor & Employment > ADA (Disability) Act Issues,P3 - confirmation likely sufficient
335,"Recently have been on medical leave from work and I have been trying to return to work part time, and eventually full time. I have had problems getting timely, informative responses from my employer and the insurance company handling the leave and disability claim upon requesting return to work. Thus far I have not been approved to return to work. Have questions both on my rights regarding returning to work and on a short-term disability claim, which was initially approved and now denied.",2,Labor & Employment > FMLA | Labor & Employment > Other,P1 - human decision essential
341,"Currently out in short term disability. Exhausted FMLA, due to emergency medical under doctor care. In pending process through corporate be approved for non FMLA medical leave. Have stellar reputation and never abused pto never had disability until this emergency. At local level not corporate Work is terminating me today saying since I have no more FMLA and no accommodations available. Received letter from local HR stating I either need to return to work, adaaa accommodation which said nothing available or resign. Saying I am voluntarily quitting which I am not, due to not returning and I have to clean out my office.",2,Labor & Employment > ADA (Disability) Act Issues | Labor & Employment > FMLA,P3 - confirmation likely sufficient
342,I would like an attorney to review my separation agreement and help negotiate the severance pay offered as I believe it is not consistent or equitable. I believe that I may have been terminated due to my FMLA status and/or my age.,2,Labor & Employment > Document Review/Severance Packages. | Labor & Employment > FMLA,P3 - confirmation likely sufficient
344,"Message: I am Being severely harassed by one of my employers on and off the job. There's sexual harassment, discrimination, defamation of character, slander threats an unbelievably hostile work environment wage discrepancies and they switch me from salary one week to hourly wages the next just to avoid paying me my overtime she beats on my door at all hours of the day and night screening text messages that are unbelievable voicemails that are unbelievable there have been employees that have quit because of the way she treats me in front of them and guests so I finally contacted the labor board and they referred me can contact you guys immediately if not sooner please help it's gotten to the point now where I'm afraid to go into work because I don't know what to expect and I don't want to be ridiculed and humiliated and strained after hours",2,Labor & Employment > Wage and Hour Claims | Labor & Employment > Sexual Harrasment,P3 - confirmation likely sufficient
349,I was injured at work on 6/25/23. Was on worker’s compensation for about 6 months. Broke my hip and l4 & l5 on a slip and fall at Hawthorn Market’s distribution center while working in the freezer. Wondering what my options are for my personal injury.,2,Workers' Comp > State | Workers' Comp > Third Party litigation,P1 - human decision essential
365,"My landlord is refusing to fix a sewer leak issue, along with standing water under my home that is causing mold, and rodents that were living in my vents. Now she's trying to say it's my fault and I need to pay for everything, even though they are admitting the issues and know what's going on, as they are trying to get the builders the fix the issues. They keep lying to me and now for over 2 weeks I've had terrible sewer leaks they won't fix or even entertain. They said those leaks have fixed themselves all on their own, and they can't be leaking anymore.",2,Real Property > Tenant (Residential) | General Litigation > Mold Claims,P3 - confirmation likely sufficient
368,"I have a signed contract with a roofing company to replace my roof, they did not do the roof, but they took $13,000 from me, and have now closed their business. I would like to file something to get my money back, I thought this was a small claims issue, but then I saw the maximum for small claims is $10,000. So, I need an attorney to help me get my money back, I'm not sure what type, maybe a breach of contract lawyer, but again, I do not know. I look forward to speaking with someone. Thank you!",2,Real Property > Construction/Contractors | General Litigation > General Litigation,P2 - human confirmation recommended
370,1) Real Estate we recently purchased a home and we're lied to about what was included. 2) We need help figuring out our water rights on the property we purchase we were told 2 people have a easement to a water pipe going through the property however we were never shown an easement and we have k lines attached to this pipe.,2,Real Property > Water Law | Real Property > General (residential),P3 - confirmation likely sufficient
371,I believe that I am being discriminated against by my Landlord for having children one of which has a disability. I have received multiple violations and am now being threatened with an eviction. I need help fighting this because my Landlord is making it a point to make my children and I feel very unsafe and uncomfortable living in our own home.,2,General Litigation > Civil Rights | Real Property > Tenant (Residential),P3 - confirmation likely sufficient
