row_number,problem_description,original_human_category,original_human_subcategory,gpt52_rank1,gemini31_pro_rank1,deepseek_v4_rank1,internal_review,four_pass_pattern,four_pass_max_agreement,four_pass_distinct_labels,review_basis,gpt52_all_candidates,gemini31_pro_all_candidates,deepseek_v4_all_candidates
46,"My ex-husband has filed for Chapter 7 bankruptcy. My divorce lawyer had said even with the division of debts in the decree, including those not in my name, I could still be liable for his debts and pursued by his creditors in the future. I am seeking clarity, and any relevant assistance to protect my assets.",Bankruptcy,Personal,Bankruptcy / Other,Bankruptcy / Other,Bankruptcy / Creditors,Bankruptcy / Other,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Bankruptcy"", ""subcategory"": ""Other"", ""justification"": ""User is not filing bankruptcy but needs advice on protecting assets and liability for marital debts after an ex-spouse filed Chapter 7, which is a bankruptcy-adjacent discharge/creditor pursuit issue not cleanly “personal” filing."", ""confidence"": ""high""}, {""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""They are concerned they may be pursued by creditors for debts allocated in the divorce decree; this overlaps with debtor liability/collection risk, but bankruptcy law is the primary driver because of the ex’s Chapter 7."", ""confidence"": ""medium""}]","[{""category"": ""Bankruptcy"", ""subcategory"": ""Other"", ""justification"": ""The user is seeking advice on the niche bankruptcy topic of how an ex-spouse's Chapter 7 filing will impact her own liability for debts divided in their divorce decree."", ""confidence"": ""medium""}, {""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""The user is concerned about being pursued by creditors for debts she may not be able to pay due to her ex-husband's bankruptcy."", ""confidence"": ""medium""}, {""category"": ""Bankruptcy"", ""subcategory"": ""Creditors"", ""justification"": ""The user might also be considered a creditor herself depending on the divorce decree obligations her ex-husband is attempting to discharge."", ""confidence"": ""low""}]","[{""category"": ""Bankruptcy"", ""subcategory"": ""Creditors"", ""justification"": ""The user's ex-husband filed Chapter 7 bankruptcy, and she is concerned about being pursued for his debts, making her a creditor in the bankruptcy context."", ""confidence"": ""high""}]"
54,"I need a referral for an employment attorney. I am facing what appears to be discrimination in hiring and pay by my current employer. I am a dues-paying union member, but the union steward is almost completely unresponsive to my communications. I managed to initiate a formal complaint with the company I work for, with the union filing the paperwork at the last minute, but the steward has already said that I won't get what I believe I am entitled to. I seek legal advice now before the union process runs its course and I am pushed out of a job that I have worked very hard to acquire and succeed in.",Labor & Employment,Discrimination,Labor & Employment / Union Issues,Labor & Employment / Discrimination,Labor & Employment / Discrimination,Labor & Employment / Discrimination,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Labor & Employment"", ""subcategory"": ""Union Issues"", ""justification"": ""They are a union member and report the union steward is unresponsive and not representing their interests, which is a dispute with their union’s representation."", ""confidence"": ""high""}, {""category"": ""Labor & Employment"", ""subcategory"": ""Discrimination"", ""justification"": ""They also allege discrimination in hiring and pay by the employer; included second because the union representation problem is central to their request for advice before the grievance process concludes."", ""confidence"": ""medium""}]","[{""category"": ""Labor & Employment"", ""subcategory"": ""Discrimination"", ""justification"": ""The core employment issue is the user facing alleged discrimination in hiring and pay by their current employer."", ""confidence"": ""high""}, {""category"": ""Labor & Employment"", ""subcategory"": ""Union Issues"", ""justification"": ""The user is also in a dispute with their union steward, claiming the union is unresponsive and failing to represent them properly in their grievance."", ""confidence"": ""high""}]","[{""category"": ""Labor & Employment"", ""subcategory"": ""Discrimination"", ""justification"": ""The user faces discrimination in hiring and pay and seeks an employment attorney, though union representation exists but is unresponsive."", ""confidence"": ""high""}, {""category"": ""Labor & Employment"", ""subcategory"": ""Union Issues"", ""justification"": ""The union steward's unresponsiveness may indicate a secondary issue of unfair representation, but the core problem is the underlying discrimination."", ""confidence"": ""medium""}]"
56,I need to find someone to help with a guardianship/conservatorship/elder law. I am a POA for my aging father and I am trying to understand what I can/cannot do in order to help him with his finances so he doesn't become homeless. He needs help but I need to find someone to work with to complete this process in the right and orderly way.,Wills & Trusts,Conservatorship/Guardianship,Wills & Trusts / Conservatorship/Guardianship,Wills & Trusts / Power of Attorney,Wills & Trusts / Conservatorship/Guardianship,Wills & Trusts / Power of Attorney,2/4 agreement,2,2,in-context manual review,"[{""category"": ""Wills & Trusts"", ""subcategory"": ""Conservatorship/Guardianship"", ""justification"": ""They seek help with guardianship/conservatorship for an aging father and understanding authority beyond a POA to manage finances and prevent homelessness."", ""confidence"": ""high""}, {""category"": ""Wills & Trusts"", ""subcategory"": ""Power of Attorney"", ""justification"": ""They currently act under POA and need advice on what they can/cannot do; however their stated goal is moving into guardianship/conservatorship, which is distinct from merely drafting a POA."", ""confidence"": ""medium""}]","[{""category"": ""Wills & Trusts"", ""subcategory"": ""Power of Attorney"", ""justification"": ""The user already has Power of Attorney (POA) for their aging father and needs legal advice to understand the scope of their authority to manage his finances."", ""confidence"": ""high""}, {""category"": ""Wills & Trusts"", ""subcategory"": ""Conservatorship/Guardianship"", ""justification"": ""The user mentions needing help with conservatorship, which may be necessary if the father's incapacity requires court-appointed financial management beyond the existing POA."", ""confidence"": ""medium""}]","[{""category"": ""Wills & Trusts"", ""subcategory"": ""Conservatorship/Guardianship"", ""justification"": ""The user has POA for an aging father and needs help with guardianship/conservatorship to manage finances and prevent homelessness, fitting this subcategory."", ""confidence"": ""high""}]"
59,"Small claims Question: I've contracted with a small General Contractor for a home renovation. The work has generally been good and is 98% complete. However a $5K carpet install performed by a subcontractor did not go well (poor job, visible seams, confirmed botched by other carpet co.) and needs to be replaced. The contactor and I are at odds about who should be responsible, and I'm unsure if I can withhold payment, risk a lien or who I should file a claim against if need be.",Consumer Law,Small Claims Advice,Real Property / Construction/Contractors,Real Property / Construction/Contractors,Consumer Law / Small Claims Advice,Real Property / Construction/Contractors,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Real Property"", ""subcategory"": ""Construction/Contractors"", ""justification"": ""Homeowner dispute with a general contractor/subcontractor over defective carpet installation, withholding payment, and lien risk fits a construction/contractor project dispute."", ""confidence"": ""high""}, {""category"": ""Consumer Law"", ""subcategory"": ""Small Claims Advice"", ""justification"": ""They ask a “Small claims question” about who to sue and whether to withhold payment; included because they may want guidance on filing in small claims rather than full construction litigation."", ""confidence"": ""medium""}]","[{""category"": ""Real Property"", ""subcategory"": ""Construction/Contractors"", ""justification"": ""The user is a property owner in a dispute with a general contractor over poor workmanship by a subcontractor and concerns about potential liens."", ""confidence"": ""high""}, {""category"": ""Consumer Law"", ""subcategory"": ""Small Claims Advice"", ""justification"": ""The user is asking about filing a claim for a $5,000 dispute, which falls under Small Claims Advice, though the construction category is more specific to the subject matter."", ""confidence"": ""medium""}]","[{""category"": ""Consumer Law"", ""subcategory"": ""Small Claims Advice"", ""justification"": ""The user has a dispute with a contractor over a botched $5K carpet install and seeks advice on withholding payment or filing a claim, typical small claims territory."", ""confidence"": ""high""}, {""category"": ""Real Property"", ""subcategory"": ""Construction/Contractors"", ""justification"": ""The underlying dispute is with a general contractor over renovation work, but the user specifically asks about small claims and lien risks."", ""confidence"": ""medium""}]"
62,"Neighbor's dog bit me on my left for arm in November 2023. It's left me unable to work for 2 months and another 7 months at roughly half time. I still have nerve damage on my left hand palm and two fingers on my left had with burning, tingling and weakness.",General Litigation,Animal Law,General Litigation / Animal Law,General Litigation / Animal Law,General Litigation / Personal Injury,General Litigation / Animal Law,3/4 agreement,3,2,in-context manual review,"[{""category"": ""General Litigation"", ""subcategory"": ""Animal Law"", ""justification"": ""User was bitten by a neighbor’s dog and has ongoing nerve damage and lost work time, which fits civil claims arising from animal attacks."", ""confidence"": ""high""}, {""category"": ""General Litigation"", ""subcategory"": ""Personal Injury"", ""justification"": ""The user has significant bodily injury and lost wages; if the focus is negligence damages rather than the dog/owner-specific angle, this could be routed as a general injury claim."", ""confidence"": ""medium""}]","[{""category"": ""General Litigation"", ""subcategory"": ""Animal Law"", ""justification"": ""The user is seeking damages specifically for a dog bite that caused severe injuries and lost wages. The 'Animal Law' category explicitly includes claims for 'damages from an animal bite'."", ""confidence"": ""high""}, {""category"": ""General Litigation"", ""subcategory"": ""Personal Injury"", ""justification"": ""This involves recovering damages for physical injury caused by someone else's negligence, which makes it a viable secondary match, although Animal Law is more specific to injuries caused by dogs."", ""confidence"": ""medium""}]","[{""category"": ""General Litigation"", ""subcategory"": ""Personal Injury"", ""justification"": ""The user describes a dog bite causing nerve damage and inability to work, which is a classic personal injury claim based on another's negligence or strict liability."", ""confidence"": ""high""}]"
63,"Recently have been on medical leave from work and I have been trying to return to work part time, and eventually full time. I have had Questions getting timely, informative responses from my employer and the insurance company handling the leave and disability claim upon requesting return to work. Thus far I have not been approved to return to work. Have Question both on my rights regarding returning to work and on a short-term disability claim, which was initially approved and now denied.",Labor & Employment,Wage and Hour Claims,General Litigation / Insurance (Health/Disability),Labor & Employment / Other,Labor & Employment / FMLA,General Litigation / Insurance (Health/Disability),2/4 agreement,2,3,in-context manual review,"[{""category"": ""General Litigation"", ""subcategory"": ""Insurance (Health/Disability)"", ""justification"": ""The core dispute is a private short-term disability claim that was approved and then denied, indicating a coverage/benefits dispute with a disability insurer/administrator."", ""confidence"": ""high""}, {""category"": ""Labor & Employment"", ""subcategory"": ""FMLA"", ""justification"": ""User is on medical leave and is facing obstacles returning to work, which may implicate job-protected leave/return-to-work rights; included only because the leave type is unclear."", ""confidence"": ""medium""}, {""category"": ""Labor & Employment"", ""subcategory"": ""General"", ""justification"": ""Questions about employer responsiveness and return-to-work approval may be a broader workplace rights issue if not specifically FMLA/ADA-based."", ""confidence"": ""low""}]","[{""category"": ""Labor & Employment"", ""subcategory"": ""Other"", ""justification"": ""The user is facing issues with a denied short-term disability claim through their employer's insurance, which falls under niche employment topics like disputes over short/long-term disability benefits."", ""confidence"": ""medium""}, {""category"": ""Labor & Employment"", ""subcategory"": ""FMLA"", ""justification"": ""The user is attempting to return to work from a medical leave, potentially invoking their rights under the Family and Medical Leave Act regarding job protection."", ""confidence"": ""medium""}, {""category"": ""General Litigation"", ""subcategory"": ""Insurance (Health/Disability)"", ""justification"": ""The user is having a direct dispute with an insurance company handling their disability claim that went from approved to denied, which could lead to a lawsuit over coverage."", ""confidence"": ""low""}]","[{""category"": ""Labor & Employment"", ""subcategory"": ""FMLA"", ""justification"": ""The user was on medical leave and is being prevented from returning to work, which raises issues under the Family and Medical Leave Act regarding job-protected leave and reinstatement rights."", ""confidence"": ""high""}, {""category"": ""General Litigation"", ""subcategory"": ""Insurance (Health/Disability)"", ""justification"": ""The short-term disability claim was initially approved and then denied, indicating a dispute with the insurance company over coverage that could be a separate litigation matter."", ""confidence"": ""medium""}]"
70,"Ongoing harassment from next door neighbor. I was bear sprayed through a hole he cut in the fence. He harrassed 11 y.o. daughter. My wife believes she was shot at with a pellet gun. Sprayed chemicals to kill plants on my property. Threatened delivery workers with violence. He has cut peepholes in the fence and established cameras pointing into our yard and windows. 3 plus neighbors have similar stories and they have all told me that previous owners have moved because of this neighbor and his aggressive actions. We want to enjoy our home, but he finds joy in making life miserable for us and fearful of our young children’s safety. He has said “I’ll never stop watching you”",Real Property,Neighbor Disputes/Nuisance,General Litigation / Neighbor Disputes/Nuisance,General Litigation / Neighbor Disputes/Nuisance,General Litigation / Stalking Orders,General Litigation / Neighbor Disputes/Nuisance,3/4 agreement,3,2,in-context manual review,"[{""category"": ""General Litigation"", ""subcategory"": ""Neighbor Disputes/Nuisance"", ""justification"": ""Ongoing neighbor harassment involving fence tampering, chemicals, threats, and interference with enjoyment of the home fits a neighbor nuisance/dispute pattern."", ""confidence"": ""high""}, {""category"": ""General Litigation"", ""subcategory"": ""Stalking Orders"", ""justification"": ""The conduct includes surveillance ('never stop watching you'), threats, and repeated harassment; if the goal is a protective order against a non-household member, a stalking order is appropriate."", ""confidence"": ""high""}, {""category"": ""General Litigation"", ""subcategory"": ""Property Damage"", ""justification"": ""Spraying chemicals to kill plants and cutting holes/peepholes in a fence may support a damages claim focused on property harm, but the core issue appears to be ongoing harassment."", ""confidence"": ""medium""}]","[{""category"": ""General Litigation"", ""subcategory"": ""Neighbor Disputes/Nuisance"", ""justification"": ""This is an extreme dispute between next-door neighbors involving property boundaries (fences), property damage (chemicals), and acts that severely interfere with the enjoyment of their home."", ""confidence"": ""high""}, {""category"": ""General Litigation"", ""subcategory"": ""Stalking Orders"", ""justification"": ""The neighbor is engaging in repeated harassment, threats, and surveillance (cutting peepholes, pointing cameras, saying 'I'll never stop watching you'), qualifying for a non-family stalking order."", ""confidence"": ""high""}, {""category"": ""General Litigation"", ""subcategory"": ""Personal Injury"", ""justification"": ""The user was physically assaulted with bear spray and possibly a pellet gun, giving rise to an intentional tort/personal injury claim."", ""confidence"": ""medium""}]","[{""category"": ""General Litigation"", ""subcategory"": ""Stalking Orders"", ""justification"": ""The ongoing harassment, surveillance, and threats from a neighbor, including physical harm with bear spray, warrant seeking a stalking protective order as the neighbor is not a household member."", ""confidence"": ""high""}, {""category"": ""General Litigation"", ""subcategory"": ""Neighbor Disputes/Nuisance"", ""justification"": ""The neighbor's actions, such as cutting peepholes and spraying chemicals, constitute a nuisance and could also be addressed through litigation for damages or injunctive relief."", ""confidence"": ""medium""}]"
76,"I need guidance on intellectual property protection, patent categories (software patents), and the best strategies for ensuring the app's marketability.",Intellectual Property,,Intellectual Property / Computer Law & Internet Law,Intellectual Property / Patent (Reg Patent Attys Only),Intellectual Property / Patent (Reg Patent Attys Only),Intellectual Property / Patent (Reg Patent Attys Only),3/4 agreement,3,2,in-context manual review,"[{""category"": ""Intellectual Property"", ""subcategory"": ""Computer Law & Internet Law"", ""justification"": ""User seeks IP protection strategy for an app and asks about software patents, which commonly overlaps with software/internet legal protection issues."", ""confidence"": ""medium""}, {""category"": ""Intellectual Property"", ""subcategory"": ""Patent (Reg Patent Attys Only)"", ""justification"": ""Because they explicitly ask about software patents and patent categories, a patent attorney route may be the best fit if they intend to pursue patent filing."", ""confidence"": ""medium""}, {""category"": ""Intellectual Property"", ""subcategory"": ""Trademark/Copyright"", ""justification"": ""If the practical goal is protecting the app name/logo/branding or code/content rather than patenting, trademark/copyright may be the more appropriate IP protection strategy."", ""confidence"": ""medium""}]","[{""category"": ""Intellectual Property"", ""subcategory"": ""Patent (Reg Patent Attys Only)"", ""justification"": ""The user explicitly needs guidance on 'patent categories (software patents)' to protect an app."", ""confidence"": ""high""}, {""category"": ""Intellectual Property"", ""subcategory"": ""Computer Law & Internet Law"", ""justification"": ""Because the patent is for an app/software, the user may also need broad legal guidance regarding IP and computers."", ""confidence"": ""medium""}, {""category"": ""Intellectual Property"", ""subcategory"": ""Trademark/Copyright"", ""justification"": ""Along with a software patent, the user may need a trademark to protect the brand name and ensure the 'app's marketability'."", ""confidence"": ""low""}]","[{""category"": ""Intellectual Property"", ""subcategory"": ""Patent (Reg Patent Attys Only)"", ""justification"": ""The user mentions patent categories including software patents and IP protection strategies, indicating a need for a patent attorney."", ""confidence"": ""high""}, {""category"": ""Intellectual Property"", ""subcategory"": ""Computer Law & Internet Law"", ""justification"": ""Software patents often intersect with computer and internet law, but the primary focus is on patent protection, making this a secondary match."", ""confidence"": ""medium""}]"
96,I am looking for a lawyer that specializes in social security benefits for children who are getting benefits through a parent on SSDI. I was told by multiple social security representatives that all money goes to the children and the custodial parent and that it doesn't matter what is in a divorce agreement. I need to know what I can do to protect my children's benefits with the divorce agreement stating that their dad gets 50% of their backpay.,Administrative Law,,Family Law / Child Support/Modification,Administrative Law / SSD (Social Security Disability),Administrative Law / SSD (Social Security Disability),Administrative Law / SSD (Social Security Disability),3/4 agreement,3,2,in-context manual review,"[{""category"": ""Family Law"", ""subcategory"": ""Child Support/Modification"", ""justification"": ""User is in a divorce/custody context disputing how children's Social Security dependent benefits/backpay should be handled between parents, which functions like a child-support allocation issue in the family case."", ""confidence"": ""medium""}, {""category"": ""Administrative Law"", ""subcategory"": ""SSD (Social Security Disability)"", ""justification"": ""The benefits are derived from a parent's SSDI and the user cites Social Security's rules about who receives the funds; included as a lower match because the primary conflict appears to be how parents handle the funds in divorce, not a denial by SSA."", ""confidence"": ""medium""}]","[{""category"": ""Administrative Law"", ""subcategory"": ""SSD (Social Security Disability)"", ""justification"": ""The core benefit being disputed is derived from a parent's SSDI."", ""confidence"": ""high""}, {""category"": ""Family Law"", ""subcategory"": ""Child Support/Modification"", ""justification"": ""A secondary issue involves a conflict between federal agency rules and a state divorce decree regarding child support/asset division."", ""confidence"": ""medium""}]","[{""category"": ""Administrative Law"", ""subcategory"": ""SSD (Social Security Disability)"", ""justification"": ""The user seeks a lawyer for children's benefits through a parent on SSDI and a divorce agreement affecting backpay, which is a derivative issue of Social Security Disability benefits."", ""confidence"": ""high""}, {""category"": ""Family Law"", ""subcategory"": ""QDROs"", ""justification"": ""The issue involves dividing what appear to be benefits or backpay assets post-divorce. However, it is specifically about Social Security benefits for children, not retirement plan division, making SSD the primary match."", ""confidence"": ""low""}]"
101,I would like to get some knowledge and advice on potentially filing for bankruptcy.,Bankruptcy,,Bankruptcy / Pro Se Coaching,Bankruptcy / Personal,Bankruptcy / Personal,Bankruptcy / Pro Se Coaching,2/4 agreement,2,2,in-context manual review,"[{""category"": ""Bankruptcy"", ""subcategory"": ""Pro Se Coaching"", ""justification"": ""User wants general knowledge and advice about potentially filing for bankruptcy, indicating guidance on navigating the process rather than a specific filing already underway."", ""confidence"": ""medium""}, {""category"": ""Bankruptcy"", ""subcategory"": ""Personal"", ""justification"": ""They may ultimately be seeking to file as an individual debtor, but the request is framed as exploratory advice rather than initiating a filing."", ""confidence"": ""medium""}]","[{""category"": ""Bankruptcy"", ""subcategory"": ""Personal"", ""justification"": ""The user is an individual seeking general legal advice on the possibility of filing for personal bankruptcy."", ""confidence"": ""high""}]","[{""category"": ""Bankruptcy"", ""subcategory"": ""Personal"", ""justification"": ""The user seeks knowledge and advice on potentially filing for bankruptcy without indicating a business, defaulting to personal bankruptcy."", ""confidence"": ""high""}]"
103,Looking at filing bankrupcy and have no money. Need legal advice to help me through the process.,Bankruptcy,,Bankruptcy / Pro Se Coaching,Bankruptcy / Personal,Bankruptcy / Personal,Bankruptcy / Pro Se Coaching,2/4 agreement,2,2,in-context manual review,"[{""category"": ""Bankruptcy"", ""subcategory"": ""Pro Se Coaching"", ""justification"": ""User is considering filing bankruptcy with no money and asks for legal advice to get through the process, indicating guidance while self-representing or with limited resources."", ""confidence"": ""medium""}, {""category"": ""Bankruptcy"", ""subcategory"": ""Personal"", ""justification"": ""They are seeking to file bankruptcy for personal financial relief; pro se coaching is ranked higher because they emphasize inability to pay and needing help through the process."", ""confidence"": ""medium""}]","[{""category"": ""Bankruptcy"", ""subcategory"": ""Personal"", ""justification"": ""The user is an individual looking to file for bankruptcy and needs legal advice to navigate the process."", ""confidence"": ""high""}, {""category"": ""Bankruptcy"", ""subcategory"": ""Pro Se Coaching"", ""justification"": ""Since the user has no money, they may need guidance on how to represent themselves through the bankruptcy process."", ""confidence"": ""medium""}]","[{""category"": ""Bankruptcy"", ""subcategory"": ""Personal"", ""justification"": ""The user states they are looking to file bankruptcy and have no money, indicating an individual debtor needing relief from personal debts."", ""confidence"": ""high""}, {""category"": ""Bankruptcy"", ""subcategory"": ""Pro Se Coaching"", ""justification"": ""Since the user mentions needing legal advice but having no money, they may require pro se coaching for navigating bankruptcy on their own, but the primary need is still filing."", ""confidence"": ""low""}]"
107,"I have been off work due to an injury for over 2 years, and recently lost workers comp reimbursement benefits. With all the past medical and other expenses I can't make any of my payments and will need to file bankruptcy. However I can't afford an attorney. Is it difficult to file on my own, or is there someone who could help for a reduced fee? Thanks for your help in advance.",Bankruptcy,,Bankruptcy / Pro Se Coaching,Bankruptcy / Pro Se Coaching,Bankruptcy / Personal,Bankruptcy / Pro Se Coaching,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Bankruptcy"", ""subcategory"": ""Pro Se Coaching"", ""justification"": ""User expects to file bankruptcy but cannot afford a lawyer and asks whether filing on their own is difficult or if reduced-fee help is available—seeking coaching/guidance."", ""confidence"": ""high""}, {""category"": ""Bankruptcy"", ""subcategory"": ""Personal"", ""justification"": ""Underlying issue is an individual bankruptcy due to inability to pay after loss of workers’ comp benefits; ranked lower because the main ask is self-filing assistance."", ""confidence"": ""medium""}]","[{""category"": ""Bankruptcy"", ""subcategory"": ""Pro Se Coaching"", ""justification"": ""The user is asking if it is difficult to file for bankruptcy on their own and is looking for self-representation advice or reduced fee help."", ""confidence"": ""high""}, {""category"": ""Bankruptcy"", ""subcategory"": ""Personal"", ""justification"": ""The core issue is that the user is an individual who needs to file for bankruptcy to eliminate past medical expenses."", ""confidence"": ""high""}]","[{""category"": ""Bankruptcy"", ""subcategory"": ""Personal"", ""justification"": ""The user needs to file bankruptcy due to debts from lost workers' comp and injury, and is inquiring about self-filing or reduced-fee help, all within an individual bankruptcy context."", ""confidence"": ""high""}, {""category"": ""Bankruptcy"", ""subcategory"": ""Pro Se Coaching"", ""justification"": ""The user asks if it is difficult to file on their own and if help is available for a reduced fee, suggesting potential need for guidance in self-representation."", ""confidence"": ""low""}]"
111,"I am being sued by a creditor for approximately 2000. I cant afford that payment at this time. Trying to find help with this. File a motion, call to settle, bankruptcy, etc.?",Bankruptcy,,Debtor/Creditor / General (Debtor),Debtor/Creditor / General (Debtor),Bankruptcy / Personal,Debtor/Creditor / General (Debtor),3/4 agreement,3,2,in-context manual review,"[{""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""User is being sued by a creditor and is exploring options like filing a motion or settling; this is defending/handling a debt collection lawsuit."", ""confidence"": ""high""}, {""category"": ""Bankruptcy"", ""subcategory"": ""Personal"", ""justification"": ""Bankruptcy is mentioned as one possible strategy, but the immediate issue is a creditor lawsuit and payment inability, so bankruptcy is secondary."", ""confidence"": ""medium""}]","[{""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""The user owes money, is currently being sued by a creditor, and is looking for legal strategies like settling or filing motions to handle the immediate threat."", ""confidence"": ""high""}, {""category"": ""Bankruptcy"", ""subcategory"": ""Personal"", ""justification"": ""The user explicitly mentions exploring bankruptcy as a potential option to resolve the debt they cannot afford."", ""confidence"": ""medium""}]","[{""category"": ""Bankruptcy"", ""subcategory"": ""Personal"", ""justification"": ""The user is being sued by a creditor for approximately $2,000 and is considering bankruptcy among other options, indicating a personal debt situation."", ""confidence"": ""high""}]"
116,"My ex-husband has filed for Chapter 7 bankruptcy. My divorce lawyer had said even with the division of debts in the decree, including those not in my name, I could still be liable for his debts and pursued by his creditors in the future. I am seeking clarity, and any relevant assistance to protect my assets.",Bankruptcy,,Bankruptcy / Other,Bankruptcy / Other,Bankruptcy / Creditors,Bankruptcy / Other,3/4 agreement,3,2,in-context manual review,"[{""category"": ""Bankruptcy"", ""subcategory"": ""Other"", ""justification"": ""User is not filing themselves but needs advice on how an ex-spouse’s Chapter 7 and divorce debt allocation affects their potential liability and asset protection—bankruptcy-related third-party/complex effects."", ""confidence"": ""high""}, {""category"": ""Family Law"", ""subcategory"": ""General (Divorce/Separation)"", ""justification"": ""Issue arises from a divorce decree allocating debts; included second because the core question is liability to creditors after the divorce in light of bankruptcy, which is primarily a bankruptcy-law effect."", ""confidence"": ""medium""}]","[{""category"": ""Bankruptcy"", ""subcategory"": ""Other"", ""justification"": ""The user needs to navigate the complex effects of their ex-husband's bankruptcy case and protect their own assets from his creditors."", ""confidence"": ""medium""}, {""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Debtor)"", ""justification"": ""The user is worried about being pursued by creditors for joint debts, requiring advice on defending against debt collection."", ""confidence"": ""medium""}, {""category"": ""Family Law"", ""subcategory"": ""General (Divorce/Separation)"", ""justification"": ""The issue stems directly from the division of debts in a divorce decree and how that decree interacts with post-divorce creditor claims."", ""confidence"": ""medium""}]","[{""category"": ""Bankruptcy"", ""subcategory"": ""Creditors"", ""justification"": ""The user's ex-husband filed Chapter 7 bankruptcy, and she is concerned about being pursued for his debts; she needs to protect her assets as a creditor or co-obligor, making this a creditor-side bankruptcy issue."", ""confidence"": ""high""}, {""category"": ""Family Law"", ""subcategory"": ""General (Divorce/Separation)"", ""justification"": ""The issue stems from a divorce decree's debt division, which touches on family law, but the immediate legal need is navigating the bankruptcy's impact on the creditor's rights."", ""confidence"": ""medium""}]"
120,I Have a small sole proprietor owned business in construction (tubs&counterrs) & cleaning. Im having issues being paid. Im looking to find a lawyer that knows how to… do contracts and lien property filing for my company. Im just starting to get a profit for the first time. Now I can’t seem to be paid. Invoices over due. (Approx 50% of them) causing me to do this….. if i could get a Refural please.,Business & Corporate,,Real Property / Construction/Contractors,Debtor/Creditor / General (Creditor),"Business & Corporate / General (Contracts, Business, Organization)",Real Property / Construction/Contractors,2/4 agreement,2,3,in-context manual review,"[{""category"": ""Real Property"", ""subcategory"": ""Construction/Contractors"", ""justification"": ""User’s construction/cleaning business is not being paid and specifically wants help with contracts and filing property liens, which fits contractor payment and lien disputes tied to construction work."", ""confidence"": ""high""}, {""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Creditor)"", ""justification"": ""They are also a creditor trying to collect overdue invoices; included second because their requested remedy is construction lien filing rather than general debt collection."", ""confidence"": ""medium""}]","[{""category"": ""Debtor/Creditor"", ""subcategory"": ""General (Creditor)"", ""justification"": ""The user is owed money by their customers and is seeking to use legal tools like property liens to collect overdue invoices."", ""confidence"": ""high""}, {""category"": ""Business & Corporate"", ""subcategory"": ""Construction"", ""justification"": ""The user owns a construction business and needs help with the legal operations of their company, including drafting client contracts."", ""confidence"": ""medium""}]","[{""category"": ""Business & Corporate"", ""subcategory"": ""General (Contracts, Business, Organization)"", ""justification"": ""The user operates a sole proprietorship in construction and cleaning, needs help with contracts and lien filings for unpaid invoices; this involves business contracts and securing payment rights, core business corporate matters."", ""confidence"": ""high""}, {""category"": ""Real Property"", ""subcategory"": ""Construction/Contractors"", ""justification"": ""The filing of liens relates to construction work and non-payment, but the user's focus is on setting up legal processes for the business, not an active dispute with a specific property owner, so business contract advice is more appropriate."", ""confidence"": ""low""}]"
126,I belong to a non-profit performing group. We are looking for a free consultation initially to help with royalty questions. Thank you,Business & Corporate,,Business & Corporate / Entertainment,Intellectual Property / Entertainment,Intellectual Property / Trademark/Copyright,Intellectual Property / Entertainment,2/4 agreement,2,3,in-context manual review,"[{""category"": ""Business & Corporate"", ""subcategory"": ""Entertainment"", ""justification"": ""A nonprofit performing group needs advice on royalties, which typically involves entertainment-industry agreements and rights related to performances."", ""confidence"": ""high""}, {""category"": ""Intellectual Property"", ""subcategory"": ""Trademark/Copyright"", ""justification"": ""Royalty questions can also center on copyright licensing (who owns/controls works and performance rights); listed second because the request doesn’t specify a registration or infringement issue."", ""confidence"": ""medium""}]","[{""category"": ""Intellectual Property"", ""subcategory"": ""Entertainment"", ""justification"": ""The user is part of a performing group and has questions about royalties, which relates to the protection and monetization of creative works."", ""confidence"": ""high""}, {""category"": ""Business & Corporate"", ""subcategory"": ""Non-Profit"", ""justification"": ""The performing group is structured as a non-profit, which could influence how their legal and financial matters are handled."", ""confidence"": ""medium""}]","[{""category"": ""Intellectual Property"", ""subcategory"": ""Trademark/Copyright"", ""justification"": ""Non-profit performing group has royalty questions, which typically involve copyright licensing and intellectual property rights for performances."", ""confidence"": ""high""}]"
