run,scenario_id,boundary_id,direction,flip_type,mechanism,safety_sensitive,opening_query,hidden_fact,expected_initial_label,expected_final_label,initial_labels,initial_category_present,initial_exact_present,plausible_initial_present,follow_up_question_count,follow_up_questions,question_matched,matched_question,final_labels,final_category_present,final_exact_present,expected_final_category_present_initially,expected_final_exact_present_initially,expected_final_category_added,expected_final_exact_added,expected_final_exact_lost,provider_error,latency_ms
variability_b2_20260719T071320Z,v2_business_entity_specifics_10,business_entity_specifics,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,false,A guy is making money off videos of my performances without any agreement with me.,"He's my former manager — there WAS a contract, and the fight is whether his expired management deal still gives him video rights. It's a contract fight, not raw infringement.",Intellectual Property > Entertainment,Business and Corporate > Entertainment,Intellectual Property > Trademark/Copyright || Intellectual Property > Entertainment || Business and Corporate > Entertainment,True,True,True,3,"Who recorded the videos, and who has the original video files? || In the performances, are you performing your own original material, or someone else’s work? || Are they using your name, face, or stage name (the name you perform under) to promote or sell the videos?",False,,,,,True,True,False,False,False,,27365
variability_b2_20260719T071320Z,v2_business_entity_specifics_24,business_entity_specifics,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,false,Our family restaurant got a violation notice that could close us and we don't understand our options.,It's the county health department over our outdoor kitchen setup — no liquor issue at all; it's a local administrative appeal.,Business and Corporate > Restaurants/OLCC,Administrative Law > General (Local/Municipal),Business and Corporate > Restaurants/OLCC || Administrative Law > General (Local/Municipal) || Administrative Law > General (State),True,True,True,3,"Who sent the violation notice? || What kind of violation notice did your restaurant receive? For example, was it related to health and safety, licensing, or something else? || Is the violation notice from a local government agency?",True,Who sent the violation notice?,,,,True,True,False,False,False,,27875
variability_b2_20260719T071320Z,v2_business_entity_specifics_44,business_entity_specifics,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,false,The city is making it impossible to run our food-truck commissary and we suspect favoritism.,They rezoned our block industrial-exclusive last month with no notice to us — challenging the rezoning process and grandfathering our use is the case.,Administrative Law > General (Local/Municipal),Real Property > Land Use/Zoning,Administrative Law > General (Local/Municipal) || Real Property > Land Use/Zoning || General Litigation > Civil Rights,True,True,True,3,What is the main problem the city is causing for your food truck business? || Do you believe the city is treating your business differently than other food trucks? || In which state or court is this happening?,True,What is the main problem the city is causing for your food truck business?,"Real Property > Land Use/Zoning || Administrative Law > General (Local/Municipal) || Business and Corporate > General (contracts, entities)",True,True,True,True,False,False,False,,33773
variability_b2_20260719T071320Z,v2_business_entity_specifics_46,business_entity_specifics,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,false,Our 501(c)(3) board discovered our treasurer has been 'borrowing' from the operating account.,"It's $240,000 over four years with forged countersignatures — the board's duty now includes referral to prosecutors and our D&O carrier, not just governance cleanup.",Business and Corporate > Non-Profit,Criminal Law > White Collar Crime,Business and Corporate > Non-Profit || Criminal Law > White Collar Crime || Business and Corporate > Litigation,True,True,True,3,What do you want help with most right now? || Is the treasurer still serving on the board or handling any of the nonprofit’s money? || Do you want to remove the treasurer from the board or from the treasurer role?,True,What do you want help with most right now?,Business and Corporate > Non-Profit || Criminal Law > White Collar Crime || Business and Corporate > Litigation,True,True,True,True,False,False,False,,37980
variability_b2_20260719T071320Z,v2_capacity_and_protection_01,capacity_and_protection,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,I need to take over my father's finances before he loses everything. Where do I start?,"His dementia is advanced — his doctor says he no longer understands documents, so he can't sign anything voluntarily.",Wills & Trusts > Power of Attorney,Wills & Trusts > Conservatorship/Guardianship,Wills & Trusts > Power of Attorney || Wills & Trusts > Conservatorship/Guardianship || Wills & Trusts > Elder Abuse,True,True,True,3,"Can your dad still understand money and legal papers and make his own choices right now? || Is anyone already allowed to handle his money, like through a power of attorney (a signed paper that lets someone manage finances) or a court guardianship/conservatorship (a court case where a judge picks someone to manage a person’s money or decisions)? || Do you think someone is taking his money, scamming him, or pressuring him to give money away (financial abuse)?",True,Can your dad still understand money and legal papers and make his own choices right now?,,,,True,True,False,False,False,,28527
variability_b2_20260719T071320Z,v2_capacity_and_protection_07,capacity_and_protection,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,I'm my dad's power of attorney and his care facility is questioning what I'm allowed to do.,"The POA only covers finances — the facility needs medical decisions made and dad can no longer consent, so I'm told I need guardianship for healthcare.",Wills & Trusts > Power of Attorney,Wills & Trusts > Conservatorship/Guardianship,Wills & Trusts > Power of Attorney || Wills & Trusts > Long-term Care Issues || General Litigation > Health Law/HIPAA,True,True,True,3,What kind of power of attorney do you have for your dad? || Is the facility refusing to follow your decisions or blocking your access to your dad’s info/care? || Has any court appointed a guardian or conservator (a person who makes decisions for your dad) besides you?,True,What kind of power of attorney do you have for your dad?,Wills & Trusts > Conservatorship/Guardianship || Wills & Trusts > Power of Attorney,True,True,True,False,False,True,False,,29569
variability_b2_20260719T071320Z,v2_capacity_and_protection_26,capacity_and_protection,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,We need a guardianship for my mother-in-law before she signs anything else her nephew puts in front of her.,"It's past prevention — he already had her deed him the rental duplex and add him to two accounts; clawing those back is the case, with any guardianship second.",Wills & Trusts > Conservatorship/Guardianship,Wills & Trusts > Elder Abuse,Wills & Trusts > Conservatorship/Guardianship || Wills & Trusts > Elder Abuse || Family Law > Other,True,True,True,2,"Are you looking to get authority to make personal/medical decisions, manage her money, or both? || Do you need an emergency/temporary court order to stop the nephew from having her sign more papers?",True,Do you need an emergency/temporary court order to stop the nephew from having her sign more papers?,Wills & Trusts > Conservatorship/Guardianship || Wills & Trusts > Elder Abuse || Wills & Trusts > Litigation,True,True,True,True,False,False,False,,38409
variability_b2_20260719T071320Z,v2_capacity_and_protection_42,capacity_and_protection,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The hospital won't release my brother to my care even though I'm all the family he has.,"He's on an involuntary psychiatric hold — the county filed for commitment and the hearing is Thursday; that proceeding, not guardianship, decides everything right now.",Wills & Trusts > Conservatorship/Guardianship,Criminal Law > Mental Commitment,Wills & Trusts > Conservatorship/Guardianship || General Litigation > Health Law/HIPAA || Family Law > Guardianship,True,True,True,3,Is your brother 18 or older? || Do you have any legal papers that let you make medical decisions for your brother (like medical power of attorney or a court-appointed guardian (someone a judge names to make decisions))? || What is the main reason the hospital gave for not letting you take him home?,True,What is the main reason the hospital gave for not letting you take him home?,Wills & Trusts > Conservatorship/Guardianship || Criminal Law > Mental Commitment || Family Law > Guardianship,True,True,False,False,True,True,False,,25386
variability_b2_20260719T071320Z,v2_capacity_and_protection_43,capacity_and_protection,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,Mom's caregiver quit suddenly and we found months of unopened mail including scary bank letters.,The scariest letter is a notice of trustee sale — her reverse mortgage defaulted on taxes and insurance while the mail piled up; the sale is in five weeks.,Wills & Trusts > Elder Abuse,Real Property > Foreclosure,Wills & Trusts > Elder Abuse || Wills & Trusts > Conservatorship/Guardianship || General Litigation > General Torts/Privacy,True,True,True,3,"What do you most need help with right now? || Can your mom still understand what’s going on and make her own choices well enough to sign legal papers? || Are you worried there may be missing money, unpaid bills, or unusual activity in your mom’s bank accounts?",True,What do you most need help with right now?,,,,False,False,False,False,False,,58826
variability_b2_20260719T071320Z,v2_capacity_and_protection_45,capacity_and_protection,BtoA,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The bank froze Dad's accounts because two different relatives showed up with 'authority' documents.,Both documents are POAs Dad signed at different times — he's competent and mortified; revoking both and executing one clean POA solves it without any court.,Wills & Trusts > Conservatorship/Guardianship,Wills & Trusts > Power of Attorney,Wills & Trusts > Power of Attorney || Wills & Trusts > Conservatorship/Guardianship || Debtor/Creditor > General (Creditor),True,True,True,3,What kind of “authority” papers did the relatives show the bank? || Is your dad still able to understand and make his own money decisions? || Who should be in charge of your dad’s bank accounts right now?,True,What kind of “authority” papers did the relatives show the bank?,Wills & Trusts > Power of Attorney || General Litigation > General Litigation,True,True,True,True,False,False,False,,60521
variability_b2_20260719T071320Z,v2_charge_severity_01,charge_severity,AtoB,routing_disambiguation,M4_competing_framings_of_one_dispute,false,I got arrested after a fight outside a bar that I didn't start. I need a criminal defense lawyer.,"The paperwork says Assault III because the other guy's jaw was broken, and they told me that's a felony.",Criminal Law > Misdemeanor,Criminal Law > Lesser Felony,Criminal Law > Misdemeanor || Criminal Law > Lesser Felony || Criminal Law > Other,True,True,True,2,Do you know what you were charged with? || Were you charged with a misdemeanor or a felony?,True,Were you charged with a misdemeanor or a felony?,Criminal Law > Major Felony,True,False,True,True,False,False,True,,52124
variability_b2_20260719T071320Z,v2_charge_severity_02,charge_severity,BtoA,routing_disambiguation,M4_competing_framings_of_one_dispute,false,The police charged me with assault after an argument with my brother-in-law got physical. I'm terrified.,"The complaint says Assault IV, a Class A misdemeanor; nobody was seriously hurt.",Criminal Law > Lesser Felony,Criminal Law > Misdemeanor,,False,False,False,1,All classifier providers failed to return a response or no labels/questions were found.,False,,,,,False,False,False,False,False,,41557
variability_b2_20260719T071320Z,v2_charge_severity_17,charge_severity,BtoA,routing_disambiguation,M4_competing_framings_of_one_dispute,false,I was charged over an incident at work where money went missing from the till.,The charge is misdemeanor Theft III; the till was short $95.,Criminal Law > Lesser Felony,Criminal Law > Misdemeanor,Criminal Law > Misdemeanor || Criminal Law > Lesser Felony || Business and Corporate > Litigation,True,True,True,3,"For the missing cash register (“till”) money, what level is the criminal charge? || Besides the criminal charge, is there also a problem with your job (like being fired, suspended, or written up)? || Were you fired from your job because of this?",True,"For the missing cash register (“till”) money, what level is the criminal charge?",Criminal Law > Misdemeanor,True,True,True,True,False,False,False,,43270
variability_b2_20260719T071320Z,v2_charge_severity_22,charge_severity,BtoA,routing_disambiguation,M4_competing_framings_of_one_dispute,false,I'm charged over a fight at my kid's hockey game that the other guy started on video.,"The complaint charges Harassment and Disorderly Conduct II — both misdemeanors, no injury alleged.",Criminal Law > Lesser Felony,Criminal Law > Misdemeanor,Criminal Law > Misdemeanor || General Litigation > Crime Victims || Criminal Law > Lesser Felony,True,True,True,3,"Are you the person being charged, or are you asking for help for someone who was hurt by a crime? || Do you know if the charge is a misdemeanor (less serious) or a felony (more serious)? || Did the police arrest you, or did they just give you a ticket or court summons (paper telling you to go to court)?",True,Do you know if the charge is a misdemeanor (less serious) or a felony (more serious)?,,,,True,True,False,False,False,,38800
variability_b2_20260719T071320Z,v2_charge_severity_24,charge_severity,AtoB,routing_disambiguation,M4_competing_framings_of_one_dispute,false,I got charged after defending myself outside my apartment when a drunk guy came at me.,"Because I had my pocketknife out, they filed Unlawful Use of a Weapon — a felony — on top of the assault count.",Criminal Law > Misdemeanor,Criminal Law > Lesser Felony,Criminal Law > Misdemeanor || Criminal Law > Lesser Felony || General Litigation > Crime Victims,True,True,True,3,"Do your papers say the charge is a misdemeanor or a felony? || Were you charged with a crime, or did you press charges against the other person? || What kind of crime were you charged with?",True,What kind of crime were you charged with?,Criminal Law > Major Felony || Criminal Law > Lesser Felony || Criminal Law > Misdemeanor,True,True,True,True,False,False,False,,39986
variability_b2_20260719T071320Z,v2_charge_severity_27,charge_severity,AtoB,routing_disambiguation,M4_competing_framings_of_one_dispute,false,I'm being prosecuted over money from my grandmother's accounts that I was helping her manage.,"The indictment charges first-degree Criminal Mistreatment and Aggravated Theft — they total it at $180,000 over four years.",Criminal Law > Misdemeanor,Criminal Law > Major Felony,Wills & Trusts > Litigation || Criminal Law > White Collar Crime || Wills & Trusts > Probate,True,False,False,2,What are the charges called in your case? || Did you have legal guardianship (legal right to make decisions for someone) over your grandmother?,True,What are the charges called in your case?,Criminal Law > Major Felony || Criminal Law > White Collar Crime || General Litigation > Crime Victims,True,True,True,False,False,True,False,,37496
variability_b2_20260719T071320Z,v2_charge_severity_43,charge_severity,AtoB,routing_disambiguation,M4_competing_framings_of_one_dispute,false,My college son and his roommates are all charged over things found in their shared apartment.,The indictment charges possession with intent to distribute — scales and baggies in the common area made everyone a 'dealer' in the state's eyes.,Criminal Law > Misdemeanor,Criminal Law > Major Felony,Criminal Law > Major Felony || Criminal Law > Misdemeanor || Criminal Law > Lesser Felony,True,True,True,2,Do you know if your son’s charge is a misdemeanor (less serious) or a felony (more serious)? || What did the police say they found in the apartment?,True,What did the police say they found in the apartment?,,,,True,True,False,False,False,,23924
variability_b2_20260719T071320Z,v2_charge_severity_44,charge_severity,AtoB,routing_disambiguation,M4_competing_framings_of_one_dispute,false,The school called the police about my son's backpack and now we're in the system.,He's 17 and the DA filed a gun charge that automatically waives to adult court under our statute.,Criminal Law > Juvenile Offender,Criminal Law > Major Felony,Criminal Law > Juvenile Offender || Administrative Law > Schools — Special Needs Education || Administrative Law > Student Rights,True,True,True,3,"After the school called the police, what happened next? || What did the school or police say was in the backpack, and did they actually find it? || Does your child get special education services, like an IEP (school plan for special education) or a 504 plan (school accommodations plan)?",True,"After the school called the police, what happened next?",Criminal Law > Juvenile Offender || Criminal Law > Major Felony,True,True,True,False,False,True,False,,64194
variability_b2_20260719T071320Z,v2_charge_severity_61,charge_severity,AtoB,routing_disambiguation,M4_competing_framings_of_one_dispute,false,Airport security found something in my carry-on that I completely forgot was in there.,"It was my pistol — I have a permit at home, but 'firearm at a security checkpoint' is charged as a felony here plus the federal civil penalty.",Criminal Law > Misdemeanor,Criminal Law > Lesser Felony,General Litigation > Aviation || Criminal Law > Other || Administrative Law > Transportation,True,False,False,3,What did they find in your bag? || What happened next? || Was this in the United States?,True,What did they find in your bag?,Criminal Law > Major Felony || Administrative Law > General (Federal) || Criminal Law > Gun Rights,True,False,True,False,False,False,False,,30738
variability_b2_20260719T071320Z,v2_consumer_service_route_04,consumer_service_route,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,false,We paid a company thousands to get us out of our timeshare and they did absolutely nothing.,"Beyond the exit-company scam, the timeshare itself keeps assessing us — we're deeded owners of a fractional real-estate interest and need the ownership itself unwound.",Consumer Law > General,Real Property > Other,Consumer Law > General || Consumer Law > Small Claims Advice || Consumer Law > Other,True,True,True,3,"About how much money are you out? This helps figure out if small claims court fits. || Did the company promise to do specific things to get you out of the timeshare, like cancel a contract or negotiate with the timeshare company? || Did you sign a contract with the company?",False,,,,,False,False,False,False,False,,18987
variability_b2_20260719T071320Z,v2_consumer_service_route_07,consumer_service_route,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,false,The moving and storage company is holding our household goods hostage for charges we never agreed to.,"It was an interstate move — the mover is a federally regulated carrier, and the weight-based charges violate the tariff rules their federal registration requires.",Consumer Law > Storage Units,Administrative Law > Transportation,Consumer Law > Storage Units || Administrative Law > Transportation || Consumer Law > Other,True,True,True,3,"Was your move local within the same state, or across state lines? || Do you have a written contract or estimate that shows the agreed price? || Are you trying to get your belongings back from a storage unit, or from a moving company that was transporting them?",True,"Was your move local within the same state, or across state lines?",Consumer Law > General || Consumer Law > Automobiles/RV's/Mobile Homes || Administrative Law > Transportation,True,True,True,True,False,False,False,,44471
variability_b2_20260719T071320Z,v2_consumer_service_route_08,consumer_service_route,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,false,An online seller took my money for equipment that never arrived and now the website is gone.,"It wasn't a store — it was an individual on a marketplace app selling his used camera gear; $2,300 by payment app, person to person.",Consumer Law > General,Consumer Law > Problems Between Consumers,Consumer Law > General || Consumer Law > Small Claims Advice || Consumer Law > Other,True,True,True,3,How did you pay the seller? || About how much money did you pay? || What kind of equipment did you buy?,True,About how much money did you pay?,,,,True,False,False,False,False,,44681
variability_b2_20260719T071320Z,v2_consumer_service_route_22,consumer_service_route,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,true,The cremation company handled my mother's remains so carelessly that our family is traumatized.,It's beyond bad service — they gave us the wrong person's ashes and can't locate Mom's; the claim is the mishandling-of-remains tort with real emotional-distress damages.,Consumer Law > General,General Litigation > General Torts/Privacy,General Litigation > General Torts/Privacy || General Litigation > Wrongful Death || General Litigation > Personal Injury,False,False,True,2,"Did the cremation company lose or damage the remains, or was the handling otherwise disrespectful? || Did your mother die because of the cremation company's carelessness?",True,"Did the cremation company lose or damage the remains, or was the handling otherwise disrespectful?",General Litigation > General Torts/Privacy || General Litigation > Wrongful Death || General Litigation > Personal Injury,True,True,True,True,False,False,False,,39038
variability_b2_20260719T071320Z,v2_consumer_service_route_24,consumer_service_route,AtoB,routing_disambiguation,M2_specific_vs_general_fallback,false,My storage facility 'lost' my unit's contents while I was deployed overseas.,"They auctioned it during my deployment despite my SCRA notice on file — servicemember protections prohibit exactly that, and JAG says it's an SCRA enforcement case.",Consumer Law > Storage Units,Administrative Law > Military/Veterans,Consumer Law > Storage Units || General Litigation > Property Damage || Military > Other,True,True,True,3,Do you know what the storage place says happened to your stuff? || Did you tell the storage company you were on active duty or deployed? || Did you have insurance for the items (through the storage company or your own renter’s/home policy)?,True,Do you know what the storage place says happened to your stuff?,Consumer Law > Storage Units || Administrative Law > Military/Veterans || General Litigation > Services for Plaintiffs and Defendants,True,True,False,False,True,True,False,,37889
variability_b2_20260719T071320Z,v2_creditor_judgment_bankruptcy_02,creditor_judgment_bankruptcy,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,I have a judgment from small claims court but still haven't seen a dime. What's next?,He just filed Chapter 7 bankruptcy and I got a notice saying all collection has to stop.,Debtor/Creditor > Judgment Collection,Bankruptcy > Creditors,Debtor/Creditor > Judgment Collection || General Litigation > General Litigation || Consumer Law > Problems Between Consumers,True,True,True,0,,False,,,,,False,False,False,False,False,,4986
variability_b2_20260719T071320Z,v2_creditor_judgment_bankruptcy_22,creditor_judgment_bankruptcy,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,The company that owes my consulting invoice keeps promising 'next quarter' while I fall behind on my own bills.,"Their 'next quarter' became a Chapter 11 filing yesterday — I'm unsecured for $28,000 and there's a claims-bar date coming.",Debtor/Creditor > General (Creditor),Bankruptcy > Creditors,"Debtor/Creditor > General (Creditor) || Business and Corporate > General (contracts, entities) || Business and Corporate > Litigation",True,True,True,3,"Do you already have a court judgment (a court decision saying they legally owe you money) for this unpaid invoice? || Has the company filed for bankruptcy (a court process where they say they can’t pay debts), or told you they plan to? || Do you have something in writing showing the deal, like a contract or a purchase order (a written order agreeing to the work and price)?",True,"Has the company filed for bankruptcy (a court process where they say they can’t pay debts), or told you they plan to?","Bankruptcy > Creditors || Business and Corporate > General (contracts, entities) || Debtor/Creditor > General (Creditor)",True,True,False,False,True,True,False,,39689
variability_b2_20260719T071320Z,v2_creditor_judgment_bankruptcy_24,creditor_judgment_bankruptcy,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,Our HOA can't collect dues from one owner and it's forcing the rest of us to cover the gap.,"He filed Chapter 13 — the board got the notice, and our lien and the arrears are now tangled in his plan; the association needs bankruptcy counsel.",Real Property > Homeowners Assoc,Bankruptcy > Creditors,Real Property > Homeowners Assoc || Real Property > General (residential),True,True,True,3,Which best describes you in this situation? || Is the owner who isn't paying in bankruptcy? || Is the owner who isn't paying trying to sell their home?,True,Is the owner who isn't paying in bankruptcy?,,,,False,False,False,False,False,,33054
variability_b2_20260719T071320Z,v2_creditor_judgment_bankruptcy_26,creditor_judgment_bankruptcy,AtoB,routing_disambiguation,M3_missing_procedural_or_institutional_fact,false,We won at trial against our old contractor but he transferred everything to his wife's name.,"The transfers happened the week after the verdict — our lawyer says that's a fraudulent-conveyance lawsuit against both of them, a new case, not just collection paperwork.",Debtor/Creditor > Judgment Collection,General Litigation > General Litigation,Debtor/Creditor > Judgment Collection || General Litigation > General Litigation || Business and Corporate > Litigation,True,True,True,3,"Did the court order the contractor to pay you money (a judgment)? || After you won, did the contractor move property or money into his wife’s name to try to avoid paying you? || What kind of property did he move into his wife’s name?",False,,,,,True,True,False,False,False,,31609
