canonical_source_row,source_row_aliases,problem_description,human_jaccard,human_label_f1,jackie_labels,qs_labels,gpt52_labels,gemini31_pro_labels,deepseek_v4_labels,five_rater_votes
232,232,Custody battle regarding my 4 nieces who I adopted after I also let my ex partner sign the adoption paperwork. My girls are refusing to see her and are being forced. There is a current case number. There are past domestic abuse charges on my ex for her abusing me twice and the abuse continues.,0.3333333333333333,0.5,Family Law > Adoption/DHS || Family Law > Child Custody/Visitation,Family Law > Child Custody/Visitation || Family Law > Restraining Orders,Family Law > Child Custody/Visitation || Family Law > Restraining Orders,Family Law > Child Custody/Visitation,Family Law > Child Custody/Visitation || Family Law > Restraining Orders,Family Law > Child Custody/Visitation [5/5] || Family Law > Restraining Orders [3/5] || Family Law > Adoption/DHS [1/5]
252,252,"I need help in processing a divorce or an annulment. My husband and I got married 5/29/2023, in California. I have been living in Portland, since 12/22/2023. He enlisted in the Navy and was in training for several months, in Boston. He says he is in California, now, but I’m not sure if he’s telling the truth. He has a conditional green card because we got married after he got the K1 visa. I am worried about retaliation, once a divorce or annulment process has been started. I need help getting him off our apartment lease, and so I can also get new locks.",0.3333333333333333,0.5,Family Law > General (Divorce/Separation) || Family Law > Military,Family Law > General (Divorce/Separation) || Real Property > Tenant (Residential),Family Law > General (Divorce/Separation) || Family Law > Military || International Law > Gen. Immigration/Visas,Family Law > General (Divorce/Separation) || Family Law > Military,Family Law > General (Divorce/Separation) || Family Law > Military,Family Law > General (Divorce/Separation) [5/5] || Family Law > Military [4/5] || International Law > Gen. Immigration/Visas [1/5] || Real Property > Tenant (Residential) [1/5]
255,255,I recently got out of prison January 3rd due to Watkins v Ackley being retroactive. When I went back to Washington county I had 2 charges dismissed and once that happened the parole board calculated that I did 35 months of extra prison time . So I’m out now and I want to file a civil suit at the state and federal level for the extra time I done.,0.3333333333333333,0.5,General Litigation > General Litigation,General Litigation > Civil Matter for Inmates || General Litigation > Civil Rights || General Litigation > General Litigation,General Litigation > Civil Rights || General Litigation > Tort Claims Act,General Litigation > Tort Claims Act,General Litigation > Civil Rights,General Litigation > Civil Rights [3/5] || General Litigation > Tort Claims Act [2/5] || General Litigation > General Litigation [2/5] || General Litigation > Civil Matter for Inmates [1/5]
279,279,Need Civil law attorney to make a tort report claim and lawsuit for unlawful arrested detention on North Bend Police Department when they beat me up,0.3333333333333333,0.5,General Litigation > Tort Claims Act,General Litigation > Actions Against Police || General Litigation > Civil Rights || General Litigation > Tort Claims Act,General Litigation > Actions Against Police || General Litigation > Tort Claims Act,General Litigation > Actions Against Police || General Litigation > Tort Claims Act,General Litigation > Actions Against Police,General Litigation > Tort Claims Act [4/5] || General Litigation > Actions Against Police [4/5] || General Litigation > Civil Rights [1/5]
341,341,"Currently out in short term disability. Exhausted FMLA, due to emergency medical under doctor care. In pending process through corporate be approved for non FMLA medical leave. Have stellar reputation and never abused pto never had disability until this emergency. At local level not corporate Work is terminating me today saying since I have no more FMLA and no accommodations available. Received letter from local HR stating I either need to return to work, adaaa accommodation which said nothing available or resign. Saying I am voluntarily quitting which I am not, due to not returning and I have to clean out my office.",0.3333333333333333,0.5,Labor & Employment > ADA (Disability) Act Issues || Labor & Employment > Other,Labor & Employment > ADA (Disability) Act Issues || Labor & Employment > FMLA,Labor & Employment > ADA (Disability) Act Issues || Labor & Employment > FMLA || Labor & Employment > Wrongful Discharge,Labor & Employment > ADA (Disability) Act Issues || Labor & Employment > FMLA,Labor & Employment > ADA (Disability) Act Issues || Labor & Employment > FMLA,Labor & Employment > ADA (Disability) Act Issues [5/5] || Labor & Employment > FMLA [4/5] || Labor & Employment > Wrongful Discharge [1/5] || Labor & Employment > Other [1/5]
428,428,My lawyer Galen Vossick looks identical to accused pederast biology teacher milo quenderson of veneta high school. I was raped at age three and covered up. I don't find the joke funny. I have a flyer that compares the two men. many of my friends agree the resemblance is uncanny. I stopped going to court because of this and ended up in the mental hospital. I am looking for a malpractice lawyer. please ask to see my flyer..,0.3333333333333333,0.5,General Litigation > Child Abuse Victims || General Litigation > General Litigation,General Litigation > Child Abuse Victims || General Litigation > Malpractice-Legal,General Litigation > Child Abuse Victims || General Litigation > Libel/Slander/Defamation || General Litigation > Malpractice-Legal,General Litigation > Child Abuse Victims || General Litigation > Malpractice-Legal,General Litigation > Malpractice-Legal,General Litigation > Child Abuse Victims [4/5] || General Litigation > Malpractice-Legal [4/5] || General Litigation > Libel/Slander/Defamation [1/5] || General Litigation > General Litigation [1/5]
28,28;349,I was injured at work on 6/25/23. Was on worker’s compensation for about 6 months. Broke my hip and l4 & l5 on a slip and fall at Hawthorn Market’s distribution center while working in the freezer. Wondering what my options are for my personal injury.,0.5,0.6666666666666666,Workers' Comp > State,Workers' Comp > State || Workers' Comp > Third Party litigation,Workers' Comp > State || Workers' Comp > Third Party litigation,General Litigation > Personal Injury || Workers' Comp > Third Party litigation,General Litigation > Personal Injury || Workers' Comp > State,Workers' Comp > State [4/5] || Workers' Comp > Third Party litigation [3/5] || General Litigation > Personal Injury [2/5]
29,29;368,"I have a signed contract with a roofing company to replace my roof, they did not do the roof, but they took $13,000 from me, and have now closed their business. I would like to file something to get my money back, I thought this was a small claims issue, but then I saw the maximum for small claims is $10,000. So, I need an attorney to help me get my money back, I'm not sure what type, maybe a breach of contract lawyer, but again, I do not know. I look forward to speaking with someone. Thank you!",0.5,0.6666666666666666,General Litigation > General Litigation || Real Property > Construction/Contractors,Real Property > Construction/Contractors,Business & Corporate > Litigation || Real Property > Construction/Contractors,Real Property > Construction/Contractors,Consumer Law > General || Real Property > Construction/Contractors,Real Property > Construction/Contractors [5/5] || Business & Corporate > Litigation [1/5] || Consumer Law > General [1/5] || General Litigation > General Litigation [1/5]
41,41,Need advising on Oregon whistleblower protections. I have observed what I think are violations of the ADA in my role at Ashford Memorial Hospital,0.5,0.6666666666666666,Labor & Employment > ADA (Disability) Act Issues,Labor & Employment > ADA (Disability) Act Issues || Labor & Employment > Whistleblowers,Labor & Employment > ADA (Disability) Act Issues || Labor & Employment > Whistleblowers,Labor & Employment > Whistleblowers,Labor & Employment > ADA (Disability) Act Issues || Labor & Employment > Whistleblowers,Labor & Employment > Whistleblowers [4/5] || Labor & Employment > ADA (Disability) Act Issues [4/5]
43,43;370,1) Real Estate we recently purchased a home and we're lied to about what was included. 2) We need help figuring out our water rights on the property we purchase we were told 2 people have a easement to a water pipe going through the property however we were never shown an easement and we have k lines attached to this pipe.,0.5,0.6666666666666666,Real Property > General (residential) || Real Property > Water Law,Real Property > General (residential),Real Property > General (residential) || Real Property > Other || Real Property > Water Law,Real Property > General (residential) || Real Property > Other || Real Property > Water Law,Real Property > General (residential) || Real Property > Water Law,Real Property > General (residential) [5/5] || Real Property > Water Law [4/5] || Real Property > Other [2/5]
56,56;407,I need to find someone to help with a guardianship/conservatorship/elder law. I am a POA for my aging father and I am trying to understand what I can/cannot do in order to help him with his finances so he doesn't become homeless. He needs help but I need to find someone to work with to complete this process in the right and orderly way.,0.5,0.6666666666666666,Wills & Trusts > Conservatorship/Guardianship,Wills & Trusts > Conservatorship/Guardianship || Wills & Trusts > Power of Attorney,Wills & Trusts > Conservatorship/Guardianship || Wills & Trusts > Power of Attorney,Wills & Trusts > Conservatorship/Guardianship || Wills & Trusts > Power of Attorney,Wills & Trusts > Conservatorship/Guardianship,Wills & Trusts > Conservatorship/Guardianship [5/5] || Wills & Trusts > Power of Attorney [3/5]
59,59,"Small claims Question: I've contracted with a small General Contractor for a home renovation. The work has generally been good and is 98% complete. However a $5K carpet install performed by a subcontractor did not go well (poor job, visible seams, confirmed botched by other carpet co.) and needs to be replaced. The contactor and I are at odds about who should be responsible, and I'm unsure if I can withhold payment, risk a lien or who I should file a claim against if need be.",0.5,0.6666666666666666,Consumer Law > Small Claims Advice || Real Property > Construction/Contractors,Real Property > Construction/Contractors,Consumer Law > Small Claims Advice || Real Property > Construction/Contractors,Consumer Law > Small Claims Advice || Real Property > Construction/Contractors,Consumer Law > Small Claims Advice || Real Property > Construction/Contractors,Real Property > Construction/Contractors [5/5] || Consumer Law > Small Claims Advice [4/5]
62,62,"Neighbor's dog bit me on my left for arm in November 2023. It's left me unable to work for 2 months and another 7 months at roughly half time. I still have nerve damage on my left hand palm and two fingers on my left had with burning, tingling and weakness.",0.5,0.6666666666666666,General Litigation > Personal Injury,General Litigation > Animal Law || General Litigation > Personal Injury,General Litigation > Animal Law || General Litigation > Personal Injury,General Litigation > Animal Law || General Litigation > Personal Injury,General Litigation > Personal Injury,General Litigation > Personal Injury [5/5] || General Litigation > Animal Law [3/5]
67,67;175,In the middle of a divorce. Wife on Thursday filed Assault IV charges. Warrant was issued on Friday and I was arrested Friday night. I have been in Hamilton County Jail since then. My arraignment is today (Monday) at 230. I have a divorce attorney. I need a criminal attorney.,0.5,0.6666666666666666,Criminal Law > Misdemeanor || Family Law > General (Divorce/Separation),Criminal Law > Misdemeanor,Criminal Law > Misdemeanor,Criminal Law > Misdemeanor || Family Law > Restraining Orders,Criminal Law > Misdemeanor,Criminal Law > Misdemeanor [5/5] || Family Law > Restraining Orders [1/5] || Family Law > General (Divorce/Separation) [1/5]
83,83,"I am in need of an attorney that can assist with navigating a possible civil suit. I have had my professional license revoked. I’ve reached out to Oregon’s legislative body who was able to make some movement. While they are still assisting me in this endeavor, they have recommended I seek legal counsel out of suspicion of discrimination and violation of my rights. Their biases are embedded in the revocation of my license and a public record that has prevented me from being employed. In addition, I spoke with a staff member from legal aid who said I need an attorney that specializes in this area. I am hoping there is someone who can represent me that has a great deal of experience in this area.",0.5,0.6666666666666666,Administrative Law > Professional Licensing || General Litigation > Civil Rights,Administrative Law > Professional Licensing,Administrative Law > Professional Licensing || General Litigation > Civil Rights,Administrative Law > Professional Licensing || General Litigation > Civil Rights,Administrative Law > Professional Licensing || General Litigation > Civil Rights,Administrative Law > Professional Licensing [5/5] || General Litigation > Civil Rights [4/5]
126,126,I belong to a non-profit performing group. We are looking for a free consultation initially to help with royalty questions. Thank you,0.5,0.6666666666666666,Intellectual Property > Trademark/Copyright,Intellectual Property > Entertainment || Intellectual Property > Trademark/Copyright,Business & Corporate > Entertainment || Intellectual Property > Trademark/Copyright,Business & Corporate > Non-Profit || Intellectual Property > Entertainment,Intellectual Property > Trademark/Copyright,Intellectual Property > Trademark/Copyright [4/5] || Intellectual Property > Entertainment [2/5] || Business & Corporate > Entertainment [1/5] || Business & Corporate > Non-Profit [1/5]
136,136,We are in need of a securities lawyer to help with recovering taxes from a churning situation involving our parent's financial advisor/fiduciary.,0.5,0.6666666666666666,General Litigation > General Litigation,Business & Corporate > Other || General Litigation > General Litigation,Business & Corporate > Securities || General Litigation > General Litigation,General Litigation > General Litigation || Wills & Trusts > Elder Abuse,Business & Corporate > Securities,General Litigation > General Litigation [4/5] || Business & Corporate > Securities [2/5] || Wills & Trusts > Elder Abuse [1/5] || Business & Corporate > Other [1/5]
145,145,"I have a timeshare that I cannot use anymore. I paid a company a lot of money last year, but they did nothing. I would like to talk to a lawyer about how to get out of the timeshare without paying anyone, or getting into financial trouble",0.5,0.6666666666666666,Consumer Law > General || Real Property > Other,Consumer Law > General,Consumer Law > General,Consumer Law > General || Real Property > General (residential),Consumer Law > General,Consumer Law > General [5/5] || Real Property > General (residential) [1/5] || Real Property > Other [1/5]
152,152,Auto shop negligence on a transmission repair causing danger to me and my children and damaging my vehicle. Looking to open a lawsuit.,0.5,0.6666666666666666,General Litigation > Property Damage,Consumer Law > General || General Litigation > Property Damage,Consumer Law > General || General Litigation > Property Damage,Consumer Law > General || General Litigation > Property Damage,Consumer Law > General,General Litigation > Property Damage [4/5] || Consumer Law > General [4/5]
156,156,"I have a contract that a car dealer.. Bought a new car (2019 Ford Edge ST) from Marlowe Ford Apr 2020. Car cost me $805 per month. 1 1/2 years payment caused financil problems. Went to same dealer,asked what can they.do. loan was 7.99%. Marlowe said buy the same car (2019 Ford Edge ST). They could trade same car (had 2x the mileage, later i found it had bad tires). Over 4 hours at dealer finally completed the deal. Contract was predatory. Gave me $36,000 for my car I owned that much.. They set precedent in Jan 2022 2019 Ford Edge ST ws worth $36,000. Then turned around and sold me a 2019 Ford Edge ST for $46,000 plus $4,000 of fees (Total was $49,000+). Now I am unable to pay the $660 per month. It has also trashed my credit. I can't sell car as owe $37K ans car worth $24K.",0.5,0.6666666666666666,Consumer Law > Automobiles/RVs/Mobile Homes || Consumer Law > Banking,Consumer Law > Automobiles/RVs/Mobile Homes,Consumer Law > Automobiles/RVs/Mobile Homes || Consumer Law > Banking,Consumer Law > Automobiles/RVs/Mobile Homes,Consumer Law > Automobiles/RVs/Mobile Homes,Consumer Law > Automobiles/RVs/Mobile Homes [5/5] || Consumer Law > Banking [2/5]
157,157,"I sold my RV and did a written contract stating that this person would buy it and pay $1000 a month. They made one payment and took off with my RV. It has been a year and a half and I’ve been trying to figure this out I know they’re back in Oregon so I’m trying to solve this issue as quickly as possible. They owe me $14,000 or my RV back. I have tried to contact him in the past and they refused to have any contact or to resolve this issue. I would really like to talk to an attorney and start the process for civil court case. I need a consultation with an attorney and I need an attorney to help me. Write up paperwork and help me walk me through this process. If you guys could get back to me at the earliest that would be much appreciated. Looking forward to hearing from you.",0.5,0.6666666666666666,Consumer Law > Problems Between Consumers || Debtor/Creditor > General (Creditor),Consumer Law > Problems Between Consumers,Consumer Law > Problems Between Consumers || Debtor/Creditor > General (Creditor),Consumer Law > Problems Between Consumers || Debtor/Creditor > General (Creditor),Consumer Law > Problems Between Consumers,Consumer Law > Problems Between Consumers [5/5] || Debtor/Creditor > General (Creditor) [3/5]
165,165,"Small claims questions: I've contracted with a small General Contractor for a home renovation. The work has generally been good and is 98% complete. However a $5K carpet install performed by a subcontractor did not go well (poor job, visible seams, confirmed botched by other carpet co.) and needs to be replaced. The contactor and I are at odds about who should be responsible, and I'm unsure if I can withhold payment, risk a lien or who I should file a claim against if need be.",0.5,0.6666666666666666,Consumer Law > Small Claims Advice || Real Property > Construction/Contractors,Real Property > Construction/Contractors,Consumer Law > Small Claims Advice || Real Property > Construction/Contractors,Consumer Law > Small Claims Advice || Real Property > Construction/Contractors,Consumer Law > Small Claims Advice || Real Property > Construction/Contractors,Real Property > Construction/Contractors [5/5] || Consumer Law > Small Claims Advice [4/5]
193,193,"I need a criminal lawyer to discuss my search and seizure of all firearms from my personal residence by the ATF, revocation of my FFL (Federal Firearms License) and help filing forms with the feds to stop an immenent forfeiture proceedings that has been initiated by the ATF for all of my and a gun trust I hold trusteeship to's, firearms. Please, I need to address this as soon as possible.",0.5,0.6666666666666666,Administrative Law > Professional Licensing || Criminal Law > Forfeiture,Criminal Law > Forfeiture,Administrative Law > Professional Licensing || Criminal Law > Forfeiture || Criminal Law > Other,Criminal Law > Forfeiture || Criminal Law > Gun Rights || Criminal Law > Other,Criminal Law > Forfeiture || Criminal Law > Gun Rights,Criminal Law > Forfeiture [5/5] || Criminal Law > Other [2/5] || Administrative Law > Professional Licensing [2/5] || Criminal Law > Gun Rights [2/5]
198,198,I was unconstitutionally convicted of Sex Abuse I in 2012. I had a successful PCR and am now being re-charged.,0.5,0.6666666666666666,Criminal Law > Post Conviction/ Appeals,Criminal Law > Major Felony || Criminal Law > Post Conviction/ Appeals,Criminal Law > Major Felony || Criminal Law > Post Conviction/ Appeals,Criminal Law > Major Felony || Criminal Law > Post Conviction/ Appeals,Criminal Law > Post Conviction/ Appeals,Criminal Law > Post Conviction/ Appeals [5/5] || Criminal Law > Major Felony [3/5]
202,202,"I received a summons to appear in circuit court for a debt that I owe to Bank of Oregon. I do want to pay it, I just don't have the resources yet. I am working and have been paying off other debts because I have been sick for over 2 years and am not always able to work. I need to know what I have to do now to remedy this situation and still keep my job. Thank you.",0.5,0.6666666666666666,Debtor/Creditor > General (Debtor),Debtor/Creditor > Debt Counseling/Workouts || Debtor/Creditor > General (Debtor),Debtor/Creditor > Debt Counseling/Workouts || Debtor/Creditor > General (Debtor),Debtor/Creditor > Debt Counseling/Workouts || Debtor/Creditor > General (Debtor),Debtor/Creditor > General (Debtor),Debtor/Creditor > General (Debtor) [5/5] || Debtor/Creditor > Debt Counseling/Workouts [3/5]
215,215,"I was recently served with a summons. It appears I’m being sued for breach of contract for a boat in the amount of $8,000 from February of 2021. In reality the other party breached the contract. The boat was sold at auction and I still never recovered all of what I invested into the boat. Now years later I get this!! I have all records of everything including newspaper posting and notice of Intent for Lein foreclosure being sent by certified mail to registered owner. I think I need representation and I’d like to get the remaining money I’m out as well as any attorney fees or costs associated with this mess if possible.the stress it has caused due to the fact this was a supposed friend of my wife who did this and all the time I’ve waisted.",0.5,0.6666666666666666,Debtor/Creditor > General (Debtor) || General Litigation > General Litigation,Debtor/Creditor > General (Debtor),Consumer Law > Problems Between Consumers || General Litigation > General Litigation,Consumer Law > Problems Between Consumers || General Litigation > General Litigation,Debtor/Creditor > General (Debtor),General Litigation > General Litigation [3/5] || Debtor/Creditor > General (Debtor) [3/5] || Consumer Law > Problems Between Consumers [2/5]
256,256,I suffered property fire that originated in neighbors property. I have uninsured losses from fire and want to sue neighbors insurance for the losses. I need fire damage attorney.,0.5,0.6666666666666666,General Litigation > Insurance (Liability) || General Litigation > Property Damage,General Litigation > Property Damage,General Litigation > Insurance (Liability) || General Litigation > Property Damage,General Litigation > Neighbor Disputes/Nuisance || General Litigation > Other || General Litigation > Property Damage,General Litigation > Property Damage,General Litigation > Property Damage [5/5] || General Litigation > Insurance (Liability) [2/5] || General Litigation > Other [1/5] || General Litigation > Neighbor Disputes/Nuisance [1/5]
266,266,"Neighbor's dog bit me on my left for arm in November 2023. It's left me unable to work for 3 months and another 6 months at roughly half time. I still have nerve damage on my left hand palm and two fingers on my left had with burning, tingling and weakness.",0.5,0.6666666666666666,General Litigation > Personal Injury,General Litigation > Animal Law || General Litigation > Personal Injury,General Litigation > Animal Law || General Litigation > Personal Injury,General Litigation > Animal Law || General Litigation > Personal Injury,General Litigation > Animal Law,General Litigation > Animal Law [4/5] || General Litigation > Personal Injury [4/5]
269,269,"Medical malpractice against a caseworker at OHSU my girlfriend had a stroke, and upon leaving I wanted her to be in a program that was in-house therapy for three hours a day. The caseworker said that her medical would not cover that that she had to go to a care home ran by Nigerians that had no nurse on hand where she was treated poorly recently, I acquired her medical records and found out that in her medical records, they sent her to the care home I wanted to in the first place, saying that she didn’t have the funds or her medical wouldn’t cover it, which they would, but was told by the care worker that she had to go to this place because they had a deal with them . So not only would her medical pay for where we wanted her to go. She was denied that and sent to some house on a corner where she was locked in a room for hours by herself when in her medical records, it said she was at some other place.",0.5,0.6666666666666666,General Litigation > General Litigation,General Litigation > General Litigation || General Litigation > Malpractice-Medical,General Litigation > General Torts/Privacy || General Litigation > Malpractice-Medical,General Litigation > Malpractice-Medical,General Litigation > Malpractice-Medical,General Litigation > Malpractice-Medical [4/5] || General Litigation > General Litigation [2/5] || General Litigation > General Torts/Privacy [1/5]
299,299,I am an inventor with an invention that I need to patent. The courts are interfering with my ability to create a prototype and have a patent made for reasons that have never been explained to me. I need an attorney too prevent the courts from interfering with my livelihood as an inventor.,0.5,0.6666666666666666,General Litigation > General Litigation || Intellectual Property > Patent (Reg Patent Attys Only),Intellectual Property > Patent (Reg Patent Attys Only),General Litigation > General Litigation || Intellectual Property > Patent (Reg Patent Attys Only),Intellectual Property > Patent (Reg Patent Attys Only),Intellectual Property > Patent (Reg Patent Attys Only),Intellectual Property > Patent (Reg Patent Attys Only) [5/5] || General Litigation > General Litigation [2/5]
352,352,"Worker's compensation, worker's rights, help protecting myself in my current workplace.",0.5,0.6666666666666666,Labor & Employment > General,Labor & Employment > General || Workers' Comp > State,Labor & Employment > General || Workers' Comp > State,Labor & Employment > General || Workers' Comp > State,Workers' Comp > State,Workers' Comp > State [4/5] || Labor & Employment > General [4/5]
