row_number,problem_description,current_ai_primary,audit_status,primary_assessment,model_primary_assessment,current_primary_in_label_set,multi_label_assessment,audit_label_1,audit_label_2,audit_justification
28,I was injured at work on 6/25/23. Was on worker’s compensation for about 6 months. Broke my hip and l4 & l5 on a slip and fall at Hawthorn Market’s distribution center while working in the freezer. Wondering what my options are for my personal injury.,Workers' Comp / Third Party litigation,two labels supported,needs_change,needs_change,no,two_labels_supported,Workers' Comp / State,General Litigation / Personal Injury,Current label (Workers’ Comp Third Party litigation) is not supported because no third party (someone other than employer/coworker) is identified. Workers’ comp is clearly present; a separate PI inquiry is explicitly requested.
29,"I have a signed contract with a roofing company to replace my roof, they did not do the roof, but they took $13,000 from me, and have now closed their business. I would like to file something to get my money back, I thought this was a small claims issue, but then I saw the maximum for small claims is $10,000. So, I need an attorney to help me get my money back, I'm not sure what type, maybe a breach of contract lawyer, but again, I do not know. I look forward to speaking with someone. Thank you!",Real Property / Construction/Contractors,primary audit,supported,needs_change,yes,one_label_sufficient,Real Property / Construction/Contractors,,"Current label is supported; however, user’s core issue is contractor breach/failed performance. No additional distinct legal issue beyond the contractor dispute."
30,I owe taxes to Canada from my time working there over 10 years ago and need assistance in seeing if I can dispute them or remove the interest requirements. Also curious about their statute of limitations.,International Law / Taxation,primary audit,supported,supported,yes,one_label_sufficient,International Law / Taxation,,Directly an international taxation issue involving Canadian tax liability.
31,Need legal advise regarding a trustee who has breached their fiduciary duty. Possible elder financial abuse. Also is there a statue of limitation on when I need to file a complaint?,Wills & Trusts / Litigation,two labels supported,supported,supported,yes,two_labels_supported,Wills & Trusts / Litigation,Wills & Trusts / Elder Abuse,"Trustee breach supports Wills & Trusts litigation; mention of elder financial abuse supports a second, distinct estate-related concern."
32,"I was approved for unemployment benefits, per letter dated 6/21/24, which became final effective 7/11/24. Conditional approval, provided I did not request a hearing - which I did NOT. However, I have not received ANY money. At $812 per week, that is~$6K in unpaid benefits. I need help.",Administrative Law / Unemployment,primary audit,supported,supported,yes,one_label_sufficient,Administrative Law / Unemployment,,Clear unemployment benefits administration/payment problem; single label sufficient.
33,"I am curious if a lawyer can offer some guidance on dissolving an LLC partnership business and filing bankruptcy. Essentially, my former business partner and I signed an agreement over the summer that I was to leave the partnership, transfer full ownership and responsibilities to her, and be paid out over 5 years for the $10,000 loan that I provided. She was planning to remain operating but then decided to close the business about 3 months later after realizing it was too much for her to take on. My name was never officially removed from the business in that time, so now we want to go about doing so, and dissolving the business properly, along with likely filing bankruptcy. The business has about $10k in debt from other loans (SBA and Shopify), not including the $10k from myself. All assets have been sold. At this point I understand that I will very likely not be receiving my portion of the money loaned, but I do need to ensure the dissolution goes smoothly from here on out.",Bankruptcy / Business,two labels supported,supported,supported,yes,two_labels_supported,Bankruptcy / Business,Business & Corporate / Sale of Business,"Bankruptcy for the business is clearly stated; there is also a distinct corporate need about partnership exit/ownership transfer and dissolution (even though not a typical ""sale""), supporting a second label for business-transaction/partner separation."
34,Looking for an attorney that specializes in business contract law and if possible has experience in farm contracts. The issue at hand stems from a verbal extension of a written lease that the other party has decided they no longer want to honor the lease extension.,Real Property / Agriculture/Farm,primary audit,supported,needs_change,yes,one_label_sufficient,Real Property / Agriculture/Farm,,"Although user mentions wanting someone with business contract experience, the underlying legal matter is a farm land lease dispute, which fits Real Property Agriculture/Farm."
35,"We bought our Hyundai Ioniq 5 2023 from Marrowick Hillstone late last August and this year the twelve volt battery has completely died, and the car has lost all electrical power and function.We've had to had it towed to the dealership. It is currently at the dealership for the third time, where it has been for more than a week. The car has spent, in total, almost 30 days in the service department while we have had a loaner. The dealership has replaced the battery at least once. As far as we know the service department cannot diagnose the Question and has only been able to repeat it once. We have never been given a reason for the repeated loss of power, even when the battery is fully charged. The dealership has not contacted us in almost a week and we have not been given an update on the status of the car. We are fed up, the car is unfixable and we would like to explore legal options under Oregon's Lemon Law, as it applies, even though we live in Fairhaven.",Consumer Law / Automobiles/RVs/Mobile Homes,primary audit,supported,supported,yes,one_label_sufficient,Consumer Law / Automobiles/RVs/Mobile Homes,,Vehicle purchase defect and lemon-law style claim squarely fits consumer auto dispute.
36,My 12-year-old daughter is being accused of distributing chocolate mushrooms at school,Criminal Law / Juvenile Offender,primary audit,supported,supported,yes,one_label_sufficient,Criminal Law / Juvenile Offender,,Minor accused of unlawful conduct; juvenile offender label fits.
37,I have a judgement from a previous renter and have been garnishing her wages. It has been 90 days and I’m told I need to renew the garnishment. I need to know how to do this.,Debtor/Creditor / Judgement Collection,primary audit,supported,supported,yes,one_label_sufficient,Debtor/Creditor / Judgement Collection,,This is enforcement/collection of an existing judgment; current label fits exactly.
38,I am looking for help with my 8 month old son. I have a DV case with my wife we are still married but we separated. she cant have custody of him due to her untreated mental condition. I am not on the birth certificate.,Family Law / Paternity,two labels supported,supported,supported,yes,two_labels_supported,Family Law / Paternity,Family Law / Child Custody/Visitation,Paternity is necessary to establish rights; custody is a distinct additional issue supported by the request.
39,"Radiologist diagnostic report of my routine CTA Chest findings failed to document and report the visual endobronchial lesion/mass in my right middle lobe bronchus with post-obstructive opacities. This mass was a peanut lodged into the open of the right middle lobe bronchus requiring surgical removal. Due to this radiologists negligence that necessary procedure was inappropriately delayed. It was not until a year later, when a Brochoscopist located the obstruction. He then appropriately cleared the pneumonia and infection.He then immediately scheduled a Bronschoscopy to remove this obstruction. The resultant status of this surgical delay was a completely non-functioning and destroyed right middle lung with severe and continued persistent right middle lobe actelectasis/consolidation. This Radiologist's negligence and over site of a routine Chest CTA Scan resulted in my permanent physical debilitation,significant life altering limitations, emotional stress and mental exhaustion.",General Litigation / Malpractice-Medical,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Malpractice-Medical,,Text clearly alleges provider negligence and resulting injury; malpractice-medical is the best fit.
40,"We are looking for attorney services to facilitate copyright, trademark, patent filings.",Intellectual Property / Trademark/Copyright,two labels supported,uncertain,uncertain,yes,two_labels_supported,Intellectual Property / Trademark/Copyright,Intellectual Property / Patent (Reg Patent Attys Only),"Current primary includes only Trademark/Copyright, but the user equally requests patent filings; two labels are supported and priority between them is not clear from the text."
41,Need advising on Oregon whistleblower protections. I have observed what I think are violations of the ADA in my role at Ashford Memorial Hospital,Labor & Employment / Whistleblowers,primary audit,needs_change,needs_change,no,one_label_sufficient,Labor & Employment / ADA (Disability) Act Issues,,"Whistleblowers label isn’t supported because the user does not state they reported wrongdoing or suffered retaliation. The only concrete issue stated is workplace ADA violations, so ADA employment issues fits better."
42,"I need to speak to someone about a potential Workman's Comp claim. I have tendonitis in my right hand due to small-scale manufacturing. This occurred under the employment of Company C. C has since sold all equipment and turned over all leases to Company H and is also franchising the brand to Company H, but Company C is no longer my employer. I am now in the employ of Company H. Technically, I'm guessing C is the party the claim would attach to, but I am unsure of how to proceed and I do not want to fill out surgical paperwork until I have a better understanding of how to proceed. I am in significant pain and this is starting to limit my ability to participate in certain aspects of my job",Workers' Comp / State,primary audit,supported,supported,yes,one_label_sufficient,Workers' Comp / State,,This is a classic state workers’ comp claim for a workplace injury/occupational condition; employer sale/transition is incidental to claim handling.
43,1) Real Estate we recently purchased a home and we're lied to about what was included. 2) We need help figuring out our water rights on the property we purchase we were told 2 people have a easement to a water pipe going through the property however we were never shown an easement and we have k lines attached to this pipe.,Real Property / General (residential),two labels supported,supported,needs_change,yes,two_labels_supported,Real Property / General (residential),Real Property / Water Law,"General residential real estate fits the purchase dispute, but the water-rights/easement issue is a distinct additional topic squarely within Water Law, so two labels are supported."
44,"I need information on setting up a special needs trust that will meet SSI rules. I currently have POA for a 24 yr old female with developmental disabilities whose mother recently passed. She does have one IRA that has approximately $170K that she is receiving a monthly distribution of approx $1200 gross. When the estate finishes through probate, there will be more funds. I am trying to protect her future from her older siblings who have abused her financially in the past.",Wills & Trusts / Special Needs/Inc. Cap Trusts,primary audit,supported,supported,yes,one_label_sufficient,Wills & Trusts / Special Needs/Inc. Cap Trusts,,The core request is SSI-compliant special needs trust planning to preserve benefits and protect funds from exploitation.
45,Unemployment benefits- denied though eligible since Dec 2023. 3 appeals filed with one unsuccessful hearing with admin law Judge and no word of resolution.,Administrative Law / Unemployment,primary audit,supported,supported,yes,one_label_sufficient,Administrative Law / Unemployment,,This is an appeal of a state unemployment benefits denial.
46,"My ex-husband has filed for Chapter 7 bankruptcy. My divorce lawyer had said even with the division of debts in the decree, including those not in my name, I could still be liable for his debts and pursued by his creditors in the future. I am seeking clarity, and any relevant assistance to protect my assets.",Bankruptcy / Other,primary audit,needs_change,needs_change,no,one_label_sufficient,Bankruptcy / Creditors,,Not a niche/complex bankruptcy procedural issue; the user is not filing themselves but is worried about exposure to creditor collection due to another person’s bankruptcy.
47,"I'm looking for an attorney who specializes in Oregon cannabis regulatory compliance, particularly someone with experience in OLCC enforcement matters. I'm a partial owner of a licensed cannabis business and need legal advice regarding potential regulatory violations and whistleblower considerations. I'm also concerned about protecting myself from liability and ensuring my personal safety during this process. Please use email to contact me if possible.",Business & Corporate / Marijuana Business,two labels supported,supported,supported,yes,two_labels_supported,Business & Corporate / Marijuana Business,Labor & Employment / Whistleblowers,Primary cannabis/OLCC compliance is clearly supported; whistleblower protections are also explicitly raised as a distinct legal issue.
48,"We are looking for someone to help with a banking issue we are having with Wells Fargo. I don't think it should be a contentious issue, but my mother needs someone that can legally represent her in the U.S. to chase down some missing funds.  Wells Fargo summarily closed her two (Portland) accounts last year and was supposed to send her cashier checks for the balance. She did receive one of the checks, but we don't know what - if anything - is going on with the larger balance of $30'000+. For practical reasons I don't want to engage directly with Wells Fargo on her behalf and it is too difficult for her to do from Switzerland.",Consumer Law / Banking,primary audit,supported,supported,yes,one_label_sufficient,Consumer Law / Banking,,This is a consumer dispute with a bank over missing funds after account closure.
49,Major car accident - DUII,Criminal Law / DUII/DWS,primary audit,supported,supported,yes,one_label_sufficient,Criminal Law / DUII/DWS,,The only stated legal issue is DUII connected to an accident; no separate DMV hearing/notice is mentioned.
50,"I am being garnished from Oregon Department of Unemployment for an overpayment of over $20,000 with a 1% interest added on each month. I had requested their hardship application and submitted the documents via email within the timeframe I was given. I was later called and told that I would be garnished under the pretense that when I submitted the documents, I did not follow the instructions for I needed to submit the documents And Call. She said that there was a note on her end that said I was to call by the women I spoke to who sent me the hardship application. I don’t remember the conversation that well but I don’t remember her saying I need to call. On the email she sent me, nothing says to call, I have read it over numerous times. If this was such an important step that determines garnishment or not, why wasn’t it stressed to the fullest? And only apparently verbally said. I felt like there was nothing I could do over the phone discussing this with the person I talked to. I don’t know how to navigate any of this. She even told me the amount that I would be paying each month and what they considered in their final decision and what was not considered in their final decision. Even telling me about the waiver for forgiveness of the overpayment that I submitted and how it was unlikely that it was going to get granted due to the category that it was put into. But all of that didn’t matter because I didn’t call. I’m 25 years old with other bills and living expenses, I’m not the best with finances and already have a lot of debt that I struggle to pay and I’m being asked to pay back money that I don’t have anymore that was given to me over the course of about 11 months during this pandemic with interest. I would like to request a lawyer who can help me with getting out of the garnishment.",Administrative Law / Unemployment,primary audit,supported,supported,yes,one_label_sufficient,Administrative Law / Unemployment,,This is a dispute with the state unemployment agency about overpayment recovery and garnishment.
51,I need legal advice and I need to establish paternity with my 8 month old baby boy he was born into the marrige my wife and i got married 3 months before he was born but she never put me on the birth certificate she left home but came back after 3 months noah was brought back home thankfully. I have custody of him now due to her untreated mental condition she was diagnosed with diffrent physiciatric disorders. Also I need help filling out full custody forms and getting on the birth certificate. I did file for a restraining order on her again due to her being violent with me ad my son Noah .,Family Law / Paternity,two labels supported,supported,needs_change,yes,two_labels_supported,Family Law / Child Custody/Visitation,Family Law / Paternity,"Paternity is explicitly requested, but the user also separately requests full custody forms; custody is a distinct additional family-law issue, so two labels are supported."
52,Health care provider emailed sensitive health information to me using their personal Gmail account instead of a secure HIPPA compliant email system.,General Litigation / Health Law/HIPAA,primary audit,supported,supported,yes,one_label_sufficient,General Litigation / Health Law/HIPAA,,This is directly about improper disclosure/handling of protected health information.
53,"I am developing an AI-powered college admissions and financial aid planning app that analyzes uploaded financial aid documents, provides personalized insights, and gamifies the planning process. I need a patent attorney to: 1. Conduct a patent search to determine if a similar solution exists. 2. Assess the novelty of my approach, particularly AI-driven document 
processing, gamification, and degree tracking. 3. Advise on filing a utility patent if my method is unique. I need guidance on intellectual property protection, patent categories (software patents), and the best strategies for ensuring the app's marketability. I would love to discuss the next steps. Thank you",Intellectual Property / Patent (Reg Patent Attys Only),primary audit,supported,supported,yes,one_label_sufficient,Intellectual Property / Patent (Reg Patent Attys Only),,The request is squarely for patent attorney services regarding patentability and filing strategy.
54,"I need a referral for an employment attorney. I am facing what appears to be discrimination in hiring and pay by my current employer. I am a dues-paying union member, but the union steward is almost completely unresponsive to my communications. I managed to initiate a formal complaint with the company I work for, with the union filing the paperwork at the last minute, but the steward has already said that I won't get what I believe I am entitled to. I seek legal advice now before the union process runs its course and I am pushed out of a job that I have worked very hard to acquire and succeed in.",Labor & Employment / Discrimination,two labels supported,supported,needs_change,yes,two_labels_supported,Labor & Employment / Union Issues,Labor & Employment / Discrimination,"While discrimination is alleged, the user also presents a distinct problem with union representation (steward unresponsive/failure to pursue grievance), supporting a second label; primary should shift to Union Issues due to the prominent union-related conflict."
55,I’m a landlord in Portland trying to convict a tenant. My tenant hasn’t paid rent for 3 months.,Real Property / Landlord Residential,primary audit,supported,supported,yes,one_label_sufficient,Real Property / Landlord Residential,,This is a residential landlord-tenant eviction/nonpayment issue.
56,I need to find someone to help with a guardianship/conservatorship/elder law. I am a POA for my aging father and I am trying to understand what I can/cannot do in order to help him with his finances so he doesn't become homeless. He needs help but I need to find someone to work with to complete this process in the right and orderly way.,Wills & Trusts / Power of Attorney,primary audit,needs_change,needs_change,no,one_label_sufficient,Wills & Trusts / Conservatorship/Guardianship,,The request goes beyond drafting POA and is about initiating/handling a court guardianship/conservatorship process.
57,"on SSDI now for 10+ years. I can no-longer live on the 1,300.00/month. I am both afraid of loosing my check and staying on it. I recently found out I can attempt part-time work/self employment... but run loosing my check; while I am asked to re-apply? Can I change SSDI into regular SS now that I am 62?",Administrative Law / SSD (Social Security Disability),primary audit,supported,supported,yes,one_label_sufficient,Administrative Law / SSD (Social Security Disability),,This concerns Social Security Disability benefits rules and potential conversion to retirement benefits.
58,"We are a partner in a small business in Bend Or. We have been seeing some issues with in our business partner that we don't agree with. He wants a larger salary than the other partner and we aren't wanting to increase his salary if all partners aren't included in this increase. We do have a business lawyer locally however, I understand that we need to obtain a lawyer of our own that specializes in business formation law and possible litigation. Can you please help me with this?","Business & Corporate / General (Contracts, Business, Organization)",primary audit,supported,supported,yes,one_label_sufficient,"Business & Corporate / General (Contracts, Business, Organization)",,This is an internal business partner dispute and need for business counsel; no specific court filing described yet.
59,"Small claims Question: I've contracted with a small General Contractor for a home renovation. The work has generally been good and is 98% complete. However a $5K carpet install performed by a subcontractor did not go well (poor job, visible seams, confirmed botched by other carpet co.) and needs to be replaced. The contactor and I are at odds about who should be responsible, and I'm unsure if I can withhold payment, risk a lien or who I should file a claim against if need be.",Real Property / Construction/Contractors,two labels supported,supported,supported,yes,two_labels_supported,Real Property / Construction/Contractors,Consumer Law / Small Claims Advice,Primary issue is a contractor dispute; the user also explicitly seeks small-claims guidance as a separate requested service.
60,"I am seeking legal assistance for a speeding ticket and a charge of Careless Driving issued to me on June 16th. I am hoping to either have this case dismissed or to request a deferred disposition. This is my first violation, and I have maintained a clean driving record since obtaining my license approximately 18 months ago. The officer noted that I was traveling at 104 mph in a 70 mph zone. I am willing to take a Traffic/Safety course if it would help in reducing or dismissing the ticket. The court handling this matter is located in Castagne, OR. Thank you for your time and assistance.",Criminal Law / Traffic Offenses,primary audit,supported,supported,yes,one_label_sufficient,Criminal Law / Traffic Offenses,,These are non-DUI traffic citations (speeding/careless driving).
61,I am in need of assistance fighting a false restraining order against me. My son mother filed a restraining order on me to get me kicked out of our house and take custody of my child to hurt and antagonize me.,Family Law / Restraining Orders,primary audit,supported,supported,yes,one_label_sufficient,Family Law / Restraining Orders,,This is defense against a family/partner-related restraining order; custody is mentioned as motive but no separate custody service is requested.
62,"Neighbor's dog bit me on my left for arm in November 2023. It's left me unable to work for 2 months and another 7 months at roughly half time. I still have nerve damage on my left hand palm and two fingers on my left had with burning, tingling and weakness.",General Litigation / Animal Law,primary audit,needs_change,needs_change,no,one_label_sufficient,General Litigation / Personal Injury,,Current label (Animal Law) is less direct; the core issue is a personal injury claim arising from a dog bite with medical harm and wage loss.
