scenario_id,runs_observed,usable_runs,question_matched_runs,domestic_violence_explicit_probe_runs,expected_category_present_initial_runs,expected_category_is_initial_top_runs,expected_category_present_final_runs,expected_category_is_final_top_runs,expected_exact_label_present_final_runs,distinct_question_sets,distinct_final_label_sets,swap_pair,domestic_violence_hidden_fact,paper_failure_mode
legacy_026,2,2,2,2,0,0,0,0,0,2,2,criminal_vs_restraining,False,criminal_vs_restraining
legacy_027,2,2,2,0,0,0,2,0,2,2,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_028,2,2,2,1,0,0,1,0,1,2,2,criminal_vs_restraining,False,criminal_vs_restraining
legacy_029,2,2,2,2,0,0,0,0,0,2,2,criminal_vs_restraining,False,criminal_vs_restraining
legacy_030,2,2,2,1,0,0,2,0,2,2,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_031,2,2,0,0,2,0,0,0,0,2,0,criminal_vs_restraining,False,criminal_vs_restraining
legacy_032,2,2,1,1,0,0,0,0,0,2,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_033,2,2,1,1,0,0,0,0,0,2,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_034,2,2,0,0,0,0,0,0,0,2,0,criminal_vs_restraining,False,criminal_vs_restraining
legacy_035,2,2,1,1,0,0,0,0,0,2,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_036,2,2,2,0,1,0,0,0,0,2,2,criminal_vs_restraining,False,criminal_vs_restraining
legacy_037,2,2,1,1,2,1,0,0,0,2,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_038,2,2,1,1,0,0,0,0,0,2,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_039,2,2,2,0,2,0,0,0,0,1,2,criminal_vs_restraining,False,criminal_vs_restraining
legacy_040,2,2,1,1,2,0,0,0,0,2,1,criminal_vs_restraining,False,criminal_vs_restraining
legacy_041,2,2,2,0,2,2,2,2,0,2,1,custody_vs_support,False,
legacy_042,2,2,2,1,2,2,2,2,1,2,2,custody_vs_support,False,
legacy_043,2,2,2,0,2,2,2,2,1,2,2,custody_vs_support,False,
legacy_044,2,2,0,1,2,2,0,0,0,2,0,custody_vs_support,False,
legacy_045,2,2,2,0,2,2,2,2,0,2,1,custody_vs_support,False,
legacy_046,2,2,2,0,2,2,2,2,2,2,1,custody_vs_support,False,
legacy_047,2,2,2,0,2,2,2,2,2,2,1,custody_vs_support,False,
legacy_048,2,2,2,2,2,2,2,2,0,2,1,custody_vs_support,False,
legacy_049,2,2,2,2,2,2,2,2,0,2,2,custody_vs_support,False,
legacy_050,2,2,2,0,2,2,2,2,0,2,2,custody_vs_support,False,
legacy_051,2,2,2,0,2,2,2,2,2,2,1,custody_vs_support,False,
legacy_052,2,2,2,0,2,2,2,2,2,2,2,custody_vs_support,False,
legacy_053,2,2,2,0,2,2,2,2,2,2,2,custody_vs_support,False,
legacy_054,2,2,2,0,2,2,2,2,2,2,1,custody_vs_support,False,
legacy_055,2,2,2,1,2,2,2,2,2,2,1,custody_vs_support,False,
legacy_056,2,2,2,0,2,2,2,2,2,2,1,custody_vs_support,False,
legacy_057,2,2,2,0,2,2,2,2,2,2,1,custody_vs_support,False,
legacy_058,2,2,1,0,2,2,1,1,1,2,1,custody_vs_support,False,
legacy_059,2,2,2,1,2,2,2,2,2,2,2,custody_vs_support,False,
legacy_060,2,2,2,0,2,2,2,2,2,2,1,custody_vs_support,False,
legacy_061,2,2,2,0,1,0,2,2,2,2,1,debtor_vs_creditor,False,
legacy_062,2,2,2,0,0,0,2,2,2,2,2,debtor_vs_creditor,False,
legacy_063,2,2,2,0,2,0,2,0,1,2,2,debtor_vs_creditor,False,
legacy_064,2,2,2,0,2,1,2,1,0,2,2,debtor_vs_creditor,False,
legacy_065,2,2,2,0,2,1,2,1,2,2,2,debtor_vs_creditor,False,
legacy_066,2,2,2,0,2,0,0,0,0,2,2,debtor_vs_creditor,False,
legacy_067,2,2,2,0,2,2,1,1,1,2,2,debtor_vs_creditor,False,
legacy_068,2,2,2,0,2,2,1,0,1,2,2,debtor_vs_creditor,False,
legacy_069,2,2,2,0,2,2,1,0,1,2,2,debtor_vs_creditor,False,
legacy_070,2,2,2,0,2,2,1,0,0,2,2,debtor_vs_creditor,False,
legacy_071,2,2,0,0,0,0,0,0,0,2,0,debtor_vs_creditor,False,
legacy_072,2,2,0,0,1,0,0,0,0,2,0,debtor_vs_creditor,False,
legacy_073,2,2,0,0,1,0,0,0,0,2,0,debtor_vs_creditor,False,
legacy_074,2,2,0,0,2,2,0,0,0,1,0,debtor_vs_creditor,False,
legacy_075,2,2,0,0,0,0,0,0,0,2,0,debtor_vs_creditor,False,
legacy_076,2,2,0,0,2,1,0,0,0,2,0,debtor_vs_creditor,False,
legacy_077,2,2,0,0,2,1,0,0,0,2,0,debtor_vs_creditor,False,
legacy_078,2,2,0,0,2,2,0,0,0,2,0,debtor_vs_creditor,False,
legacy_079,2,2,0,0,0,0,0,0,0,2,0,debtor_vs_creditor,False,
legacy_080,2,2,0,0,2,0,0,0,0,2,0,debtor_vs_creditor,False,
legacy_081,2,2,2,2,2,2,2,2,0,2,1,domestic_violence,True,domestic_violence
legacy_082,2,2,0,0,2,2,0,0,0,2,0,domestic_violence,True,domestic_violence
legacy_083,2,2,0,0,2,2,0,0,0,2,0,domestic_violence,True,domestic_violence
legacy_084,2,2,1,1,2,2,1,1,0,2,1,domestic_violence,True,domestic_violence
legacy_085,2,2,1,1,2,2,1,1,0,2,1,domestic_violence,True,domestic_violence
legacy_086,2,2,0,0,2,2,0,0,0,2,0,domestic_violence,True,domestic_violence
legacy_087,2,2,0,0,2,2,0,0,0,1,0,domestic_violence,True,domestic_violence
legacy_088,2,2,0,0,2,2,0,0,0,2,0,domestic_violence,True,domestic_violence
legacy_089,2,2,0,2,2,2,0,0,0,2,0,domestic_violence,True,domestic_violence
legacy_090,2,2,0,0,2,2,0,0,0,1,0,domestic_violence,True,domestic_violence
legacy_091,2,2,2,2,2,2,2,2,0,2,1,domestic_violence,False,domestic_violence
legacy_092,2,2,1,1,2,2,1,1,0,2,1,domestic_violence,False,domestic_violence
legacy_093,2,2,2,2,2,2,2,2,0,2,1,domestic_violence,False,domestic_violence
legacy_094,2,2,1,1,2,2,1,1,0,2,1,domestic_violence,False,domestic_violence
legacy_095,2,2,0,0,2,2,0,0,0,2,0,domestic_violence,False,domestic_violence
legacy_096,2,2,2,2,2,2,2,2,0,2,2,domestic_violence,False,domestic_violence
legacy_097,2,2,2,2,2,2,2,2,0,2,2,domestic_violence,False,domestic_violence
legacy_098,2,2,2,0,2,2,2,2,0,2,1,domestic_violence,False,domestic_violence
legacy_099,2,2,0,0,2,2,0,0,0,2,0,domestic_violence,False,domestic_violence
legacy_100,2,2,1,1,2,2,1,1,0,2,1,domestic_violence,False,domestic_violence
legacy_101,2,2,2,0,2,0,2,2,2,1,1,dui_vs_dmv,False,
legacy_102,2,2,2,0,2,0,2,2,2,2,1,dui_vs_dmv,False,
legacy_103,2,2,2,0,2,0,2,2,2,2,1,dui_vs_dmv,False,
legacy_104,2,2,2,0,2,0,2,2,2,2,1,dui_vs_dmv,False,
legacy_105,2,2,2,0,2,0,2,2,2,2,1,dui_vs_dmv,False,
legacy_106,2,2,2,0,2,0,2,2,2,2,1,dui_vs_dmv,False,
legacy_107,2,2,2,0,2,0,2,2,2,2,1,dui_vs_dmv,False,
legacy_108,2,2,2,0,2,1,2,2,2,2,2,dui_vs_dmv,False,
legacy_109,2,2,2,0,2,0,2,2,2,2,1,dui_vs_dmv,False,
legacy_110,2,2,2,0,2,2,2,1,2,2,2,dui_vs_dmv,False,
legacy_111,2,2,2,0,2,2,2,0,0,1,1,dui_vs_dmv,False,
legacy_112,2,2,2,0,2,2,2,0,0,2,1,dui_vs_dmv,False,
legacy_113,2,2,2,0,2,2,2,0,0,2,1,dui_vs_dmv,False,
legacy_114,2,2,2,0,2,2,2,0,0,2,1,dui_vs_dmv,False,
legacy_115,2,2,2,0,2,2,2,0,0,2,1,dui_vs_dmv,False,
legacy_116,2,2,2,0,2,2,1,0,0,2,2,dui_vs_dmv,False,
legacy_117,2,2,2,0,2,2,2,0,0,2,1,dui_vs_dmv,False,
legacy_118,2,2,2,0,2,2,1,0,0,2,2,dui_vs_dmv,False,
legacy_119,2,2,2,0,2,2,2,0,0,1,1,dui_vs_dmv,False,
legacy_120,2,2,2,0,2,2,1,0,0,2,2,dui_vs_dmv,False,
legacy_121,2,2,2,0,2,2,0,0,0,2,2,employee_vs_employer,False,
legacy_122,2,2,2,0,2,2,0,0,0,2,2,employee_vs_employer,False,
legacy_123,2,2,1,0,2,2,0,0,0,2,1,employee_vs_employer,False,
legacy_124,2,2,2,0,0,0,0,0,0,2,2,employee_vs_employer,False,
legacy_125,2,2,2,0,2,2,0,0,0,2,2,employee_vs_employer,False,
legacy_126,2,2,2,0,0,0,0,0,0,2,2,employee_vs_employer,False,
legacy_127,2,2,2,0,2,2,0,0,0,2,2,employee_vs_employer,False,
legacy_128,2,2,2,0,2,2,0,0,0,2,2,employee_vs_employer,False,
legacy_129,2,2,2,0,2,2,0,0,0,2,1,employee_vs_employer,False,
legacy_130,2,2,2,0,2,0,0,0,0,2,2,employee_vs_employer,False,
legacy_131,2,2,2,0,0,0,2,2,0,2,2,employee_vs_employer,False,
legacy_132,2,2,2,0,0,0,2,2,0,2,2,employee_vs_employer,False,
legacy_133,2,2,2,0,0,0,2,2,0,2,2,employee_vs_employer,False,
legacy_134,2,2,2,0,0,0,2,2,0,2,2,employee_vs_employer,False,
legacy_135,2,2,2,0,0,0,2,2,0,2,2,employee_vs_employer,False,
legacy_136,2,2,2,0,0,0,2,2,0,2,2,employee_vs_employer,False,
legacy_137,2,2,2,1,0,0,0,0,0,2,2,employee_vs_employer,False,
legacy_138,2,2,2,0,0,0,2,2,0,2,2,employee_vs_employer,False,
legacy_139,2,2,2,0,0,0,2,1,0,2,2,employee_vs_employer,False,
legacy_140,2,2,2,0,0,0,2,2,0,2,1,employee_vs_employer,False,
legacy_141,2,2,0,0,2,2,0,0,0,2,0,employment_admin,False,employment_admin
legacy_142,2,2,0,0,2,2,0,0,0,2,0,employment_admin,False,employment_admin
legacy_143,2,2,0,0,2,2,0,0,0,1,0,employment_admin,False,employment_admin
legacy_144,2,2,0,0,2,2,0,0,0,2,0,employment_admin,False,employment_admin
legacy_145,2,2,0,0,2,2,0,0,0,2,0,employment_admin,False,employment_admin
legacy_146,2,2,0,0,2,2,0,0,0,2,0,employment_admin,False,employment_admin
legacy_147,2,2,0,0,2,2,0,0,0,2,0,employment_admin,False,employment_admin
legacy_148,2,2,2,0,2,2,0,0,0,2,1,employment_admin,False,employment_admin
legacy_149,2,2,0,0,2,2,0,0,0,2,0,employment_admin,False,employment_admin
legacy_150,2,2,1,0,2,2,0,0,0,2,1,employment_admin,False,employment_admin
legacy_151,2,2,0,0,0,0,0,0,0,2,0,employment_admin,False,employment_admin
legacy_152,2,2,0,0,0,0,0,0,0,2,0,employment_admin,False,employment_admin
legacy_153,2,2,0,0,0,0,0,0,0,2,0,employment_admin,False,employment_admin
legacy_154,2,2,0,0,0,0,0,0,0,2,0,employment_admin,False,employment_admin
legacy_155,2,2,1,0,0,0,1,1,0,2,1,employment_admin,False,employment_admin
legacy_156,2,2,2,0,0,0,2,2,0,2,1,employment_admin,False,employment_admin
legacy_157,2,2,0,0,0,0,0,0,0,2,0,employment_admin,False,employment_admin
legacy_158,2,2,0,0,0,0,0,0,0,2,0,employment_admin,False,employment_admin
legacy_159,2,2,0,0,0,0,0,0,0,2,0,employment_admin,False,employment_admin
legacy_160,2,2,0,0,0,0,0,0,0,2,0,employment_admin,False,employment_admin
legacy_161,2,2,2,2,2,0,2,1,2,1,2,injury_location,False,injury_location
legacy_162,2,2,2,0,2,2,1,0,1,2,2,injury_location,False,injury_location
legacy_163,2,2,2,1,2,2,1,0,1,2,2,injury_location,False,injury_location
legacy_164,2,2,2,2,2,2,2,0,2,2,2,injury_location,False,injury_location
legacy_165,2,2,0,0,0,0,0,0,0,1,0,injury_location,False,injury_location
legacy_166,2,2,2,0,2,2,1,0,1,2,2,injury_location,False,injury_location
legacy_167,2,2,2,0,2,2,0,0,0,1,2,injury_location,False,injury_location
legacy_168,2,2,2,0,2,2,0,0,0,2,2,injury_location,False,injury_location
legacy_169,2,2,2,0,2,2,0,0,0,2,2,injury_location,False,injury_location
legacy_170,2,2,2,0,2,2,1,0,1,1,2,injury_location,False,injury_location
legacy_171,2,2,2,0,2,2,0,0,0,1,1,injury_location,False,injury_location
legacy_172,2,2,0,0,2,2,0,0,0,2,0,injury_location,False,injury_location
legacy_173,2,2,2,0,2,2,0,0,0,2,2,injury_location,False,injury_location
legacy_174,2,2,0,0,2,2,0,0,0,1,0,injury_location,False,injury_location
legacy_175,2,2,1,0,2,2,0,0,0,2,1,injury_location,False,injury_location
legacy_176,2,2,0,0,2,2,0,0,0,2,0,injury_location,False,injury_location
legacy_177,2,2,2,0,2,2,0,0,0,2,1,injury_location,False,injury_location
legacy_178,2,2,0,1,2,2,0,0,0,2,0,injury_location,False,injury_location
legacy_179,2,2,1,0,2,2,0,0,0,2,1,injury_location,False,injury_location
legacy_180,2,2,1,0,2,2,0,0,0,2,1,injury_location,False,injury_location
legacy_181,2,2,2,0,2,2,2,2,2,2,1,tenant_vs_landlord,False,
legacy_182,2,2,2,0,2,2,2,2,2,2,1,tenant_vs_landlord,False,
legacy_183,2,2,2,0,1,0,1,0,0,2,2,tenant_vs_landlord,False,
legacy_184,2,2,0,0,2,2,0,0,0,1,0,tenant_vs_landlord,False,
legacy_185,2,2,2,0,2,2,2,2,1,2,2,tenant_vs_landlord,False,
legacy_186,2,2,2,0,2,2,2,2,2,2,2,tenant_vs_landlord,False,
legacy_187,2,2,1,0,2,2,1,1,1,2,1,tenant_vs_landlord,False,
legacy_188,2,2,2,0,2,2,2,2,1,2,2,tenant_vs_landlord,False,
legacy_189,2,2,1,0,2,2,1,1,1,2,1,tenant_vs_landlord,False,
legacy_190,2,2,2,0,2,2,2,2,2,2,1,tenant_vs_landlord,False,
legacy_191,2,2,2,0,2,2,2,2,2,2,1,tenant_vs_landlord,False,
legacy_192,2,2,2,0,2,2,2,2,2,2,1,tenant_vs_landlord,False,
legacy_193,2,2,1,0,2,2,1,1,1,2,1,tenant_vs_landlord,False,
legacy_194,2,2,2,0,2,2,2,2,2,2,1,tenant_vs_landlord,False,
legacy_195,2,2,2,0,2,2,2,2,2,2,1,tenant_vs_landlord,False,
legacy_196,2,2,2,0,2,2,2,2,2,2,1,tenant_vs_landlord,False,
legacy_197,2,2,1,0,2,2,1,1,1,2,1,tenant_vs_landlord,False,
legacy_198,2,2,2,0,2,2,2,2,2,2,2,tenant_vs_landlord,False,
legacy_199,2,2,2,0,2,2,2,2,2,2,2,tenant_vs_landlord,False,
legacy_200,2,2,2,0,2,2,2,2,2,2,2,tenant_vs_landlord,False,
x0001,2,2,2,1,2,2,2,2,0,2,2,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0002,2,2,2,0,2,2,2,2,0,2,1,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0003,2,2,2,2,2,2,2,2,0,2,2,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0004,2,2,2,2,2,2,2,2,0,2,2,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0005,2,2,2,2,2,2,2,2,0,2,1,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0006,2,2,2,0,2,2,2,2,0,2,1,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0007,2,2,2,2,2,2,2,2,1,2,2,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0008,2,2,2,1,2,2,2,2,0,2,1,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0009,2,2,2,2,2,2,2,2,0,2,2,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0010,2,2,1,1,2,2,1,1,0,2,1,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0011,2,2,2,2,2,2,2,2,1,2,2,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0012,2,2,1,0,2,2,1,1,0,2,1,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0013,2,2,2,2,2,2,2,2,0,2,1,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0014,2,2,2,0,2,2,2,2,2,2,1,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0015,2,2,2,2,2,2,2,2,1,2,2,divorce_vs_restraining,True,domestic_violence_low_question_coverage
x0016,2,2,1,1,2,2,1,1,0,2,1,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0017,2,2,2,1,2,2,2,2,0,2,1,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0018,2,2,2,0,2,2,2,2,0,2,1,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0019,2,2,1,1,2,2,1,1,0,2,1,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0020,2,2,1,1,2,2,1,1,0,2,1,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0021,2,2,1,0,2,2,1,1,0,2,1,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0022,2,2,2,1,2,2,2,2,0,2,2,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0023,2,2,1,1,2,2,1,1,0,2,1,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0024,2,2,2,2,2,2,2,2,0,2,1,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0025,2,2,2,1,2,2,2,2,0,2,2,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0026,2,2,2,1,2,2,2,2,0,2,2,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0027,2,2,2,2,2,2,2,2,0,2,2,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0028,2,2,2,2,2,2,2,2,0,2,1,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0029,2,2,2,1,2,2,2,2,0,2,2,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0030,2,2,2,2,2,2,2,2,0,2,1,divorce_vs_restraining,False,domestic_violence_low_question_coverage
x0031,2,2,0,0,2,2,0,0,0,1,0,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0032,2,2,0,0,2,2,0,0,0,1,0,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0033,2,2,2,1,2,2,2,2,1,2,2,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0034,2,2,2,0,2,2,2,2,0,2,1,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0035,2,2,1,1,2,2,1,1,0,2,1,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0036,2,2,0,0,2,2,0,0,0,2,0,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0037,2,2,1,0,2,2,1,1,1,2,1,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0038,2,2,2,1,2,2,2,2,0,2,1,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0039,2,2,2,2,2,2,2,2,0,2,1,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0040,2,2,0,0,2,2,0,0,0,2,0,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0041,2,2,1,0,2,2,1,1,0,2,1,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0042,2,2,2,1,2,2,2,2,0,2,1,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0043,2,2,1,1,2,2,1,1,0,2,1,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0044,2,2,2,0,2,2,2,2,0,2,1,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0045,2,2,2,1,2,2,2,2,0,2,2,custody_vs_restraining,True,domestic_violence_low_question_coverage
x0046,2,2,2,2,2,2,2,2,0,2,1,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0047,2,2,2,0,2,2,2,2,2,2,1,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0048,2,2,2,1,2,2,2,2,2,2,1,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0049,2,2,2,1,2,2,2,2,0,2,1,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0050,2,2,2,2,2,2,2,2,0,2,2,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0051,2,2,2,2,2,2,2,2,2,2,2,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0052,2,2,2,1,2,2,2,2,2,2,2,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0053,2,2,1,2,2,2,1,1,1,2,1,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0054,2,2,2,2,2,2,2,2,0,2,1,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0055,2,2,2,0,2,2,2,2,2,2,2,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0056,2,2,2,1,2,2,2,2,2,2,1,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0057,2,2,2,2,2,2,2,2,0,2,1,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0058,2,2,1,1,2,2,1,1,0,2,1,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0059,2,2,2,1,2,2,2,2,2,2,2,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0060,2,2,2,0,2,2,2,2,1,2,2,custody_vs_restraining,False,domestic_violence_low_question_coverage
x0061,2,2,1,0,2,2,1,1,0,2,1,separation_vs_financial_abuse,True,domestic_violence_low_question_coverage
x0062,2,2,2,2,2,2,2,2,0,2,2,separation_vs_financial_abuse,True,domestic_violence_low_question_coverage
x0063,2,2,2,2,2,2,2,2,0,2,2,separation_vs_financial_abuse,True,domestic_violence_low_question_coverage
x0064,2,2,1,0,2,2,1,1,0,2,1,separation_vs_financial_abuse,True,domestic_violence_low_question_coverage
x0065,2,2,2,0,2,2,2,2,0,2,2,separation_vs_financial_abuse,True,domestic_violence_low_question_coverage
x0066,2,2,2,2,2,2,2,2,0,2,1,separation_vs_financial_abuse,True,domestic_violence_low_question_coverage
x0067,2,2,2,2,2,2,2,2,0,2,1,separation_vs_financial_abuse,True,domestic_violence_low_question_coverage
x0068,2,2,1,1,2,2,1,1,0,2,1,separation_vs_financial_abuse,True,domestic_violence_low_question_coverage
x0069,2,2,1,2,2,2,1,1,0,2,1,separation_vs_financial_abuse,True,domestic_violence_low_question_coverage
x0070,2,2,2,2,2,2,2,2,1,2,2,separation_vs_financial_abuse,True,domestic_violence_low_question_coverage
x0071,2,2,2,2,2,2,2,2,0,2,2,separation_vs_financial_abuse,True,domestic_violence_low_question_coverage
x0072,2,2,0,0,2,2,0,0,0,2,0,separation_vs_financial_abuse,True,domestic_violence_low_question_coverage
x0073,2,2,1,2,2,2,1,1,0,2,1,separation_vs_financial_abuse,True,domestic_violence_low_question_coverage
x0074,2,2,2,2,2,2,2,2,0,2,1,separation_vs_financial_abuse,True,domestic_violence_low_question_coverage
x0075,2,2,2,2,2,2,2,2,0,2,2,separation_vs_financial_abuse,True,domestic_violence_low_question_coverage
x0076,2,2,0,1,2,2,0,0,0,2,0,separation_vs_financial_abuse,False,domestic_violence_low_question_coverage
x0077,2,2,2,0,2,2,2,2,0,1,2,separation_vs_financial_abuse,False,domestic_violence_low_question_coverage
x0078,2,2,1,2,2,2,1,1,0,2,1,separation_vs_financial_abuse,False,domestic_violence_low_question_coverage
x0079,2,2,1,2,2,2,1,1,0,2,1,separation_vs_financial_abuse,False,domestic_violence_low_question_coverage
x0080,2,2,0,1,2,2,0,0,0,2,0,separation_vs_financial_abuse,False,domestic_violence_low_question_coverage
x0081,2,2,2,1,2,2,2,2,0,2,2,separation_vs_financial_abuse,False,domestic_violence_low_question_coverage
x0082,2,2,1,2,2,2,1,1,0,2,1,separation_vs_financial_abuse,False,domestic_violence_low_question_coverage
x0083,2,2,1,1,2,2,1,1,0,2,1,separation_vs_financial_abuse,False,domestic_violence_low_question_coverage
x0084,2,2,0,1,2,2,0,0,0,2,0,separation_vs_financial_abuse,False,domestic_violence_low_question_coverage
x0085,2,2,1,1,2,2,1,1,0,2,1,separation_vs_financial_abuse,False,domestic_violence_low_question_coverage
x0086,2,2,2,2,2,2,2,2,0,2,1,separation_vs_financial_abuse,False,domestic_violence_low_question_coverage
x0087,2,2,1,1,2,2,1,1,0,2,1,separation_vs_financial_abuse,False,domestic_violence_low_question_coverage
x0088,2,2,0,1,2,2,0,0,0,2,0,separation_vs_financial_abuse,False,domestic_violence_low_question_coverage
x0089,2,2,1,1,2,2,1,1,0,2,1,separation_vs_financial_abuse,False,domestic_violence_low_question_coverage
x0090,2,2,0,2,2,2,0,0,0,2,0,separation_vs_financial_abuse,False,domestic_violence_low_question_coverage
