scenario_id,opening_query_group,opening_query,initial_category,initial_subcategory,final_category,final_subcategory,hidden_fact,fact_as_answer,relevant_question_topic,counterfactual_category,counterfactual_subcategory,counterfactual_hidden_fact,counterfactual_fact_as_answer,swap_pair,direction,source_stratum,source_workbook_rows,source_legacy_scenario_id,multi_label_grounded,paper_failure_mode,domestic_violence_hidden_fact,candidate_status
x0495,f17_AtoB_15,There is a dispute about my role as a parent and what I can do. Can a lawyer help me?,Family Law,Paternity,Family Law,Child Custody/Visitation,Legal parentage is settled and I need to modify custody.,Legal parentage is settled and I need to modify custody.,whether parentage is legally established and whether custody is disputed,Family Law,Paternity,Nobody disputes visits yet; I need the court to determine legal parentage.,Nobody disputes visits yet; I need the court to determine legal parentage.,paternity_vs_custody,AtoB,expanded_workbook_grounded,23;38;51,,true,,false,synthetic_candidate_needs_human_validation
x0772,f26_BtoA_14,Our family cannot act for an incapacitated parent and care decisions are overdue. Can a lawyer help me?,Wills & Trusts,Conservatorship/Guardianship,Administrative Law,Medicare/Medicaid,A government health program denied continued coverage for the care facility.,A government health program denied continued coverage for the care facility.,whether benefits were denied or the family lacks legal authority to act,Wills & Trusts,Conservatorship/Guardianship,The only issue is obtaining a conservatorship for the incapacitated adult.,The only issue is obtaining a conservatorship for the incapacitated adult.,medicaid_vs_guardianship,BtoA,expanded_workbook_grounded,404;411,,true,,false,synthetic_candidate_needs_human_validation
x0041,f02_AtoB_11,The other parent has been causing problems and I need advice about my child. I do not know what to do next.,Family Law,Child Custody/Visitation,Family Law,Restraining Orders,The other parent hit me while I was holding our child and threatened to come back.,The other parent hit me while I was holding our child and threatened to come back.,whether the dispute concerns parenting time or violence and protection,Family Law,Child Custody/Visitation,There have been no threats; the only dispute is the parenting schedule.,There have been no threats; the only dispute is the parenting schedule.,custody_vs_restraining,AtoB,expanded_workbook_grounded,8;38;51,,true,domestic_violence_low_question_coverage,true,synthetic_candidate_needs_human_validation
x0629,f21_BtoA_14,I want to recover money for bad contractor work but do not know which court to use. Can a lawyer help me?,Consumer Law,Small Claims Advice,Real Property,Construction/Contractors,The dispute involves a construction lien and contractor licensing issues beyond small claims.,The dispute involves a construction lien and contractor licensing issues beyond small claims.,"amount, desired court, liens, licensing, and complexity",Consumer Law,Small Claims Advice,The dispute is under the small-claims cap and no lien or licensing issue exists.,The dispute is under the small-claims cap and no lien or licensing issue exists.,contractor_vs_small_claims,BtoA,expanded_workbook_grounded,59;165;368;391,,true,,false,synthetic_candidate_needs_human_validation
x0377,f13_BtoA_02,A state office refused to renew my driving privileges.,Administrative Law,DMV (Non-Criminal),Criminal Law,DUII/DWS,I was arrested for driving under the influence and face a criminal charge.,I was arrested for driving under the influence and face a criminal charge.,whether there is a DUII arrest or only a noncriminal DMV decision,Administrative Law,DMV (Non-Criminal),I am appealing an age-based license renewal denial and was not charged with a crime.,I am appealing an age-based license renewal denial and was not charged with a crime.,dui_vs_dmv,BtoA,expanded_workbook_grounded,422,,false,,false,synthetic_candidate_needs_human_validation
x0614,f21_AtoB_14,My renovation is unfinished and I need to know how to recover the cost. Can a lawyer help me?,Real Property,Construction/Contractors,Consumer Law,Small Claims Advice,"The only claim is for a small amount within the small-claims limit, and I want filing guidance.","The only claim is for a small amount within the small-claims limit, and I want filing guidance.","amount, desired court, liens, licensing, and complexity",Real Property,Construction/Contractors,"The contractor's bond, licensing, and multiple subcontractors are involved.","The contractor's bond, licensing, and multiple subcontractors are involved.",contractor_vs_small_claims,AtoB,expanded_workbook_grounded,59;165;368;391,,true,,false,synthetic_candidate_needs_human_validation
x0749,f26_AtoB_05,My elderly parent may lose care and our family does not know what to do. What are my options?,Administrative Law,Medicare/Medicaid,Wills & Trusts,Conservatorship/Guardianship,The court must appoint someone to make care and financial decisions.,The court must appoint someone to make care and financial decisions.,whether benefits were denied or the family lacks legal authority to act,Administrative Law,Medicare/Medicaid,"We already have valid authority to act, but Medicaid says benefits will end.","We already have valid authority to act, but Medicaid says benefits will end.",medicaid_vs_guardianship,AtoB,expanded_workbook_grounded,404;411,,true,,false,synthetic_candidate_needs_human_validation
legacy_132,legacy_p05_BtoA_02,I hired someone for a job in my business and we have a disagreement about how things ended. Now he's demanding something from me.,Business & Corporate,"General (Contracts, Business, Organization)",Labor & Employment,Wrongful Discharge,"The dispute is about terminating the worker from an employee position, not a contractor.",He worked for me as an employee and I let him go. Now he says it was wrongful and wants compensation.,the nature of the worker's employment,Business & Corporate,"General (Contracts, Business, Organization)",The clarifying answer confirms the original Business & Corporate issue and does not add the fact that would support Labor & Employment.,"No. My issue is the original Business & Corporate matter, not the alternative described.",employee_vs_employer,BtoA,legacy_200_snapshot,,p05_BtoA_02,false,,false,legacy_candidate_needs_revalidation
x0310,f11_AtoB_10,There is already a decision about a debt and I need to know the next step. I do not know what to do next.,Debtor/Creditor,Judgement Collection,Bankruptcy,Personal,Several creditors have judgments against me and I cannot meet basic expenses.,Several creditors have judgments against me and I cannot meet basic expenses.,who won the judgment and whether the caller needs debt relief,Debtor/Creditor,Judgement Collection,The judgment is in my favor and I need to enforce it against the debtor.,The judgment is in my favor and I need to enforce it against the debtor.,judgment_vs_bankruptcy,AtoB,expanded_workbook_grounded,108;110,,true,bankruptcy_collections_role_confusion,false,synthetic_candidate_needs_human_validation
x0592,f20_BtoA_07,I want to stop competitors from copying a new creation. What are my options?,Intellectual Property,Patent (Reg Patent Attys Only),Intellectual Property,Trademark/Copyright,The creation is software code and written content that I want to register.,The creation is software code and written content that I want to register.,whether the creation is expressive branding/content or a functional invention,Intellectual Property,Patent (Reg Patent Attys Only),"The product has a new functional mechanism, not merely artwork or branding.","The product has a new functional mechanism, not merely artwork or branding.",copyright_vs_patent,BtoA,expanded_workbook_grounded,10;40;282,,true,,false,synthetic_candidate_needs_human_validation
legacy_127,legacy_p05_AtoB_07,Someone is upset I stopped their work and says I broke employment laws. How can I protect myself?,Labor & Employment,Wrongful Discharge,Business & Corporate,"General (Contracts, Business, Organization)",I'm the owner of a web design firm and I hired them as a freelance contractor.,"I run the web design company and hired them as a freelance contractor, not as staff.",worker's employment classification,Labor & Employment,Wrongful Discharge,The clarifying answer confirms the original Labor & Employment issue and does not add the fact that would support Business & Corporate.,"No. My issue is the original Labor & Employment matter, not the alternative described.",employee_vs_employer,AtoB,legacy_200_snapshot,,p05_AtoB_07,false,,false,legacy_candidate_needs_revalidation
x0623,f21_BtoA_08,A contractor owes me money for repairs and I may need to file a claim myself. What are my options?,Consumer Law,Small Claims Advice,Real Property,Construction/Contractors,"The contractor's bond, licensing, and multiple subcontractors are involved.","The contractor's bond, licensing, and multiple subcontractors are involved.","amount, desired court, liens, licensing, and complexity",Consumer Law,Small Claims Advice,"The only claim is for a small amount within the small-claims limit, and I want filing guidance.","The only claim is for a small amount within the small-claims limit, and I want filing guidance.",contractor_vs_small_claims,BtoA,expanded_workbook_grounded,59;165;368;391,,true,,false,synthetic_candidate_needs_human_validation
x0189,f07_AtoB_09,I was fired and need help because I have no income now. I do not know what to do next.,Labor & Employment,Wrongful Discharge,Administrative Law,Unemployment,I need representation at a state unemployment-benefits hearing.,I need representation at a state unemployment-benefits hearing.,whether the dispute is with the employer or the state unemployment agency,Labor & Employment,Wrongful Discharge,The only dispute is whether my employer was allowed to fire me.,The only dispute is whether my employer was allowed to fire me.,wrongful_discharge_vs_unemployment,AtoB,expanded_workbook_grounded,12;27;32;342,,true,employment_admin_ignores_hearing_signals,false,synthetic_candidate_needs_human_validation
x0536,f18_BtoA_11,I think an older relative is being taken advantage of and need legal help. I do not know what to do next.,Wills & Trusts,Elder Abuse,Wills & Trusts,Conservatorship/Guardianship,No money is missing; we need a court-appointed guardian because there is no valid power of attorney.,No money is missing; we need a court-appointed guardian because there is no valid power of attorney.,whether the need is authority to act or suspected exploitation,Wills & Trusts,Elder Abuse,The person with authority has transferred my parent's money into their own account.,The person with authority has transferred my parent's money into their own account.,guardianship_vs_elder_abuse,BtoA,expanded_workbook_grounded,31;71;399;404;411;421,,true,,false,synthetic_candidate_needs_human_validation
legacy_115,legacy_p04_BtoA_05,I’m having trouble with the DMV after they suspended my license and now I can’t drive to work.,Administrative Law,DMV (Non-Criminal),Criminal Law,DUII/DWS,It’s because I got a DUI last month.,It's because I got a DUI last month. That's what they told me.,why the license was suspended,Administrative Law,DMV (Non-Criminal),The clarifying answer confirms the original Administrative Law issue and does not add the fact that would support Criminal Law.,"No. My issue is the original Administrative Law matter, not the alternative described.",dui_vs_dmv,BtoA,legacy_200_snapshot,,p04_BtoA_05,false,,false,legacy_candidate_needs_revalidation
x0341,f12_AtoB_11,The other person is not following the rental agreement and I need advice. I do not know what to do next.,Real Property,Tenant (Residential),Real Property,Landlord Residential,The lease lists me as the property owner renting the home out.,The lease lists me as the property owner renting the home out.,whether the caller rents the home or owns and rents it to someone else,Real Property,Tenant (Residential),The landlord is the other party and I am asking for repairs to my home.,The landlord is the other party and I am asking for repairs to my home.,tenant_vs_landlord,AtoB,expanded_workbook_grounded,14;365;371;419,,true,,false,synthetic_candidate_needs_human_validation
x0593,f20_BtoA_08,I need help filing the right kind of protection for my work. What are my options?,Intellectual Property,Patent (Reg Patent Attys Only),Intellectual Property,Trademark/Copyright,I need copyright protection for original artwork and a trademark for the brand.,I need copyright protection for original artwork and a trademark for the brand.,whether the creation is expressive branding/content or a functional invention,Intellectual Property,Patent (Reg Patent Attys Only),I need a patent application for a new machine before publicly disclosing it.,I need a patent application for a new machine before publicly disclosing it.,copyright_vs_patent,BtoA,expanded_workbook_grounded,10;40;282,,true,,false,synthetic_candidate_needs_human_validation
x0226,f08_BtoA_01,I was injured at a store and the business says it is not responsible.,General Litigation,Personal Injury,Workers' Comp,State,"I was an employee, on the clock, and performing my assigned duties when it happened.","I was an employee, on the clock, and performing my assigned duties when it happened.","employment status, whether the caller was on duty, and who caused the injury",General Litigation,Personal Injury,I was an independent contractor and was not the company's employee.,I was an independent contractor and was not the company's employee.,work_injury_vs_personal_injury,BtoA,expanded_workbook_grounded,28;349;420,,true,injury_location_does_not_flip_off_clock,false,synthetic_candidate_needs_human_validation
x0014,f01_AtoB_14,My spouse and I cannot keep living together and I need legal help. Can a lawyer help me?,Family Law,General (Divorce/Separation),Family Law,Restraining Orders,My partner threatened to hurt me if I leave and has blocked the door before.,My partner threatened to hurt me if I leave and has blocked the door before.,"whether there are threats, violence, coercive control, or an immediate need for protection",Family Law,General (Divorce/Separation),"The dispute is about separation and support, and nobody has threatened me.","The dispute is about separation and support, and nobody has threatened me.",divorce_vs_restraining,AtoB,expanded_workbook_grounded,51;422,,true,domestic_violence_low_question_coverage,true,synthetic_candidate_needs_human_validation
x0003,f01_AtoB_03,Things at home have become unbearable and I want to leave the relationship.,Family Law,General (Divorce/Separation),Family Law,Restraining Orders,My partner controls my money and has threatened violence when I ask to leave.,My partner controls my money and has threatened violence when I ask to leave.,"whether there are threats, violence, coercive control, or an immediate need for protection",Family Law,General (Divorce/Separation),I want to dissolve the marriage and work out the terms of separation.,I want to dissolve the marriage and work out the terms of separation.,divorce_vs_restraining,AtoB,expanded_workbook_grounded,51;422,,true,domestic_violence_low_question_coverage,true,synthetic_candidate_needs_human_validation
legacy_183,legacy_p03_AtoB_03,The people living in the basement aren’t following the rules and keep making loud noise.,Real Property,Tenant (Residential),Real Property,Landlord Residential,I am the landlord and I live upstairs.,I’m their landlord—I live upstairs and rent the basement to them.,if the caller is the landlord or tenant,Real Property,Tenant (Residential),The clarifying answer confirms the original Real Property issue and does not add the fact that would support Real Property.,"No. My issue is the original Real Property matter, not the alternative described.",tenant_vs_landlord,AtoB,legacy_200_snapshot,,p03_AtoB_03,false,,false,legacy_candidate_needs_revalidation
x0292,f10_BtoA_07,I am having trouble getting payment and the situation is hurting me financially. What are my options?,Debtor/Creditor,General (Creditor),Bankruptcy,Personal,I am the person who owes several creditors and want to file bankruptcy.,I am the person who owes several creditors and want to file bankruptcy.,whether the caller owes the debt or is trying to collect it,Debtor/Creditor,General (Creditor),I am the person owed money and want to collect from the debtor.,I am the person owed money and want to collect from the debtor.,bankruptcy_vs_creditor,BtoA,expanded_workbook_grounded,108;110;120,,true,bankruptcy_collections_role_confusion,false,synthetic_candidate_needs_human_validation
x0600,f20_BtoA_15,I want to stop competitors from copying a new creation. Can a lawyer help me?,Intellectual Property,Patent (Reg Patent Attys Only),Intellectual Property,Trademark/Copyright,The creation is software code and written content that I want to register.,The creation is software code and written content that I want to register.,whether the creation is expressive branding/content or a functional invention,Intellectual Property,Patent (Reg Patent Attys Only),"The product has a new functional mechanism, not merely artwork or branding.","The product has a new functional mechanism, not merely artwork or branding.",copyright_vs_patent,BtoA,expanded_workbook_grounded,10;40;282,,true,,false,synthetic_candidate_needs_human_validation
legacy_111,legacy_p04_BtoA_01,I got a letter from the DMV saying my license is suspended and I’m not sure what I need to do to get it back.,Administrative Law,DMV (Non-Criminal),Criminal Law,DUII/DWS,The suspension is because I was arrested for driving under the influence.,They said my license was suspended after I got arrested for DUI.,reason for license suspension,Administrative Law,DMV (Non-Criminal),The clarifying answer confirms the original Administrative Law issue and does not add the fact that would support Criminal Law.,"No. My issue is the original Administrative Law matter, not the alternative described.",dui_vs_dmv,BtoA,legacy_200_snapshot,,p04_BtoA_01,false,,false,legacy_candidate_needs_revalidation
x0216,f08_AtoB_06,I injured myself at a work site and have not been able to return. What are my options?,Workers' Comp,State,General Litigation,Personal Injury,"A separate company's careless driver injured me, and my employer did not cause it.","A separate company's careless driver injured me, and my employer did not cause it.","employment status, whether the caller was on duty, and who caused the injury",Workers' Comp,State,The injury occurred during my scheduled shift for my employer.,The injury occurred during my scheduled shift for my employer.,work_injury_vs_personal_injury,AtoB,expanded_workbook_grounded,28;349;420,,true,injury_location_does_not_flip_off_clock,false,synthetic_candidate_needs_human_validation
legacy_028,legacy_p08_AtoB_08,A person keeps showing up wherever I go. I'm worried for my safety.,Criminal Law,Misdemeanor,Family Law,Restraining Orders,"It's my adult son who's stalking me, and I want a restraining order.",It's my grown son. I want a restraining order against him.,family relationship,Criminal Law,Misdemeanor,The clarifying answer confirms the original Criminal Law issue and does not add the fact that would support Family Law.,"No. My issue is the original Criminal Law matter, not the alternative described.",criminal_vs_restraining,AtoB,legacy_200_snapshot,,p08_AtoB_08,false,criminal_vs_restraining,false,legacy_candidate_needs_revalidation
x0736,f25_BtoA_06,A veterans program connected to my property has created a dispute. What are my options?,Real Property,"Government Loans (VA,FHA,Etc.)",Administrative Law,Military/Veterans,"The VA stopped my disability benefits, and the dispute is about benefits eligibility.","The VA stopped my disability benefits, and the dispute is about benefits eligibility.",whether the VA issue is a personal benefit or a government-backed property loan,Real Property,"Government Loans (VA,FHA,Etc.)",I need advice about a lender's handling of a government-backed VA mortgage.,I need advice about a lender's handling of a government-backed VA mortgage.,veterans_benefits_vs_va_loan,BtoA,expanded_workbook_grounded,384;424,,true,,false,synthetic_candidate_needs_human_validation
x0160,f06_AtoB_10,My employer discriminated against me and I need help with the next step. I do not know what to do next.,Labor & Employment,Discrimination,Administrative Law,General (State),"I am appealing the state bureau's final order, not suing my employer right now.","I am appealing the state bureau's final order, not suing my employer right now.",whether a state agency has issued a decision or scheduled an administrative hearing,Labor & Employment,Discrimination,The employer's discriminatory treatment is the only matter I need help with.,The employer's discriminatory treatment is the only matter I need help with.,employment_vs_state_hearing,AtoB,expanded_workbook_grounded,83,,true,employment_admin_ignores_hearing_signals,false,synthetic_candidate_needs_human_validation
x0690,f24_AtoB_02,False and upsetting material about me is spreading on social media.,General Litigation,Libel/Slander/Defamation,General Litigation,Online Harassment/Doxing/Bullying,"The main issue is coordinated cyberbullying and unwanted contact, not whether a statement is false.","The main issue is coordinated cyberbullying and unwanted contact, not whether a statement is false.",whether the harm is a false factual statement or repeated harassment and doxing,General Litigation,Libel/Slander/Defamation,"They published a knowingly false accusation, and I seek damages to my reputation.","They published a knowingly false accusation, and I seek damages to my reputation.",defamation_vs_online_harassment,AtoB,expanded_workbook_grounded,73;290,,true,,false,synthetic_candidate_needs_human_validation
x0450,f15_BtoA_15,My manager reacted badly when I raised a problem at work. Can a lawyer help me?,Labor & Employment,Wrongful Discharge,Labor & Employment,Wage and Hour Claims,I am only trying to recover wages the employer failed to pay.,I am only trying to recover wages the employer failed to pay.,whether employment continues and whether the caller was fired for complaining,Labor & Employment,Wrongful Discharge,I was terminated in retaliation for reporting illegal pay practices.,I was terminated in retaliation for reporting illegal pay practices.,wages_vs_wrongful_discharge,BtoA,expanded_workbook_grounded,12;32;344,,true,,false,synthetic_candidate_needs_human_validation
legacy_089,legacy_p02_AtoB_09,I need advice on how to separate from my partner. We’ve had a lot of disagreements lately.,Family Law,General (Divorce/Separation),Family Law,Restraining Orders,My partner cut off my access to our bank account and won’t let me have money.,He stopped letting me use our bank account. I can’t get money unless he gives it to me.,financial control or withholding money,Family Law,General (Divorce/Separation),The clarifying answer confirms the original Family Law issue and does not add the fact that would support Family Law.,"No. My issue is the original Family Law matter, not the alternative described.",domestic_violence,AtoB,legacy_200_snapshot,,p02_AtoB_09,false,domestic_violence,true,legacy_candidate_needs_revalidation
x0398,f14_AtoB_08,The current parenting arrangement is not working and I need advice. What are my options?,Family Law,Child Custody/Visitation,Family Law,Child Support/Modification,"The other parent owes past-due support, and custody is not disputed.","The other parent owes past-due support, and custody is not disputed.",whether the issue is parenting time or financial support,Family Law,Child Custody/Visitation,"I need more parenting time, and money is not the issue.","I need more parenting time, and money is not the issue.",custody_vs_support,AtoB,expanded_workbook_grounded,8;51,,true,,false,synthetic_candidate_needs_human_validation
x0298,f10_BtoA_13,Someone has not paid money that is owed and I need legal help. Can a lawyer help me?,Debtor/Creditor,General (Creditor),Bankruptcy,Personal,I need relief from my own credit cards and medical bills.,I need relief from my own credit cards and medical bills.,whether the caller owes the debt or is trying to collect it,Debtor/Creditor,General (Creditor),I loaned the other person money and they have stopped repaying me.,I loaned the other person money and they have stopped repaying me.,bankruptcy_vs_creditor,BtoA,expanded_workbook_grounded,108;110;120,,true,bankruptcy_collections_role_confusion,false,synthetic_candidate_needs_human_validation
x0784,f27_AtoB_12,I need help ending a business after it ran into serious financial trouble. I do not know what to do next.,Bankruptcy,Business,Business & Corporate,Sale of Business,The business can pay its debts; I need documents transferring my ownership to the other partner.,The business can pay its debts; I need documents transferring my ownership to the other partner.,whether the company is insolvent or the issue is ownership transfer and dissolution,Bankruptcy,Business,"Creditors are suing the company, which has no assets left to pay them.","Creditors are suing the company, which has no assets left to pay them.",business_bankruptcy_vs_dissolution,AtoB,expanded_workbook_grounded,33;109,,true,bankruptcy_collections_role_confusion,false,synthetic_candidate_needs_human_validation
x0402,f14_AtoB_12,The current parenting arrangement is not working and I need advice. I do not know what to do next.,Family Law,Child Custody/Visitation,Family Law,Child Support/Modification,"The other parent owes past-due support, and custody is not disputed.","The other parent owes past-due support, and custody is not disputed.",whether the issue is parenting time or financial support,Family Law,Child Custody/Visitation,"I need more parenting time, and money is not the issue.","I need more parenting time, and money is not the issue.",custody_vs_support,AtoB,expanded_workbook_grounded,8;51,,true,,false,synthetic_candidate_needs_human_validation
legacy_177,legacy_p01_BtoA_07,I hurt my shoulder moving equipment at work today. I need to talk to someone about workers' comp.,Workers' Comp,State,General Litigation,Personal Injury,"I'm actually a freelance IT technician, not a company employee. They hired me for one project only.",I'm just a freelancer—they only brought me in to set up their new equipment. I'm not on their staff.,employment status,Workers' Comp,State,The clarifying answer confirms the original Workers' Comp issue and does not add the fact that would support General Litigation.,"No. My issue is the original Workers' Comp matter, not the alternative described.",injury_location,BtoA,legacy_200_snapshot,,p01_BtoA_07,false,injury_location,false,legacy_candidate_needs_revalidation
x0735,f25_BtoA_05,There is a problem involving the VA and my home financing. What are my options?,Real Property,"Government Loans (VA,FHA,Etc.)",Administrative Law,Military/Veterans,I am appealing denial of VA medical care and pension benefits.,I am appealing denial of VA medical care and pension benefits.,whether the VA issue is a personal benefit or a government-backed property loan,Real Property,"Government Loans (VA,FHA,Etc.)",My benefits are intact; the issue is approval of a VA home loan.,My benefits are intact; the issue is approval of a VA home loan.,veterans_benefits_vs_va_loan,BtoA,expanded_workbook_grounded,384;424,,true,,false,synthetic_candidate_needs_human_validation
x0423,f15_AtoB_03,I need legal advice about something that happened after I complained at work.,Labor & Employment,Wage and Hour Claims,Labor & Employment,Wrongful Discharge,I was terminated in retaliation for reporting illegal pay practices.,I was terminated in retaliation for reporting illegal pay practices.,whether employment continues and whether the caller was fired for complaining,Labor & Employment,Wage and Hour Claims,I am only trying to recover wages the employer failed to pay.,I am only trying to recover wages the employer failed to pay.,wages_vs_wrongful_discharge,AtoB,expanded_workbook_grounded,12;32;344,,true,,false,synthetic_candidate_needs_human_validation
x0253,f09_AtoB_13,I was injured during my shift and workers' compensation is involved. Can a lawyer help me?,Workers' Comp,State,Workers' Comp,Third Party litigation,Defective equipment made by an outside manufacturer caused my injury.,Defective equipment made by an outside manufacturer caused my injury.,whether someone other than the employer caused the work injury,Workers' Comp,State,The accident involved only my employer and normal workplace conditions.,The accident involved only my employer and normal workplace conditions.,workers_comp_vs_third_party,AtoB,expanded_workbook_grounded,28;349;420,,true,injury_location_does_not_flip_off_clock,false,synthetic_candidate_needs_human_validation
x0373,f13_AtoB_13,My driving privileges are in danger and I have a deadline coming up. Can a lawyer help me?,Criminal Law,DUII/DWS,Administrative Law,DMV (Non-Criminal),"The issue is rejected identity documents at the DMV, with no criminal case.","The issue is rejected identity documents at the DMV, with no criminal case.",whether there is a DUII arrest or only a noncriminal DMV decision,Criminal Law,DUII/DWS,The suspension followed a DUII arrest and I have a criminal court date.,The suspension followed a DUII arrest and I have a criminal court date.,dui_vs_dmv,AtoB,expanded_workbook_grounded,422,,false,,false,synthetic_candidate_needs_human_validation
