priority_tier,priority_score,row_number,problem_description,current_ai_primary,primary_assessment,model_primary_assessment,current_primary_in_label_set,multi_label_assessment,audit_label_1,audit_label_2,internal_priority_reason,recommended_human_action,original_rank1_pattern,priority_signals,audit_justification
P1 - human decision essential,95,172,They claim I missed my annual sex offender registration because it didn't show up on the computer when u got a traffic stop. Now I have a court date on August 21st in Oakdale. I have since went and re registered to make sure I am on the computer system . So I need need a lawyer for my court date or see if can be taken care of prior,Criminal Law / Other,needs_change,needs_change,no,one_label_sufficient,Criminal Law / Relief From Sex Offender Registration,,Failure-to-register defense is not the same as seeking relief from registration; the specific registration label may be too narrow.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,all three differ,existing primary absent from audit set; three-way original disagreement,"The current label 'Criminal Law / Other' is too broad; the problem centers on sex offender registration compliance. While it's not a petition for removal, it is still explicitly about sex offender registration and related court exposure, making that subcategory the closest fit in the provided taxonomy."
P1 - human decision essential,94,196,"I have been charged with four misdemeanors after protecting my nephew from a verbal and physical altercation with someone he used to work with. I simply yelled at both young men to nock it off and go the fuck home and the other man turned and came at me and started yelling and threatening me and he got 3 inches from my face and when yelling he was spitting on me so I shoved him away from me, and I told him go fucking home, leave us alone. He did then four days later cops showed up at my front door at 9 p.m and took me into custody, processed and held me until 1 a.m. Now I am being charged with assault, strangulation and two other charges. I at the time had two tore rotator cuffs and neouropathy in my hands. I cannot even hold a coffee cup yet alone try to strangle someone. I did yell and I did shove him, but thats it. I am being charged and seriously need help. I am 63-year-old, and I am low-income.",Criminal Law / Misdemeanor,uncertain,uncertain,no,one_label_sufficient,Criminal Law / Lessor Felony,,The narrative says four misdemeanors but mentions strangulation; the actual filed charges are needed to choose felony versus misdemeanor.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,primary assessment uncertain; original rank-1 disagreement; repeated multi-label signal,"Current label (Misdemeanor) is not well-supported because strangulation is often treated as a felony; however, since the text does not explicitly state felony vs misdemeanor, the best fit is 'Lessor Felony' with medium confidence."
P1 - human decision essential,94,307,"My family is looking into immigration to Canada, and would like to identify a good lawyer who can help us navigate the process. We have two school-aged children. Thank you!",International Law / Gen. Immigration/Visas,uncertain,uncertain,no,one_label_sufficient,International Law / Other,,"The request concerns Canadian immigration, while the detailed Gen. Immigration/Visas description may be U.S.-oriented.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,primary assessment uncertain; original rank-1 disagreement; repeated multi-label signal,"Because the request is for Canadian immigration rather than U.S. visas/green cards, International Law/Gen. Immigration/Visas is not a perfect fit; International Law/Other is more supported by the text."
P1 - human decision essential,94,430,cnn keeps showing a segment about dinosaurs that is deeply offending. It is false information and when I complained they threatened me. Now a car follows me evereywhere I go,General Litigation / Stalking Orders,uncertain,uncertain,yes,one_label_sufficient,General Litigation / Stalking Orders,,The factual description is vague and potentially unreliable; the legal basis for a stalking order cannot be confirmed from the text alone.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,primary assessment uncertain; original rank-1 disagreement; repeated multi-label signal,"The described facts are vague and include possibly delusional elements, but the only concrete legal-type allegation is being followed; that most closely maps to seeking a stalking order. Not enough information to support an additional distinct category."
P1 - human decision essential,92,139,Looking for an attorney/lawyer that specializes in small business restaurant and hospitality. Also have a need for investment property/realestate law services. general consulting and litigation services.,Business & Corporate / Restaurant/OLCC,uncertain,uncertain,yes,two_labels_supported,Business & Corporate / Restaurant/OLCC,Real Property / General (residential),"A second real-property label is supported, but the text does not say whether the investment property is residential or commercial.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,primary assessment uncertain; two labels proposed; repeated multi-label signal,"Restaurant/hospitality counsel supports the current category, but the real-estate request is also explicit; the property type is not specified (investment could be residential or commercial), making the second label lower confidence."
P1 - human decision essential,89,4,I Have a small sole proprietor owned business in construction (tubs&counterrs) & cleaning. Im having issues being paid. Im looking to find a lawyer that knows how to… do contracts and lien property filing for my company. Im just starting to get a profit for the first time. Now I can’t seem to be paid. Invoices over due. (Approx 50% of them) causing me to do this….. if i could get a Refural please.,Real Property / Construction/Contractors,needs_change,needs_change,no,one_label_sufficient,Debtor/Creditor / General (Creditor),,"Construction-lien, business-contract, and creditor-collection framings all fit; decide whether one or two issues should be retained.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,existing primary absent from audit set; original rank-1 disagreement; repeated multi-label signal,"This is primarily a creditor-side collection problem (unpaid invoices). Although they mention liens/contracting, the core issue is collecting payment rather than a dispute about construction workmanship."
P1 - human decision essential,89,46,"My ex-husband has filed for Chapter 7 bankruptcy. My divorce lawyer had said even with the division of debts in the decree, including those not in my name, I could still be liable for his debts and pursued by his creditors in the future. I am seeking clarity, and any relevant assistance to protect my assets.",Bankruptcy / Other,needs_change,needs_change,no,one_label_sufficient,Bankruptcy / Creditors,,"The correct bankruptcy perspective is unclear: exposure to an ex-spouse's creditors may fit Creditors, Other, or debtor-side advice depending on the taxonomy intent.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,existing primary absent from audit set; original rank-1 disagreement; repeated multi-label signal,Not a niche/complex bankruptcy procedural issue; the user is not filing themselves but is worried about exposure to creditor collection due to another person’s bankruptcy.
P1 - human decision essential,89,56,I need to find someone to help with a guardianship/conservatorship/elder law. I am a POA for my aging father and I am trying to understand what I can/cannot do in order to help him with his finances so he doesn't become homeless. He needs help but I need to find someone to work with to complete this process in the right and orderly way.,Wills & Trusts / Power of Attorney,needs_change,needs_change,no,one_label_sufficient,Wills & Trusts / Conservatorship/Guardianship,,The user already holds POA but asks about completing a guardianship/conservatorship process; decide which legal service is actually requested.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,existing primary absent from audit set; original rank-1 disagreement; repeated multi-label signal,The request goes beyond drafting POA and is about initiating/handling a court guardianship/conservatorship process.
P1 - human decision essential,89,62,"Neighbor's dog bit me on my left for arm in November 2023. It's left me unable to work for 2 months and another 7 months at roughly half time. I still have nerve damage on my left hand palm and two fingers on my left had with burning, tingling and weakness.",General Litigation / Animal Law,needs_change,needs_change,no,one_label_sufficient,General Litigation / Personal Injury,,A dog-bite injury sits directly on the Animal Law versus Personal Injury taxonomy boundary.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,existing primary absent from audit set; original rank-1 disagreement; repeated multi-label signal,Current label (Animal Law) is less direct; the core issue is a personal injury claim arising from a dog bite with medical harm and wage loss.
P1 - human decision essential,89,136,We are in need of a securities lawyer to help with recovering taxes from a churning situation involving our parent's financial advisor/fiduciary.,Business & Corporate / Securities,needs_change,needs_change,no,one_label_sufficient,General Litigation / General Litigation,,"Investor churning by an adviser is a securities dispute, but the taxonomy distinction between Securities and General Litigation is unclear here.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,existing primary absent from audit set; original rank-1 disagreement; repeated multi-label signal,"This reads like an investor/family claim for misconduct by an advisor (potential fraud/breach of fiduciary duty), which is litigation rather than Business & Corporate/Securities (raising money/issuer-side)."
P1 - human decision essential,89,152,Auto shop negligence on a transmission repair causing danger to me and my children and damaging my vehicle. Looking to open a lawsuit.,Consumer Law / General,needs_change,needs_change,no,one_label_sufficient,General Litigation / Property Damage,,Auto-repair negligence can be a consumer-service dispute or a property-damage tort; the intended taxonomy boundary needs adjudication.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,existing primary absent from audit set; original rank-1 disagreement; repeated multi-label signal,The text frames the matter as negligence and a lawsuit (tort) rather than a standard consumer warranty/service complaint; the existing Consumer Law/General label is less fitting than a tort/property-damage style claim based on negligent repair.
P1 - human decision essential,89,212,"There was a car accident in which I was involved and had no car insurance. My car was destroyed nonfunctional anymore while the other person‘s car remaining without any visible damage. After this I didn’t got any contact with the person from the crash or anything. I couldn’t get hold of my mail due to some housing instability issues I have been going through this months, but today September 10th I received my mail from all this time and saw a letter, explaining I own $10,000 due to the car crash, I am hoping to see what are the options to investigate if this bill can go lower, if any payment plans could be done and I need a lawyer for legal advice.",Debtor/Creditor / Debt Counseling/Workouts,needs_change,needs_change,no,one_label_sufficient,General Litigation / Property Damage,,The immediate problem is a debt demand arising from a crash; Property Damage may describe the origin rather than the legal service sought.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,existing primary absent from audit set; original rank-1 disagreement; repeated multi-label signal,"Current label (Debt Counseling/Workouts) treats this as negotiating an acknowledged consumer debt, but the described obligation arises from an auto accident damage claim, which is better framed as a civil property-damage/liability matter."
P1 - human decision essential,89,255,I recently got out of prison January 3rd due to Watkins v Ackley being retroactive. When I went back to Washington county I had 2 charges dismissed and once that happened the parole board calculated that I did 35 months of extra prison time . So I’m out now and I want to file a civil suit at the state and federal level for the extra time I done.,General Litigation / Civil Rights,needs_change,supported,no,one_label_sufficient,General Litigation / Civil Matter for Inmates,,Over-detention after release implicates both Civil Rights and the more specific Civil Matter for Inmates label.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,existing primary absent from audit set; original rank-1 disagreement; repeated multi-label signal,"Current label (Civil Rights) is plausible, but the taxonomy has a more specific fit: Civil Matter for Inmates covers lawsuits relating to incarceration and constitutional violations like over-detention."
P1 - human decision essential,89,266,"Neighbor's dog bit me on my left for arm in November 2023. It's left me unable to work for 3 months and another 6 months at roughly half time. I still have nerve damage on my left hand palm and two fingers on my left had with burning, tingling and weakness.",General Litigation / Animal Law,needs_change,needs_change,no,one_label_sufficient,General Litigation / Personal Injury,,A dog-bite injury sits directly on the Animal Law versus Personal Injury taxonomy boundary.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,existing primary absent from audit set; original rank-1 disagreement; repeated multi-label signal,"While an animal is involved, the core is bodily injury and lost work from a dog bite, best classified as Personal Injury rather than Animal Law under this taxonomy."
P1 - human decision essential,89,429,I'm having trouble with past experices affecting my mental health and it's making me act strangley adn get into trouble at school,Administrative Law / Schools - Special Needs Edu.,needs_change,needs_change,no,one_label_sufficient,Administrative Law / Student Rights,,"The text does not identify an IEP, accommodation, discipline process, or other facts distinguishing Special Needs Education from Student Rights.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,existing primary absent from audit set; original rank-1 disagreement; repeated multi-label signal,"The current label (special needs education) is not supported because there is no mention of disability accommodations, an IEP, or denial of special education services. The issue is more generally about school trouble connected to mental health, aligning better with student rights."
P1 - human decision essential,87,290,"I need your help regarding copyright infringement, harassment, and defamation. A TikTok user took my video without permission, using it to humiliate me for my differing political views. This has caused emotional distress, fear for my career, and ongoing harassment. She made damaging statements to her 62.3k audience, tarnishing my reputation. I disabled saving my videos to protect my likeness but she still used them without consent. I've documented evidence and pursued a DMCA takedown. Can we discuss legal options for damages and action?",Intellectual Property / Trademark/Copyright,needs_change,needs_change,no,two_labels_supported,General Litigation / Online Harassment/Doxing/Bullying,General Litigation / Libel/Slander/Defamation,"The row expressly raises copyright, harassment, and defamation; the two-label audit necessarily omitted one substantial issue.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,existing primary absent from audit set; two labels proposed; repeated multi-label signal,"Although unauthorized use of video is mentioned with a DMCA takedown, the dominant, well-developed legal issues are online harassment and reputational harm/defamation; two distinct litigation issues are supported, so the IP-only primary should be changed."
P1 - human decision essential,87,418,"the county took down a tree on my property without my consent. When I showed up to confront them, we got into quite a scuffle and I knocked one out. They tried to jump me so I fled in my vehicle and hit one of them, and a person walking.",Criminal Law / Major Felony,needs_change,needs_change,no,two_labels_supported,Criminal Law / Lessor Felony,General Litigation / Tort Claims Act,"No filed charges are identified, so felony severity is uncertain; the county tree removal also raises a separate government tort issue.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,existing primary absent from audit set; two labels proposed; repeated multi-label signal,The current ‘Major Felony’ label is not clearly supported because no specific Measure 11-type charge is identified. The narrative supports criminal defense for serious charges (better fit: Lessor Felony) and also separately supports a potential civil claim against the county for unauthorized tree removal (government defendant triggers Tort Claims Act).
P1 - human decision essential,85,155,"I had a pro master cargo van built into a camper van. I bought the van outright from a dealership in NH and had a VT-based builder to build it, Vernon's Vans in Dumbo. I paid in full in advance. The builder claimed to have finished the van back in February and I paid to fly out and retrieve the van. The van turned out to have massive failures and functional flaws discovered within the first couple days. Poor workmanship, functional issues and system issues. We agreed that I’d drop the van back and fly home. 60 days later she again claimed it was done passing all quality checks with ‘flying colors’ and told me to come back. I fly back and pick it up and start driving home to Oregon. Within 1 day— massive leaks, failures in the shower system leaked everywhere inside&outside. I again have to drop the van for repair and now have 0 confidence in the product and the builder has failed. She has been trying to sell w/o success for nearly 90 days and I’m out $125K and no van",Consumer Law / General,needs_change,needs_change,no,one_label_sufficient,Real Property / Construction/Contractors,,"The audit mapped a defective camper-van build to Real Property/Construction, which may be inapplicable to movable personal property.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,2/3 agreement,existing primary absent from audit set; original rank-1 disagreement,"Although it involves a vehicle, the crux is a contractor/build dispute over workmanship and failure to deliver a functioning build, not a dealership misrepresentation or standard vehicle sale issue. Real Property/Construction-Contractors is the closest fit in this taxonomy for contractor workmanship disputes."
P1 - human decision essential,80,176,Need help with: Charge(s) Bail Status ORS.164.055-1 - THEFT I NO BAIL ORS.164.057 - AGGRAVATED THEFT I NO BAIL ORS.164.055-1 - THEFT I NO ORS.819.300 - POSSN OF A STOLEN VEHICLE NO BAIL ORS.165.065 - NEGOTIATING A BAD CHECK NO BAIL,Criminal Law / Major Felony,uncertain,uncertain,no,one_label_sufficient,Criminal Law / Lessor Felony,,The charge list does not provide enough reliable severity context to choose Major Felony versus Lessor Felony.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,primary assessment uncertain,"The current 'Major Felony' label may be overstated based on the examples given for major felonies; the described theft-related felonies fit better under 'Lessor Felony' per taxonomy descriptions, though exact severity classification is not fully determinable from the text alone."
P1 - human decision essential,79,41,Need advising on Oregon whistleblower protections. I have observed what I think are violations of the ADA in my role at Ashford Memorial Hospital,Labor & Employment / Whistleblowers,needs_change,needs_change,no,one_label_sufficient,Labor & Employment / ADA (Disability) Act Issues,,"All three original passes chose Whistleblowers, while the audit chose ADA; clarify whether the user wants protection for reporting ADA violations or an ADA claim personally.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,existing primary absent from audit set; repeated multi-label signal,"Whistleblowers label isn’t supported because the user does not state they reported wrongdoing or suffered retaliation. The only concrete issue stated is workplace ADA violations, so ADA employment issues fits better."
P1 - human decision essential,79,74,Need Civil law attorney to make a tort report claim and lawsuit for unlawful arrested detention on North Quay Police Department when they beat me up,General Litigation / Actions Against Police,needs_change,needs_change,no,one_label_sufficient,General Litigation / Tort Claims Act,,Police misconduct and Tort Claims Act are overlapping routes for the same government-defendant claim; decide whether both should be labels.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,existing primary absent from audit set; repeated multi-label signal,"While this is police misconduct, the user explicitly requests a tort claim report/claim and lawsuit against the department; Tort Claims Act is the better fit per taxonomy guidance for suits against government entities."
P1 - human decision essential,79,125,I am a member of a board at a local non-profit related to the super fund site. We were contacted by the lawyer of a local company. He is insisting on a meeting. Not sure what the real intention of the meeting is. I can send you his email. Might need an environmental lawyer. Or I do t know what type of lawyer.,Business & Corporate / Environment,needs_change,needs_change,no,one_label_sufficient,Business & Corporate / Non-Profit,,"The nonprofit is connected to a Superfund site, but the described request is too vague to choose Environment versus Non-Profit confidently.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,existing primary absent from audit set; repeated multi-label signal,The text centers on a nonprofit board receiving contact from a company lawyer and needing advice; it does not clearly describe the nonprofit as a business facing environmental regulatory compliance (the Business & Corporate/Environment description).
P1 - human decision essential,79,279,Need Civil law attorney to make a tort report claim and lawsuit for unlawful arrested detention on North Bend Police Department when they beat me up,General Litigation / Actions Against Police,needs_change,needs_change,no,one_label_sufficient,General Litigation / Tort Claims Act,,Police misconduct and Tort Claims Act are overlapping routes for the same government-defendant claim; decide whether both should be labels.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,existing primary absent from audit set; repeated multi-label signal,"While the narrative describes police misconduct, the user specifically references filing a tort claim against the North Bend Police Department (a government entity), which is better routed as a Tort Claims Act matter rather than the broader actions-against-police label."
P1 - human decision essential,79,352,"Worker's compensation, worker's rights, help protecting myself in my current workplace.",Workers' Comp / State,needs_change,needs_change,no,one_label_sufficient,Labor & Employment / General,,The sparse text mentions both workers' compensation and general workplace rights but gives no injury or claim facts.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,existing primary absent from audit set; repeated multi-label signal,Current primary (Workers' Comp | State) is not supported because no work injury/claim details are provided—only general workplace rights/protection.
P1 - human decision essential,79,428,My lawyer Galen Vossick looks identical to accused pederast biology teacher milo quenderson of veneta high school. I was raped at age three and covered up. I don't find the joke funny. I have a flyer that compares the two men. many of my friends agree the resemblance is uncanny. I stopped going to court because of this and ended up in the mental hospital. I am looking for a malpractice lawyer. please ask to see my flyer..,General Litigation / Malpractice-Legal,needs_change,needs_change,no,one_label_sufficient,General Litigation / Child Abuse Victims,,The user requests legal malpractice but describes childhood abuse and trauma without a clear attorney-negligence theory.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,existing primary absent from audit set; repeated multi-label signal,"Despite the user saying they want a malpractice lawyer, the facts presented are about childhood sexual assault and cover-up, not attorney negligence causing case harm; the best-supported category is a civil child abuse victim claim."
P1 - human decision essential,78,145,"I have a timeshare that I cannot use anymore. I paid a company a lot of money last year, but they did nothing. I would like to talk to a lawyer about how to get out of the timeshare without paying anyone, or getting into financial trouble",Consumer Law / General,supported,supported,yes,two_labels_supported,Consumer Law / General,,"The model marked two labels supported but returned only one unique taxonomy pair, an internal audit inconsistency.",Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,two labels proposed; audit returned no second unique label,"Primary label fits. The text supports two related consumer-service disputes (timeshare exit and paid company that did nothing), but both fall under the same Consumer Law/General subcategory; no distinct second taxonomy option applies."
P1 - human decision essential,75,138,"We are a partner in a small business in Islip Or. We have been seeing some issues with in our business partner that we don't agree with. He wants a larger salary than the other partner and we aren't wanting to increase his salary if all partners aren't included in this increase. We do have a business lawyer locally however, I understand that we need to obtain a lawyer of our own that specializes in business formation law and possible litigation. Can you please help me with this?",Business & Corporate / Litigation,needs_change,needs_change,no,one_label_sufficient,Business & Corporate / Sale of Business,,The audit's Sale of Business label for a partner compensation dispute is questionable; Litigation or General business may be more faithful.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,existing primary absent from audit set,"The problem is an intra-owner/partner dispute. The closest fit in the provided taxonomy is Sale of Business because it covers partner departures/buyouts and ownership disputes, whereas “Litigation” is premature and generic here."
P1 - human decision essential,75,156,"I have a contract that a car dealer.. Bought a new car (2019 Ford Edge ST) from Marlowe Ford Apr 2020. Car cost me $805 per month. 1 1/2 years payment caused financil problems. Went to same dealer,asked what can they.do. loan was 7.99%. Marlowe said buy the same car (2019 Ford Edge ST). They could trade same car (had 2x the mileage, later i found it had bad tires). Over 4 hours at dealer finally completed the deal. Contract was predatory. Gave me $36,000 for my car I owned that much.. They set precedent in Jan 2022 2019 Ford Edge ST ws worth $36,000. Then turned around and sold me a 2019 Ford Edge ST for $46,000 plus $4,000 of fees (Total was $49,000+). Now I am unable to pay the $660 per month. It has also trashed my credit. I can't sell car as owe $37K ans car worth $24K.",Consumer Law / Automobiles/RVs/Mobile Homes,needs_change,needs_change,no,one_label_sufficient,Consumer Law / Banking,,The dispute concerns both a vehicle transaction and allegedly deceptive financing; choose Automobiles/RVs versus Banking or both.,Read the full text and relevant detailed-taxonomy entries; record an explicit human decision before using the row as training data.,3/3 unanimous,existing primary absent from audit set,The issue is framed less as a defective car and more as a predatory/potentially deceptive financing deal; Consumer Law/Automobiles is not as directly supported as a consumer lending/fee/financing dispute.
